year,primary_fiscal_pp,model,model_label,path_type,underlying_model,income_case,income_case_label
2026,37.1,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2027,37.1,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2028,36.4,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2029,35.7,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2030,34.9,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2031,35.5819207044271,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2032,36.1908550799658,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2033,36.7286271861917,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2034,37.2146287681641,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2035,37.6501597421126,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2036,38.0917355524198,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2037,38.1634559276249,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2038,38.2324877071258,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2039,38.2988838457147,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2040,38.3626957489268,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2041,38.42397333289,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2042,38.4827650813133,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2043,38.5391180997748,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2044,38.5930781674626,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2045,38.6446897865094,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2046,38.6939962290567,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2047,38.7410395821652,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2048,38.7858607907008,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2049,38.8284996982937,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2050,38.8689950864787,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2051,38.907384712112,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2052,38.9437053431558,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2053,38.9779927929117,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2054,39.0102819527879,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2055,39.0406068236727,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2056,39.0690005459806,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2057,39.095495428448,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2058,39.1201229757288,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
