group,year,contribution_change_pp,cumulative_contribution_pp
Age composition,2030,0,0
Age composition,2031,0.817915578414187,0.817915578414187
Age composition,2032,0.7437671889617,1.56168276737589
Age composition,2033,0.71265491290814,2.27433768028403
Age composition,2034,0.666204573304158,2.94054225358819
Age composition,2035,0.62065369182198,3.56119594541016
Age composition,2036,0.631491685811993,4.19268763122216
Age composition,2037,0.295634790656969,4.48832242187913
Age composition,2038,0.295634790657306,4.78395721253643
Age composition,2039,0.295634790657301,5.07959200319373
Age composition,2040,0.295634790656969,5.3752267938507
Age composition,2041,0.295634790657305,5.67086158450801
Age composition,2042,0.295634790657212,5.96649637516522
Age composition,2043,0.295634790656968,6.26213116582219
Age composition,2044,0.295634790657303,6.55776595647949
Age composition,2045,0.295634790656969,6.85340074713646
Age composition,2046,0.295634790657299,7.14903553779376
Age composition,2047,0.295634790657306,7.44467032845107
Age composition,2048,0.295634790656968,7.74030511910803
Age composition,2049,0.295634790657205,8.03593990976524
Age composition,2050,0.295634790657306,8.33157470042255
Age composition,2051,0.295634790656995,8.62720949107954
Age composition,2052,0.295634790657299,8.92284428173684
Age composition,2053,0.295634790657303,9.21847907239414
Age composition,2054,0.295634790656968,9.51411386305111
Age composition,2055,0.295634790657306,9.80974865370841
Age composition,2056,0.295634790656875,10.1053834443653
Age composition,2057,0.295634790657306,10.4010182350226
Age composition,2058,0.295634790657299,10.6966530256799
Age composition,2059,0.295634790656974,10.9922878163369
Age composition,2060,0.2956347906573,11.2879226069942
Age composition,2061,0.295634790657299,11.5835573976515
Age composition,2062,0.295634790656966,11.8791921883084
Age composition,2063,0.295634790657206,12.1748269789656
Age composition,2064,0.295634790657311,12.470461769623
Age composition,2065,0.295634790656969,12.7660965602799
Age composition,2066,0.295634790657305,13.0617313509372
Real GDP per capita,2030,0,0
Real GDP per capita,2031,-0.171698984861191,-0.171698984861191
Real GDP per capita,2032,-0.170503334082381,-0.342202318943572
Real GDP per capita,2033,-0.174882806682248,-0.51708512562582
Real GDP per capita,2034,-0.180202991331736,-0.697288116957556
Real GDP per capita,2035,-0.185122717873492,-0.882410834831047
Real GDP per capita,2036,-0.189915875504812,-1.07232671033586
Real GDP per capita,2037,-0.223914415451835,-1.29624112578769
Real GDP per capita,2038,-0.226603011156409,-1.5228441369441
Real GDP per capita,2039,-0.229238652068377,-1.75208278901248
Real GDP per capita,2040,-0.231822887444852,-1.98390567645733
Real GDP per capita,2041,-0.234357206694102,-2.21826288315143
Real GDP per capita,2042,-0.236843042233898,-2.45510592538533
Real GDP per capita,2043,-0.23928177219554,-2.69438769758087
Real GDP per capita,2044,-0.241674722969519,-2.93606242055039
Real GDP per capita,2045,-0.24402317161013,-3.18008559216052
Real GDP per capita,2046,-0.246328348109977,-3.4264139402705
Real GDP per capita,2047,-0.248591437548839,-3.67500537781934
Real GDP per capita,2048,-0.250813582121394,-3.92581895994073
Real GDP per capita,2049,-0.252995883064263,-4.178814843005
Real GDP per capita,2050,-0.255139402472342,-4.43395424547734
Real GDP per capita,2051,-0.25724516502371,-4.69119941050105
Real GDP per capita,2052,-0.259314159613461,-4.95051357011451
Real GDP per capita,2053,-0.26134734090137,-5.21186091101588
Real GDP per capita,2054,-0.263345630780773,-5.47520654179665
Real GDP per capita,2055,-0.26530991977251,-5.74051646156916
Real GDP per capita,2056,-0.267241068349036,-6.0077575299182
Real GDP per capita,2057,-0.269139908189881,-6.27689743810808
Real GDP per capita,2058,-0.27100724337652,-6.5479046814846
Real GDP per capita,2059,-0.272843851528063,-6.82074853301266
Real GDP per capita,2060,-0.274650484880506,-7.09539901789317
Real GDP per capita,2061,-0.2764278713144,-7.37182688920757
