year,primary_fiscal_pp,model,model_label,path_type,underlying_model,income_case,income_case_label
2025,36.4354044063882,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2026,37.0344019773997,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2027,37.936733739043,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2028,39.1610453868038,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2029,39.8716697459313,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2030,40.3420267133296,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2031,41.0479321738972,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2032,41.6860885578765,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2033,42.2594420070325,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2034,42.7828747554172,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2035,43.2580971411621,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2036,43.7429410352331,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2037,43.8328858116473,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2038,43.9201547478975,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2039,44.0048005475419,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2040,44.0868743722316,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2041,44.1664259012769,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2042,44.2435033883648,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2043,44.3181537155897,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2044,44.3904224449491,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2045,44.4603538674435,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2046,44.5279910499179,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2047,44.5933758797587,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2048,44.6565491075766,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2049,44.7175503879712,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2050,44.7764183184853,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2051,44.833190476845,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2052,44.8879034565737,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2053,44.9405929010634,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2054,44.9912935361866,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2055,45.0400392015207,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2056,45.0868628802517,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2057,45.1317967278333,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2058,45.1748720994514,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2059,45.216119576362,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2060,45.255568991155,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2061,45.2932494519922,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2062,45.3291893658749,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2063,45.3634164609854,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2064,45.3959578081428,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2065,45.4268398414194,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2066,45.4560883779574,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2025,36.4354044063882,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2026,37.066707712323,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2027,38.0015018429092,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2028,39.2583547475856,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2029,40.0015599515717,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2030,40.5045374482096,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2031,41.3331503173571,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2032,42.0940141099164,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2033,42.7900749676523,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2034,43.4362151246169,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2035,44.0341449189419,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2036,44.6416962215928,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2037,44.8543484065869,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2038,45.0643247514169,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2039,45.2716779596412,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2040,45.4764591929107,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2041,45.6787181305361,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2042,45.8785030262039,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2043,46.0758607620086,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2044,46.2708368999478,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2045,46.4634757310224,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2046,46.6538203220766,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2047,46.8419125604973,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2048,47.0277931968951,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2049,47.2115018858696,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2050,47.3930772249637,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2051,47.5725567919032,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2052,47.7499771802118,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2053,47.9253740332815,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2054,48.0987820769846,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2055,48.2702351508987,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2056,48.4397662382094,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2057,48.607407494371,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2058,48.773190274569,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2059,48.9371451600595,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2060,49.0993019834325,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2061,49.2596898528497,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2062,49.4183371753121,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2063,49.5752716790025,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2064,49.7305204347399,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2065,49.8841098765964,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2066,50.0360658217143,midpoint_gdp,GDP PC model: 0.56% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,midpoint_gdp,GDP PC model: 0.56% growth
2025,36.4354044063882,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2026,37.0990134472464,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2027,38.0662699467753,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2028,39.3556641083673,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2029,40.1314501572121,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2030,40.6670481830897,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2031,41.6183684608171,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2032,42.5019396619563,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2033,43.3207079282722,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2034,44.0895554938165,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2035,44.8101926967216,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2036,45.5404514079525,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2037,45.8758110015265,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2038,46.2084947549363,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2039,46.5385553717406,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2040,46.8660440135899,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2041,47.1910103597953,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2042,47.5135026640431,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2043,47.8335678084276,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2044,48.1512513549466,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2045,48.4665975946012,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2046,48.7796495942352,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2047,49.0904492412359,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2048,49.3990372862136,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2049,49.7054533837681,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2050,50.0097361314421,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2051,50.3119231069613,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2052,50.6120509038499,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2053,50.9101551654996,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2054,51.2062706177826,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2055,51.5004311002766,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
2056,51.7926695961672,pressure_gdp,GDP PC model: 0.10% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,pressure_gdp,GDP PC model: 0.10% growth
