year,primary_fiscal_pp,model,model_label,path_type,underlying_model,income_case,income_case_label,anchor_type
2026,37.1,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2027,37.1,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2028,36.4,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2029,35.7,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2030,34.9,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2031,35.6059054605676,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2032,36.2440618445469,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2033,36.8174152937029,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2034,37.3408480420876,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2035,37.8160704278326,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2036,38.3009143219036,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2037,38.3908590983177,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2038,38.4781280345679,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2039,38.5627738342123,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2040,38.644847658902,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
2041,38.7243991879473,central_gdp,GDP PC model: 1.03% growth,PBO through 2029-30; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth,PBO forecast anchor
