model,term,vif,condition_number
with_income,d_age_0_14_pp,1.59946199066002,6.48358956352292
with_income,d_age_65_74_pp,2.73588871171352,6.48358956352292
with_income,d_age_75p_pp,2.07115854124601,6.48358956352292
with_income,d_log_relative_price,3.71640948917202,6.48358956352292
with_income,d_log_real_gdp_per_capita,3.65394615298286,6.48358956352292
with_income,d_unemployment,4.41079539268203,6.48358956352292
with_income,d_unemployment_l1,2.00350867545688,6.48358956352292
with_income,d_log_terms_of_trade,3.9952593468403,6.48358956352292
with_income,d_log_terms_of_trade_l1,1.4602891835196,6.48358956352292
with_income,d_covid_fy2020,1.80639053069894,6.48358956352292
with_income,d_covid_fy2021,4.1581734125314,6.48358956352292
with_income,d_covid_fy2022,2.61302761180097,6.48358956352292
no_income,d_age_0_14_pp,1.59857876585951,5.17392895398721
no_income,d_age_65_74_pp,2.22863820944958,5.17392895398721
no_income,d_age_75p_pp,1.75562273262319,5.17392895398721
no_income,d_log_relative_price,3.61042030854929,5.17392895398721
no_income,d_unemployment,1.54865284242844,5.17392895398721
no_income,d_unemployment_l1,1.49634157602206,5.17392895398721
no_income,d_log_terms_of_trade,3.62433364383061,5.17392895398721
no_income,d_log_terms_of_trade_l1,1.39932525012288,5.17392895398721
no_income,d_covid_fy2020,1.80041946428913,5.17392895398721
no_income,d_covid_fy2021,3.48361700113909,5.17392895398721
no_income,d_covid_fy2022,2.44445973866709,5.17392895398721
structural_only,d_age_0_14_pp,1.40165000537283,3.48216689498644
structural_only,d_age_65_74_pp,2.03593945808341,3.48216689498644
structural_only,d_age_75p_pp,1.54546753874904,3.48216689498644
structural_only,d_log_relative_price,1.20958018433653,3.48216689498644
structural_only,d_log_real_gdp_per_capita,1.24259720634697,3.48216689498644
structural_only,d_covid_fy2020,1.74898067446787,3.48216689498644
structural_only,d_covid_fy2021,2.76357645545635,3.48216689498644
structural_only,d_covid_fy2022,2.04521424381228,3.48216689498644
arima_benchmark,d_covid_fy2020,1.5,2.4142135623731
arima_benchmark,d_covid_fy2021,2,2.4142135623731
arima_benchmark,d_covid_fy2022,1.5,2.4142135623731
