year,primary_fiscal_ratio,nominal_gdp,nominal_gdp_growth,revenue_ratio,official_net_debt,official_gross_debt,official_interest,net_debt_ratio,gross_debt_ratio,interest_ratio,total_fiscal_expenditure_ratio,fiscal_deficit_ratio,effective_interest_rate,model,model_label,anchor_type,anchor_label
2025,,2776242,,0.363,0.288,0.516,0.015,0.288,0.516,0.015,,,0.0290697674418605,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2026,0.371,2959816.32694817,0.0661233159602694,0.363,0.31,0.534,0.016,0.31,0.534,0.016,0.387,0.024,0.0330580873165975,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2027,0.371,3092714.09358704,0.0449006802985978,0.367,0.333,0.554,0.018,0.333,0.554,0.018,0.389,0.022,0.0352213712460201,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2028,0.364,3183066.81155288,0.0292147011433073,0.364,0.353,0.575,0.02,0.353,0.575,0.02,0.384,0.02,0.0371557653842349,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2029,0.357,3328609.76397991,0.0457241274040448,0.358,0.363,0.583,0.021,0.363,0.583,0.021,0.378,0.0200000000000001,0.0381916637834521,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2030,0.349,3505963.3234439,0.0532815715988089,0.357,0.365,0.58,0.022,0.365,0.58,0.022,0.371,0.014,0.0397464743999551,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2031,0.356059054605676,3660225.70967544,0.0440000000000025,0.358714285714286,,,,0.369380583192408,0.584380583192408,0.0224189560634706,0.378478010669147,0.0197637249548609,0.0403541209142472,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2032,0.362440618445469,3821275.64090114,0.0439999999999947,0.360428571428571,,,,0.378753277602043,0.593753277602043,0.0229284114353273,0.385369029880796,0.0249404584522249,0.0409617674285393,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2033,0.368174152937029,3989411.76910081,0.0440000000000051,0.362142857142857,,,,0.392463530831138,0.607463530831138,0.023641739249571,0.3918158921866,0.0296730350437428,0.0415694139428315,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2034,0.373408480420876,4164945.88694123,0.043999999999996,0.363857142857143,,,,0.410015472522069,0.625015472522069,0.0245412127062862,0.397949693127162,0.0340925502700193,0.0421770604571236,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2035,0.378160704278326,4348203.50596666,0.0440000000000038,0.365571428571429,,,,0.430938486785944,0.645938486785944,0.0256140841422007,0.403774788420527,0.0382033598490982,0.0427847069714157,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2036,0.383009143219036,4539524.46022921,0.0440000000000038,0.367285714285714,,,,0.455347258372576,0.670347258372576,0.0268475011002288,0.409856644319265,0.0425709300335504,0.0433923534857079,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2037,0.383908590983177,4739263.53647929,0.0439999999999989,0.369,,,,0.479317152037746,0.694317152037746,0.0282521833030588,0.412160774286236,0.0431607742862358,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2038,0.384781280345679,4947791.13208435,0.043999999999994,0.369,,,,0.50415973506542,0.71915973506542,0.0292624087065718,0.414043689052251,0.0450436890522509,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2039,0.385627738342123,5165493.94189609,0.0440000000000058,0.369,,,,0.529848776089533,0.744848776089533,0.0303094141215309,0.415937152463654,0.0469371524636539,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2040,0.38644847658902,5392775.6753395,0.0439999999999965,0.369,,,,0.556358555360547,0.771358555360547,0.0313920940114363,0.417840570600456,0.0488405706004564,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2041,0.387243991879473,5630057.80505447,0.0440000000000058,0.369,,,,0.583663849922009,0.798663849922009,0.0325093644021685,0.419753356281642,0.0507533562816415,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2042,0.388014766750352,5877780.34847686,0.0439999999999987,0.369,,,,0.611739919354354,0.826739919354354,0.0336601622572495,0.421674929007601,0.0526749290076014,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2043,0.388761270022601,6136402.68380979,0.0439999999999912,0.369,,,,0.640562492058953,0.855562492058953,0.0348434448770037,0.423604714899605,0.0546047148996047,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2044,0.389483957316195,6406404.40189743,0.0440000000000016,0.369,,,,0.670107752057139,0.885107752057139,0.0360581893204922,0.425542146636687,0.0565421466366872,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2045,0.39018327154114,6688286.19558095,0.0440000000000051,0.369,,,,0.700352326280268,0.915352326280268,0.0373033918491513,0.427486663390291,0.0584866633902912,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2046,0.390859643365884,6982570.78818646,0.0439999999999923,0.369,,,,0.731273272328149,0.946273272328149,0.0385780673911227,0.429437710757007,0.0604377107570067,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2047,0.391513491664292,7289803.90286669,0.0440000000000038,0.369,,,,0.762848066674431,0.977848066674431,0.0398812490253242,0.431394740689616,0.0623947406896162,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2048,0.39214522394247,7610555.27459282,0.0439999999999994,0.369,,,,0.795054593298894,1.01005459329889,0.041211987484363,0.433357211426833,0.064357211426833,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2049,0.392755236746416,7945419.70667491,0.0440000000000009,0.369,,,,0.827871132727301,1.0428711327273,0.0425693506754323,0.435324587421848,0.0663245874218483,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2050,0.393343916051557,8295018.17376862,0.0440000000000018,0.369,,,,0.861276351460849,1.07627635146085,0.0439524232183919,0.437296339269949,0.0682963392699489,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2051,0.393911637635154,8659998.97341444,0.044,0.369,,,,0.895249291777996,1.110249291778,0.0453603060002657,0.43927194363542,0.0702719436354197,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2052,0.394458767432441,9041038.92824466,0.0439999999999983,0.369,,,,0.92976936189243,1.14476936189243,0.0467921157454329,0.441250883177874,0.0722508831778739,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2053,0.394985661877339,9438844.64108742,0.0439999999999996,0.369,,,,0.964816326451762,1.17981632645176,0.0482469846008304,0.443232646478169,0.0742326464781695,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2054,0.39549266822857,9854153.80529532,0.0440000000000056,0.369,,,,1.00037029736232,1.21537029736232,0.0497240597355146,0.445216727964085,0.0762167279640846,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2055,0.395980124881912,10287736.5727283,0.0439999999999985,0.369,,,,1.03641172492623,1.25141172492623,0.0512225029539676,0.44720262783588,0.0782026278358796,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2056,0.396448361669221,10740396.9819283,0.0439999999999956,0.369,,,,1.07292138927744,1.28792138927744,0.0527414903225614,0.449189851991782,0.0801898519917824,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2057,0.396897700145037,11212974.4491331,0.0439999999999958,0.369,,,,1.10988039210448,1.32488039210448,0.0542802118086281,0.451177911953665,0.0821779119536651,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2058,0.397328453861218,11706345.324895,0.0440000000000038,0.369,,,,1.14727014864768,1.36227014864768,0.0558378709316061,0.453166324792824,0.0841663247928241,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2059,0.397740928630324,12221424.5191904,0.0440000000000018,0.369,,,,1.18507237996,1.40007237996,0.0574136844257643,0.455154613056088,0.0861546130560883,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2060,0.398135422778255,12759167.1980348,0.0440000000000018,0.369,,,,1.22326910542024,1.43826910542024,0.0590068819140228,0.457142304692278,0.0881423046922777,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2061,0.398512227386627,13320570.5547483,0.0439999999999976,0.369,,,,1.26184263548886,1.47684263548886,0.0606167055924241,0.459128932979051,0.0901289329790512,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2062,0.398871626525453,13906675.6591572,0.043999999999998,0.369,,,,1.30077556469631,1.51577556469631,0.0622424099248182,0.461114036450271,0.0921140364502712,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2063,0.399213897476558,14518569.3881602,0.044000000000006,0.369,,,,1.34005076485485,1.55505076485485,0.0638832613473538,0.463097158823912,0.0940971588239118,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2064,0.399539310948133,15157386.4412392,0.0439999999999967,0.369,,,,1.37965137848498,1.59465137848498,0.0655385379823887,0.465077848930522,0.0960778489305217,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2065,0.399848131280898,15824311.4446538,0.0440000000000049,0.369,,,,1.41956081244787,1.63456081244787,0.0672075293614358,0.467055660642334,0.0980556606423337,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2066,0.400140616646279,16520581.1482184,0.0439999999999896,0.369,,,,1.45976273177615,1.67476273177615,0.0688895361568074,0.469030152803086,0.100030152803086,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2025,,2776242,,0.363,0.288,0.516,0.015,0.288,0.516,0.015,,,0.0290697674418605,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2026,0.371,2956248.13236951,0.0648380553170473,0.363,0.31,0.534,0.016,0.31,0.534,0.016,0.387,0.024,0.0330182342733968,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2027,0.371,3085243.7260513,0.0436349006936696,0.367,0.333,0.554,0.018,0.333,0.554,0.018,0.389,0.022,0.0351787045177641,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2028,0.364,3171522.24394209,0.0279648953378522,0.364,0.353,0.575,0.02,0.353,0.575,0.02,0.384,0.02,0.0371106460410777,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2029,0.357,3312505.0653655,0.0444527298185282,0.358,0.363,0.583,0.021,0.363,0.583,0.021,0.378,0.0200000000000001,0.0381452301325028,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2030,0.349,3484753.42999711,0.0519994267880777,0.357,0.365,0.58,0.022,0.365,0.58,0.022,0.371,0.014,0.0396980915769086,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2031,0.357286128691475,3621451.71564813,0.0392275345722619,0.358714285714286,,,,0.372293019557862,0.587293019557862,0.0224987658405346,0.37978489453201,0.0210706088177239,0.0403126499230645,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2032,0.364894766617068,3763512.33802547,0.0392275345722553,0.360428571428571,,,,0.385835308399584,0.600835308399584,0.0231289712087904,0.388023737825858,0.027595166397287,0.0409272082692204,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2033,0.371855375194427,3911145.6483785,0.0392275345722624,0.362142857142857,,,,0.405001379142493,0.620001379142493,0.0240176085847133,0.39587298377914,0.0337301266362831,0.0415417666153763,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2034,0.378316776764072,4064570.24951742,0.0392275345722621,0.363857142857143,,,,0.42932389068942,0.64432389068942,0.0251503917537047,0.403467168517777,0.0396100256606339,0.0421563249615323,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2035,0.384296074707323,4224013.31950173,0.0392275345722566,0.365571428571429,,,,0.458360988930165,0.673360988930165,0.0265180636811897,0.410814138388513,0.0452427098170841,0.0427708833076882,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2036,0.390371587733832,4389710.94802619,0.0392275345722646,0.367285714285714,,,,0.492256518573538,0.707256518573538,0.0281113258890207,0.418482913622853,0.0511971993371383,0.0433854416538441,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2037,0.392498109583773,4561908.48600211,0.0392275345722588,0.369,,,,0.527118142713662,0.742118142713662,0.0299446327026393,0.422442742286412,0.0534427422864123,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2038,0.394597873032073,4740860.90885223,0.0392275345722568,0.369,,,,0.564239626037071,0.779239626037071,0.0314206438851152,0.426018516917188,0.0570185169171882,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2039,0.396671405114316,4926833.19405653,0.0392275345722648,0.369,,,,0.603605115174307,0.818605115174307,0.0329923355617623,0.429663740676078,0.0606637406760783,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2040,0.398719217447011,5120100.71350814,0.0392275345722599,0.369,,,,0.645199195568686,0.860199195568686,0.0346590365145536,0.433378253961565,0.0643782539615647,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2041,0.400741806823265,5320949.64126074,0.0392275345722612,0.369,,,,0.689006878668042,0.904006878668042,0.0364200941044162,0.437161900927681,0.0681619009276812,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2042,0.402739655779943,5529677.37727053,0.0392275345722561,0.369,,,,0.735013589624856,0.950013589624856,0.038274873728943,0.441014529508886,0.072014529508886,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2043,0.40471323313799,5746592.98776084,0.0392275345722575,0.369,,,,0.783205155480178,0.998205155480178,0.0402227583016251,0.444935991439615,0.0759359914396151,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2044,0.406662994517382,5972017.66286096,0.0392275345722644,0.369,,,,0.833567793808273,1.04856779380827,0.0422631477515704,0.448926142268952,0.0799261422689523,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2045,0.408589382828127,6206285.19219699,0.0392275345722608,0.369,,,,0.886088101800116,1.10108810180012,0.0443954585427278,0.452984841370855,0.0839848413708548,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2046,0.41049282873867,6449742.45913918,0.0392275345722564,0.369,,,,0.940753045765131,1.15575304576513,0.0466191232116902,0.45711195195036,0.0881119519503603,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2047,0.412373751122877,6702749.95443726,0.0392275345722637,0.369,,,,0.997549951031718,1.21254995103172,0.0489335899232081,0.461307341046085,0.0923073410460851,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2048,0.414232557486855,6965682.31000415,0.0392275345722581,0.369,,,,1.05646649222826,1.27146649222826,0.0513383220425883,0.465570879529443,0.0965708795294433,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2049,0.4160696443766,7238928.85363922,0.0392275345722604,0.369,,,,1.11749068392706,1.33249068392706,0.053832797724196,0.469902442100796,0.100902442100796,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2050,0.417885397767541,7522894.18551149,0.039227534572261,0.369,,,,1.18061087163495,1.39561087163495,0.0564165095153318,0.474301907282873,0.105301907282873,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2051,0.419680193436935,7817998.77725713,0.0392275345722644,0.369,,,,1.24581572311484,1.46081572311484,0.059088963974778,0.478769157411713,0.109769157411713,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2052,0.421454397320022,8124679.59457785,0.0392275345722575,0.369,,,,1.31309422002365,1.52809422002365,0.0618496813053638,0.483304078625386,0.114304078625386,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2053,0.423208365850719,8443390.74426268,0.039227534572259,0.369,,,,1.38243564985241,1.59743564985241,0.0646981949999184,0.487906560850638,0.118906560850637,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2054,0.42494244628775,8774604.14659038,0.0392275345722641,0.369,,,,1.45382959815565,1.66882959815565,0.0676340515000266,0.492576497787777,0.123576497787777,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2055,0.426656977026891,9118810.23410862,0.0392275345722566,0.369,,,,1.52726594105719,1.74226594105719,0.0706568098670244,0.497313786893915,0.128313786893915,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2056,0.428352287899998,9476518.67782499,0.0392275345722597,0.369,,,,1.60273483802062,1.81773483802062,0.073766041464701,0.502118329364699,0.133118329364699,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2057,0.430028700461614,9848259.14188405,0.0392275345722612,0.369,,,,1.6802267248732,1.8952267248732,0.076961329653209,0.506990030114823,0.137990030114823,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2058,0.431686528263594,10234582.0678489,0.0392275345722619,0.369,,,,1.75973230707229,1.97473230707229,0.0802422694937001,0.511928797757294,0.142928797757294,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2059,0.433326077118499,10636059.4897481,0.0392275345722624,0.369,,,,1.84124255320429,2.05624255320429,0.0836084674632329,0.516934544581732,0.147934544581732,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2060,0.434947645352229,11053285.8810948,0.0392275345722593,0.369,,,,1.92474868870638,2.13974868870638,0.087059541179524,0.522007186531753,0.153007186531753,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2061,0.436551524046401,11486879.0351325,0.0392275345722581,0.369,,,,2.01024218980174,2.22524218980174,0.0905951191351297,0.527146643181531,0.158146643181531,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2062,0.438137997271025,11937480.9796105,0.0392275345722577,0.369,,,,2.09771477763965,2.31271477763965,0.0942148404406705,0.532352837711696,0.163352837711696,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2063,0.439707342307929,12405758.9274439,0.0392275345722626,0.369,,,,2.18715841263209,2.40215841263209,0.0979183545767272,0.537625696884656,0.168625696884656,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2064,0.441259829865303,12892406.2646653,0.0392275345722577,0.369,,,,2.27856528897886,2.49356528897886,0.101705321154058,0.542965151019361,0.173965151019361,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2065,0.442795724283868,13398143.5771321,0.0392275345722617,0.369,,,,2.37192782937376,2.58692782937376,0.105575409681797,0.548371133965665,0.179371133965665,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2066,0.444315283735047,13923719.7175081,0.0392275345722561,0.369,,,,2.46723867988461,2.68223867988461,0.109528299343315,0.553843583078362,0.184843583078362,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2025,,2776242,,0.363,0.288,0.516,0.015,0.288,0.516,0.015,,,0.0290697674418605,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2026,0.371,2952684.23941336,0.0635543441145838,0.363,0.31,0.534,0.016,0.31,0.534,0.016,0.387,0.024,0.0329784292748708,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2027,0.371,3077791.40298699,0.0423706544383107,0.367,0.333,0.554,0.018,0.333,0.554,0.018,0.389,0.022,0.0351360894754487,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2028,0.364,3160019.54697027,0.026716607208493,0.364,0.353,0.575,0.02,0.353,0.575,0.02,0.384,0.02,0.0370655814876712,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2029,0.357,3296478.2855628,0.0431828780057268,0.358,0.363,0.583,0.021,0.363,0.583,0.021,0.378,0.0200000000000001,0.0380988529358613,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2030,0.349,3463671.84923888,0.050718842714153,0.357,0.365,0.58,0.022,0.365,0.58,0.022,0.371,0.014,0.0396497676495907,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2031,0.358513202777275,3583088.46749609,0.0344768856447677,0.358714285714286,,,,0.375213117659678,0.590213117659678,0.0225788641430341,0.381092066920309,0.0223777812060235,0.0402712294139349,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2032,0.367348914788667,3706622.19884502,0.0344768856447624,0.360428571428571,,,,0.392959438047649,0.607959438047649,0.0233310217799439,0.390679936568611,0.0302513651400395,0.0408926911782791,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2033,0.375536597451825,3834414.98852297,0.0344768856447713,0.362142857142857,,,,0.417654449218878,0.632654449218878,0.0243977622354418,0.399934359687267,0.0377915025444096,0.0415141529426233,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2034,0.383225073107269,3966613.67559688,0.0344768856447728,0.363857142857143,,,,0.448871710855993,0.663871710855993,0.0257688542729693,0.408993927380238,0.0451367845230955,0.0421356147069674,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
