year,primary_fiscal_ratio,nominal_gdp,nominal_gdp_growth,revenue_ratio,official_net_debt,official_gross_debt,official_interest,net_debt_ratio,gross_debt_ratio,interest_ratio,total_fiscal_expenditure_ratio,fiscal_deficit_ratio,effective_interest_rate,model,model_label,anchor_type,anchor_label,contribution_group
2025,,2776242,,0.363,0.288,0.516,0.015,0.288,0.516,0.015,,,0.0290697674418605,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2026,0.371,2959816.32694817,0.0661233159602694,0.363,0.31,0.534,0.016,0.31,0.534,0.016,0.387,0.024,0.0330580873165975,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2027,0.371,3092714.09358704,0.0449006802985978,0.367,0.333,0.554,0.018,0.333,0.554,0.018,0.389,0.022,0.0352213712460201,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2028,0.364,3183066.81155288,0.0292147011433073,0.364,0.353,0.575,0.02,0.353,0.575,0.02,0.384,0.02,0.0371557653842349,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2029,0.357,3328609.76397991,0.0457241274040448,0.358,0.363,0.583,0.021,0.363,0.583,0.021,0.378,0.0200000000000001,0.0381916637834521,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2030,0.349,3505963.3234439,0.0532815715988089,0.357,0.365,0.58,0.022,0.365,0.58,0.022,0.371,0.014,0.0397464743999551,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2031,0.347620236109596,3660225.70967544,0.0440000000000025,0.358714285714286,,,,0.360941764696328,0.575941764696328,0.0224189560634706,0.370039192173067,0.0113249064587808,0.0403541209142472,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2032,0.346252062405039,3821275.64090114,0.0439999999999947,0.360428571428571,,,,0.354150461583942,0.569150461583942,0.0225973109366606,0.3688493733417,0.00842080191312811,0.0409617674285393,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2033,0.344511531326414,3989411.76910081,0.0440000000000051,0.362142857142857,,,,0.344255372188611,0.559255372188611,0.0226621179438088,0.367173649270222,0.00503079212736518,0.0415694139428315,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
2034,0.342718050807519,4164945.88694123,0.043999999999996,0.363857142857143,,,,0.331201061046528,0.546201061046528,0.0225936280112742,0.365311678818793,0.00145453596165024,0.0421770604571236,without_age.composition,Counterfactual without Age composition,pbo,PBO forecast through 2029-30,Age composition
