year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2019,34.0792684143503,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0,34.0792684143503,34.0792684143503,34.0792684143503,34.0792684143503
2020,35.1287305698394,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.0952966708218069,35.0066029721565,35.2508581675222,34.9419525271821,35.3155086124967
2021,34.8865884128879,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.177310828471767,34.6593554430719,35.1138213827039,34.5390655750143,35.2341112507615
2022,33.8474994361937,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.343346699860757,33.4074829354625,34.2875159369248,33.1745522702559,34.5204466021314
2023,33.8568796810974,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.382748363794106,33.3663679162674,34.3473914459273,33.1067066729193,34.6070526892754
2024,35.6074967851715,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.369346267851057,35.1341604973789,36.0808330729641,34.8835914023591,36.3314021679838
2025,36.9794831052611,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.427949201486398,36.4310441361226,37.5279220743995,36.1407180831351,37.8182481273871
2026,37.5784806762726,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.477796203199178,36.9661602040514,38.1908011484937,36.6420173260522,38.5149440264929
2027,38.4808124379159,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.548072651086595,37.7784290738837,39.1831958019481,37.4066097808748,39.555015094957
2028,39.7051240856766,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.641734111390552,38.8827087305607,40.5275394407926,38.4473483397003,40.9628998316529
2029,40.4157484448042,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.705054489251942,39.5121847603091,41.3193121292993,39.0338670387321,41.7976298508763
2030,40.8861054122024,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.759555097237053,39.9126963882209,41.8595144361839,39.397404777344,42.3748060470609
2031,41.59201087277,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.834297403670086,40.5228157289668,42.6612060165732,39.9568180091814,43.2272037363587
2032,42.2301672567494,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.910719635374227,41.0630330822633,43.3973014312354,40.4451895714024,44.0151449420963
2033,42.8035207059053,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.990240930980085,41.5344758905415,44.0725655212692,40.8626841451669,44.7443572666437
