year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2025,36.4354044063882,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0,36.4354044063882,36.4354044063882,36.4354044063882,36.4354044063882
2026,37.0344019773997,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.0578276188665691,36.9602929019095,37.1085110528899,36.9210619271095,37.1477420276899
2027,37.936733739043,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.135991287178235,37.7624538920593,38.1110135860267,37.6701957139624,38.2032717641236
2028,39.1610453868038,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.240881825788889,38.8523429058528,39.4697478677548,38.6889256837273,39.6331650898802
2029,39.8716697459313,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.303865817549891,39.4822500317348,40.2610894601279,39.2761036874007,40.467235804462
2030,40.3420267133296,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.354799543374208,39.8873328030638,40.7967206235953,39.6466323865849,41.0374210400743
2031,41.0479321738972,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.431292148141473,40.4952090462394,41.600655301555,40.202615096725,41.8932492510694
2032,41.6860885578765,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.511216574018859,41.0309381571103,42.3412389586427,40.6841224844996,42.6880546312534
2033,42.2594420070325,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.595163978777144,41.4967086782749,43.0221753357901,41.0929420437337,43.4259419703312
2034,42.7828747554172,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.677067160409333,41.9151782760158,43.6505712348186,41.4558475059001,44.1099020049343
2035,43.2580971411621,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.761229183934718,42.2825426887524,44.2336515935719,41.7661153566693,44.750078925655
2036,43.7429410352331,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.845247461580195,42.6597128275724,44.8261692428938,42.086286452512,45.3995956179542
2037,43.8328858116473,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.870755881603094,42.7169672483717,44.9488043749229,42.1262356443788,45.5395359789158
2038,43.9201547478975,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.89673203223316,42.7709464081151,45.0693630876799,42.1625922609371,45.6777172348579
2039,44.0048005475419,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.923148445600838,42.821738211852,45.1878628832317,42.1954628417801,45.8141382533036
