year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2026,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2027,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2028,36.4,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,36.4,36.4,36.4,36.4
2029,35.7,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,35.7,35.7,35.7,35.7
2030,34.9,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,34.9,34.9,34.9,34.9
2031,35.6059054605676,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.0872063115309848,35.4941460754997,35.7176648456355,35.4349842307423,35.7768266903929
2032,36.2440618445469,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.180874430869492,36.0122619344992,36.4758617545947,35.8895544743186,36.5985692147753
2033,36.8174152937029,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.27799206266098,36.4611541305908,37.1736764568151,36.2725608628994,37.3622697245064
2034,37.3408480420876,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.370259359191554,36.8663415806582,37.8153545035171,36.6151530331333,38.066543051042
2035,37.8160704278326,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.464925823632101,37.2202440106948,38.4118968449704,36.904832558031,38.7273082976341
2036,38.3009143219036,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.556581863502374,37.5876259633784,39.0142026804288,37.2100339149907,39.3917947288164
2037,38.3908590983177,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.58598162615592,37.6398934279372,39.1418247686982,37.2423562154499,39.5393619811855
2038,38.4781280345679,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.615820686658022,37.6889220694866,39.2673339996493,37.2711416677835,39.6851144013524
2039,38.5627738342123,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.646053371795631,37.7348231241622,39.3907245442624,37.2965324934022,39.8290151750224
