year,primary_fiscal_pp,model,model_label,path_type,underlying_model,income_case,income_case_label
2019,34.0792684143503,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2020,35.1287305698394,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2021,34.8865884128879,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2022,33.8474994361937,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2023,33.8568796810974,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2024,35.6074967851715,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2025,36.9794831052611,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2026,37.5784806762726,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2027,38.4808124379159,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2028,39.7051240856766,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2029,40.4157484448042,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2030,40.8861054122024,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2031,41.59201087277,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2032,42.2301672567494,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2033,42.8035207059053,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2034,43.32695345429,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2035,43.802175840035,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2036,44.287019734106,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2037,44.3769645105201,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2038,44.4642334467703,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2039,44.5488792464147,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2040,44.6309530711044,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2041,44.7105046001497,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2042,44.7875820872376,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2043,44.8622324144625,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2044,44.9345011438219,central_gdp,GDP PC model: 1.03% growth,FY2018-19 actual; deterministic structural changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
