year,sample,spending_pp,0_14,65_74,75p,65p,unemployment,tot_z,rp_z,log_real_gdp_per_capita,age_0_14_pp,age_65_74_pp,age_75p_pp,age_65p_pp,relative_price,terms_of_trade,log_relative_price,log_terms_of_trade,covid_fy2020,d_covid_fy2020,covid_fy2021,d_covid_fy2021,covid_fy2022,d_covid_fy2022,dy,d_age_0_14_pp,d_age_65_74_pp,d_age_75p_pp,d_age_65p_pp,d_log_relative_price,d_log_real_gdp_per_capita,d_unemployment,d_log_terms_of_trade,d_unemployment_l1,d_log_terms_of_trade_l1,spending_lag_pp
1980,history,31.4282533674719,0.25252834977254,0.0621752885741591,0.0339963863413721,0.0961716749155311,6.16142528333333,-0.564634772728929,-1.10829365862547,-3.00880761072013,25.252834977254,6.21752885741591,3.39963863413721,9.61716749155311,0.983978408014473,53.8,-0.0161513252453593,3.98527346716774,0,,0,,0,,,,,,,,,,,,,
1981,history,32.1981180877047,0.249646524955003,0.0628331879227461,0.0346655489484201,0.0974987368711662,5.845407475,-0.609861698316938,-0.43157996508378,-2.99131806418218,24.9646524955003,6.28331879227461,3.46655489484201,9.74987368711662,1.00441853145135,53.075,0.00440879840125078,3.97170600758932,0,0,0,0,0,0,0.769864720232803,-0.288182481753701,0.0657899348587003,0.0669162607047995,0.132706195563511,0.0205601236466101,0.0174895465379499,-0.31601780833333,-0.0135674595784185,,,31.4282533674719
1982,history,32.1765360843483,0.246636267178741,0.0632817024117166,0.0354237519977118,0.0987054544094284,6.1401982,-0.661326820537777,0.0774972448369878,-2.97591363004503,24.6636267178741,6.32817024117166,3.54237519977118,9.87054544094284,1.01979519828843,52.25,0.0196018211442415,3.95603989084492,0,0,0,0,0,0,-0.0215820033564,-0.301025777626201,0.0448514488970506,0.0758203049291701,0.120671753826221,0.0151930227429907,0.01540443413715,0.294790725,-0.0156661167443994,-0.31601780833333,-0.0135674595784185,32.1981180877047
1983,history,34.6135629256176,0.243676020588468,0.0634038246862047,0.0363631414667204,0.0997669661529251,8.940234075,-0.694077352860128,0.118288963472601,-3.01210704141527,24.3676020588468,6.34038246862047,3.63631414667204,9.97669661529251,1.02102731132541,51.725,0.0208092884089089,3.94594122363161,0,0,0,0,0,0,2.4370268412693,-0.296024659027299,0.0122122274488099,0.09393894690086,0.106151174349669,0.00120746726466737,-0.03619341137024,2.800035875,-0.0100986672133132,0.294790725,-0.0156661167443994,32.1765360843483
1984,history,34.8398490058305,0.239791465532895,0.0635175662514665,0.0374996044453856,0.101017170696852,9.64100325833333,-0.639493132322875,-0.412735532992449,-2.97948001632149,23.9791465532895,6.35175662514665,3.74996044453856,10.1017170696852,1.00498772714182,52.6,0.00497532963728921,3.96271611974366,0,0,0,0,0,0,0.226286080212894,-0.3884555055573,0.0113741565261796,0.11364629786652,0.125020454392688,-0.0158339587716197,0.0326270250937801,0.70076918333333,0.0167748961120573,2.800035875,-0.0100986672133132,34.6135629256176
1985,history,35.481339785977,0.235968290973728,0.0640143164133063,0.038658407561239,0.102672723974545,8.611149875,-0.67068411548702,0.0429197956547771,-2.94132911066459,23.5968290973728,6.40143164133063,3.8658407561239,10.2672723974545,1.0187507871347,52.1,0.0185771582201982,3.95316494875932,0,0,0,0,0,0,0.641490780146505,-0.382317455916699,0.0496750161839792,0.11588031158534,0.165555327769301,0.013601828582909,0.0381509056569,-1.02985338333333,-0.00955117098434322,0.70076918333333,0.0167748961120573,34.8398490058305
1986,history,35.3111194481238,0.230954998486111,0.0651345488143286,0.0398769536188184,0.105011502433147,7.93674520833333,-0.987272594603088,0.237722666637494,-2.91686539954489,23.0954998486111,6.51345488143286,3.98769536188184,10.5011502433147,1.02463480391572,47.025,0.0243362602417049,3.85067937518709,0,0,0,0,0,0,-0.170220337853195,-0.501329248761699,0.112023240102231,0.12185460575794,0.233877845860199,0.00575910202150671,0.0244637111196999,-0.67440466666667,-0.102485573572227,-1.02985338333333,-0.00955117098434322,35.481339785977
1987,history,35.2234222602202,0.226719906954518,0.0661065746082391,0.0408351663324495,0.106941740940689,8.25127596666667,-1.13854886294919,-0.114238235632554,-2.90682936978109,22.6719906954518,6.61065746082391,4.08351663324495,10.6941740940689,1.01400383197587,44.6,0.0139066842307574,3.79773385902602,0,0,0,0,0,0,-0.0876971879036077,-0.423509153159301,0.09720257939105,0.0958212713631101,0.193023850754201,-0.0104295760109475,0.0100360297638002,0.31453075833334,-0.0529455161610755,-0.67440466666667,-0.102485573572227,35.3111194481238
1988,history,32.9278797051694,0.223747538434775,0.0666458426132235,0.0417115992800459,0.108357441893269,7.76453036666667,-0.903056940059898,-1.09294714596988,-2.86717683751487,22.3747538434775,6.66458426132235,4.17115992800459,10.8357441893269,0.984441949119078,48.375,-0.0156803474773292,3.87898315134995,0,0,0,0,0,0,-2.29554255505079,-0.297236851974301,0.0539268004984397,0.0876432947596397,0.141570095257999,-0.0295870317080866,0.0396525322662198,-0.4867456,0.0812492923239274,0.31453075833334,-0.0529455161610755,35.2234222602202
1989,history,31.3529456414483,0.221531214643435,0.0670766085482838,0.0427395753738935,0.109816183922177,6.6080013,-0.463264077445458,-2.01698499504997,-2.84604888889513,22.1531214643435,6.70766085482838,4.27395753738935,10.9816183922177,0.956531404562644,55.425,-0.0444416578518496,4.01503075550238,0,0,0,0,0,0,-1.57493406372111,-0.221632379134,0.0430765935060302,0.10279760938476,0.1458742028908,-0.0287613103745204,0.02112794861974,-1.15652906666667,0.136047604152429,-0.4867456,0.0812492923239274,32.9278797051694
