year,log_real_gdp_per_capita,real_gdp_per_capita_growth,scenario_real_gdp,scenario_real_gdp_growth,scenario_nominal_gdp,scenario_nominal_gdp_growth,income_case,income_case_label
2026,-2.30260323850761,0.0167888492054074,2797119.24437432,0.0300708366765881,2959816.32694817,0.0661233159602686,central_gdp,GDP PC model: 1.03% growth
2027,-2.30007125346224,0.00253519322662266,2837584.27312915,0.0144666799015527,3092714.09358704,0.0449006802985994,central_gdp,GDP PC model: 1.03% growth
2028,-2.31021526604776,-0.0100927356210457,2842319.65901467,0.00166880889859589,3183066.81155288,0.0292147011433073,central_gdp,GDP PC model: 1.03% growth
2029,-2.30331489432796,0.00692423413968246,2896255.5373705,0.0189760072146585,3328609.76397991,0.0457241274040434,central_gdp,GDP PC model: 1.03% growth
2030,-2.28805942339694,0.0153724296241267,2976168.37478376,0.0275917771695708,3505963.3234439,0.05328157159881,central_gdp,GDP PC model: 1.03% growth
2031,-2.28167872157361,0.00640110186699339,3031336.37392609,0.018536585365855,3660225.70967544,0.0440000000000014,central_gdp,GDP PC model: 1.03% growth
2032,-2.27534245269268,0.00635638549825046,3087526.99939398,0.0185365853658495,3821275.64090114,0.0439999999999956,central_gdp,GDP PC model: 1.03% growth
2033,-2.26884343323506,0.0065201839091269,3144759.20718764,0.0185365853658577,3989411.76910081,0.044000000000004,central_gdp,GDP PC model: 1.03% growth
2034,-2.26214670432726,0.00671920213452681,3203052.30468672,0.0185365853658506,4164945.88694123,0.0439999999999967,central_gdp,GDP PC model: 1.03% growth
2035,-2.2552671478498,0.0069032749858664,3262425.95716385,0.0185365853658586,4348203.50596666,0.0440000000000049,central_gdp,GDP PC model: 1.03% growth
2036,-2.24820946737433,0.00708264459735775,3322900.19441861,0.0185365853658572,4539524.46022921,0.0440000000000036,central_gdp,GDP PC model: 1.03% growth
2037,-2.23988832837576,0.00835585590360699,3384495.41753466,0.0185365853658528,4739263.53647929,0.0439999999999989,central_gdp,GDP PC model: 1.03% growth
2038,-2.23146727540549,0.00845660977533336,3447232.40576211,0.018536585365847,4947791.13208435,0.0439999999999932,central_gdp,GDP PC model: 1.03% growth
2039,-2.22294827637697,0.00855538896261399,3511132.32352747,0.0185365853658592,5165493.94189609,0.0440000000000056,central_gdp,GDP PC model: 1.03% growth
2040,-2.21433324162994,0.00865225095508126,3576216.72757333,0.0185365853658497,5392775.6753395,0.0439999999999958,central_gdp,GDP PC model: 1.03% growth
2041,-2.20562402615454,0.00874725103226592,3642507.57423081,0.0185365853658594,5630057.80505447,0.0440000000000058,central_gdp,GDP PC model: 1.03% growth
2042,-2.1968224317092,0.00884044236864012,3710027.2268263,0.0185365853658528,5877780.34847686,0.0439999999999989,central_gdp,GDP PC model: 1.03% growth
2043,-2.18793020883804,0.00893187613302193,3778798.46322598,0.0185365853658455,6136402.68380979,0.0439999999999916,central_gdp,GDP PC model: 1.03% growth
2044,-2.17894905879367,0.00902160158218357,3848844.48351993,0.0185365853658546,6406404.40189743,0.0440000000000009,central_gdp,GDP PC model: 1.03% growth
2045,-2.16988063537063,0.00910966614929554,3920188.91784862,0.0185365853658599,6688286.19558095,0.0440000000000063,central_gdp,GDP PC model: 1.03% growth
2046,-2.1607265466543,0.00919611552761057,3992855.83437456,0.0185365853658461,6982570.78818646,0.0439999999999923,central_gdp,GDP PC model: 1.03% growth
2047,-2.15148835668996,0.0092809937495455,4066869.74740201,0.0185365853658575,7289803.90286669,0.0440000000000038,central_gdp,GDP PC model: 1.03% growth
2048,-2.14216758707649,0.00936434326132218,4142255.62564653,0.0185365853658521,7610555.27459282,0.0439999999999983,central_gdp,GDP PC model: 1.03% growth
2049,-2.13276571848846,0.00944620499392457,4219038.90065852,0.0185365853658552,7945419.70667491,0.0440000000000016,central_gdp,GDP PC model: 1.03% growth
2050,-2.12328419213072,0.00952661842999114,4297245.47540244,0.0185365853658555,8295018.17376862,0.0440000000000018,central_gdp,GDP PC model: 1.03% growth
2051,-2.11372441112889,0.00960562166736123,4376901.73299526,0.0185365853658532,8659998.97341444,0.0439999999999994,central_gdp,GDP PC model: 1.03% growth
2052,-2.10408774185913,0.00968325147927596,4458034.54560688,0.0185365853658523,9041038.92824466,0.0439999999999985,central_gdp,GDP PC model: 1.03% growth
2053,-2.0943755152204,0.00975954337142193,4540671.28352544,0.0185365853658532,9438844.64108742,0.0439999999999994,central_gdp,GDP PC model: 1.03% growth
2054,-2.08458902785213,0.0098345316360795,4624839.82439082,0.0185365853658592,9854153.80529532,0.0440000000000056,central_gdp,GDP PC model: 1.03% growth
2055,-2.07472954330009,0.00990824940352519,4710568.56259903,0.0185365853658512,10287736.5727283,0.0439999999999974,central_gdp,GDP PC model: 1.03% growth
2056,-2.06479829313305,0.00998072869086597,4797886.41888133,0.018536585365849,10740396.9819283,0.0439999999999952,central_gdp,GDP PC model: 1.03% growth
2057,-2.05479647801279,0.010052000448354,4886822.8500606,0.0185365853658559,11212974.4491331,0.0440000000000023,central_gdp,GDP PC model: 1.03% growth
2058,-2.0447252687197,0.010122094603475,4977407.85898856,0.0185365853658559,11706345.324895,0.0440000000000023,central_gdp,GDP PC model: 1.03% growth
2059,-2.03458580713618,0.0101910401028631,5069672.00466738,0.0185365853658535,12221424.5191904,0.0439999999999996,central_gdp,GDP PC model: 1.03% growth
