model,model_label,horizon,observations,mean_error_pp,mae_pp,rmse_pp
with_income,Structural-change model with real GDP per capita,1,16,-0.797640319884649,1.23668367489498,2.08851247111485
with_income,Structural-change model with real GDP per capita,2,16,-1.07746992414628,1.66027631488291,2.35312345196228
with_income,Structural-change model with real GDP per capita,3,16,-1.21409220103127,1.88938242927349,2.49690084281757
with_income,Structural-change model with real GDP per capita,4,16,-1.25174252848012,2.06409751853533,2.72775922337925
with_income,Structural-change model with real GDP per capita,5,16,-1.14189108592083,2.03203616535945,2.78823097822149
no_income,Sensitivity: omit real GDP per capita,1,16,-1.08154294681862,1.40975637866559,2.67864181808417
no_income,Sensitivity: omit real GDP per capita,2,16,-1.69774493488793,2.17795761562811,3.37337843357296
no_income,Sensitivity: omit real GDP per capita,3,16,-2.17802639720851,2.78867076365437,3.85930617660352
no_income,Sensitivity: omit real GDP per capita,4,16,-2.68985635626082,3.38398150057397,4.40904825884574
no_income,Sensitivity: omit real GDP per capita,5,16,-3.11137093423219,3.79453223877082,4.91494485209284
structural_only,Sensitivity: omit transitory macro factors,1,16,-0.486351668301957,1.20983050075291,2.03447763423762
structural_only,Sensitivity: omit transitory macro factors,2,16,-0.424752099211672,1.71885972271049,2.33729632037771
structural_only,Sensitivity: omit transitory macro factors,3,16,-0.258197019014009,1.96211575593705,2.49877662885502
structural_only,Sensitivity: omit transitory macro factors,4,16,0.00127618169931298,2.17172556590825,2.76277298758986
structural_only,Sensitivity: omit transitory macro factors,5,16,0.45525359200263,2.28154470341785,2.87473267591192
arima_benchmark,Statistical ARIMA benchmark,1,16,-0.847263237091085,1.21034290845767,2.37506144294788
arima_benchmark,Statistical ARIMA benchmark,2,16,-1.09996459502082,1.6045211930847,2.57126271888866
arima_benchmark,Statistical ARIMA benchmark,3,16,-1.21855313908083,1.62732200633075,2.57652948729842
arima_benchmark,Statistical ARIMA benchmark,4,16,-1.41360800827431,1.69110412733906,2.51550040933094
arima_benchmark,Statistical ARIMA benchmark,5,16,-1.53216742376991,1.75814848121542,2.53596978656551
