group,year,contribution_change_pp,cumulative_contribution_pp
Age composition,2025,0,0
Age composition,2026,1.01183080931553,1.01183080931553
Age composition,2027,0.937109544467058,1.94894035378259
Age composition,2028,0.919639138698297,2.86857949248089
Age composition,2029,0.862456162416821,3.73103565489771
Age composition,2030,0.845981445991669,4.57701710088938
Age composition,2031,0.843881849608013,5.42089895049739
Age composition,2032,0.774973754434986,6.19587270493237
Age composition,2033,0.747406557018547,6.94327926195092
Age composition,2034,0.702780800274174,7.6460600622251
Age composition,2035,0.659466823452261,8.30552688567736
Age composition,2036,0.673858749168284,8.97938563484564
Age composition,2037,0.312796871734391,9.29218250658003
Age composition,2038,0.312796871734751,9.60497937831478
Age composition,2039,0.312796871734745,9.91777625004953
Age composition,2040,0.312796871734391,10.2305731217839
Age composition,2041,0.31279687173475,10.5433699935187
Age composition,2042,0.312796871734671,10.8561668652533
Age composition,2043,0.31279687173439,11.1689637369877
Age composition,2044,0.312796871734748,11.4817606087225
Age composition,2045,0.312796871734391,11.7945574804569
Age composition,2046,0.312796871734743,12.1073543521916
Age composition,2047,0.312796871734751,12.4201512239264
Age composition,2048,0.31279687173439,12.7329480956608
Age composition,2049,0.312796871734664,13.0457449673954
Age composition,2050,0.312796871734751,13.3585418391302
Age composition,2051,0.312796871734414,13.6713387108646
Age composition,2052,0.312796871734743,13.9841355825993
Age composition,2053,0.312796871734748,14.2969324543341
Age composition,2054,0.31279687173439,14.6097293260685
Age composition,2055,0.312796871734751,14.9225261978032
Age composition,2056,0.312796871734312,15.2353230695375
Age composition,2057,0.312796871734751,15.5481199412723
Age composition,2058,0.312796871734743,15.860916813007
Age composition,2059,0.312796871734397,16.1737136847414
Age composition,2060,0.312796871734744,16.4865105564762
Age composition,2061,0.312796871734743,16.7993074282109
Age composition,2062,0.312796871734388,17.1121042999453
Age composition,2063,0.312796871734665,17.42490117168
Age composition,2064,0.312796871734756,17.7376980434147
Age composition,2065,0.312796871734391,18.0504949151491
Age composition,2066,0.31279687173475,18.3632917868839
COVID interventions,2025,0,0
COVID interventions,2026,0,0
COVID interventions,2027,0,0
COVID interventions,2028,0,0
COVID interventions,2029,0,0
COVID interventions,2030,0,0
COVID interventions,2031,0,0
COVID interventions,2032,0,0
COVID interventions,2033,0,0
COVID interventions,2034,0,0
COVID interventions,2035,0,0
COVID interventions,2036,0,0
COVID interventions,2037,0,0
COVID interventions,2038,0,0
COVID interventions,2039,0,0
COVID interventions,2040,0,0
COVID interventions,2041,0,0
COVID interventions,2042,0,0
COVID interventions,2043,0,0
COVID interventions,2044,0,0
COVID interventions,2045,0,0
COVID interventions,2046,0,0
COVID interventions,2047,0,0
COVID interventions,2048,0,0
COVID interventions,2049,0,0
COVID interventions,2050,0,0
COVID interventions,2051,0,0
COVID interventions,2052,0,0
COVID interventions,2053,0,0
COVID interventions,2054,0,0
COVID interventions,2055,0,0
COVID interventions,2056,0,0
COVID interventions,2057,0,0
COVID interventions,2058,0,0
COVID interventions,2059,0,0
COVID interventions,2060,0,0
COVID interventions,2061,0,0
COVID interventions,2062,0,0
COVID interventions,2063,0,0
COVID interventions,2064,0,0
