group,year,contribution_change_pp,cumulative_contribution_pp
Age composition,2030,0,0
Age composition,2031,0.843881849608013,0.843881849608013
Age composition,2032,0.774973754434986,1.618855604043
Age composition,2033,0.747406557018547,2.36626216106155
Age composition,2034,0.702780800274174,3.06904296133572
Age composition,2035,0.659466823452261,3.72850978478798
Age composition,2036,0.673858749168284,4.40236853395626
Age composition,2037,0.312796871734391,4.71516540569066
Age composition,2038,0.312796871734751,5.02796227742541
Age composition,2039,0.312796871734745,5.34075914916015
Age composition,2040,0.312796871734391,5.65355602089454
Age composition,2041,0.31279687173475,5.96635289262929
Age composition,2042,0.312796871734671,6.27914976436396
Age composition,2043,0.31279687173439,6.59194663609835
Age composition,2044,0.312796871734748,6.9047435078331
Age composition,2045,0.312796871734391,7.21754037956749
Age composition,2046,0.312796871734743,7.53033725130224
Age composition,2047,0.312796871734751,7.84313412303699
Age composition,2048,0.31279687173439,8.15593099477138
Age composition,2049,0.312796871734664,8.46872786650604
Age composition,2050,0.312796871734751,8.78152473824079
Age composition,2051,0.312796871734414,9.09432160997521
Age composition,2052,0.312796871734743,9.40711848170995
Age composition,2053,0.312796871734748,9.7199153534447
Age composition,2054,0.31279687173439,10.0327122251791
Age composition,2055,0.312796871734751,10.3455090969138
Age composition,2056,0.312796871734312,10.6583059686482
Age composition,2057,0.312796871734751,10.9711028403829
Age composition,2058,0.312796871734743,11.2838997121176
Age composition,2059,0.312796871734397,11.596696583852
Age composition,2060,0.312796871734744,11.9094934555868
Age composition,2061,0.312796871734743,12.2222903273215
Age composition,2062,0.312796871734388,12.5350871990559
Age composition,2063,0.312796871734665,12.8478840707906
Age composition,2064,0.312796871734756,13.1606809425253
Age composition,2065,0.312796871734391,13.4734778142597
Age composition,2066,0.31279687173475,13.7862746859945
COVID interventions,2030,0,0
COVID interventions,2031,0,0
COVID interventions,2032,0,0
COVID interventions,2033,0,0
COVID interventions,2034,0,0
COVID interventions,2035,0,0
COVID interventions,2036,0,0
COVID interventions,2037,0,0
COVID interventions,2038,0,0
COVID interventions,2039,0,0
COVID interventions,2040,0,0
COVID interventions,2041,0,0
COVID interventions,2042,0,0
COVID interventions,2043,0,0
COVID interventions,2044,0,0
COVID interventions,2045,0,0
