year,model_series,includes_constant,driver,contribution,driver_label
2000,Fitted (in-sample),TRUE,d_0_14,0,Change in age 0-14
2001,Fitted (in-sample),TRUE,d_0_14,0.00298754238284742,Change in age 0-14
2002,Fitted (in-sample),TRUE,d_0_14,0.00653666893069795,Change in age 0-14
2003,Fitted (in-sample),TRUE,d_0_14,0.0100338489167592,Change in age 0-14
2004,Fitted (in-sample),TRUE,d_0_14,0.0132661836824924,Change in age 0-14
2005,Fitted (in-sample),TRUE,d_0_14,0.0165758724595247,Change in age 0-14
2006,Fitted (in-sample),TRUE,d_0_14,0.0194788255342902,Change in age 0-14
2007,Fitted (in-sample),TRUE,d_0_14,0.0218518916636842,Change in age 0-14
2008,Fitted (in-sample),TRUE,d_0_14,0.0240695705573983,Change in age 0-14
2009,Fitted (in-sample),TRUE,d_0_14,0.0262706103865512,Change in age 0-14
2010,Fitted (in-sample),TRUE,d_0_14,0.0281529721709331,Change in age 0-14
2011,Fitted (in-sample),TRUE,d_0_14,0.0299563641287027,Change in age 0-14
2012,Fitted (in-sample),TRUE,d_0_14,0.030267106549051,Change in age 0-14
2013,Fitted (in-sample),TRUE,d_0_14,0.0303246560784862,Change in age 0-14
2014,Fitted (in-sample),TRUE,d_0_14,0.0306121732619438,Change in age 0-14
2015,Fitted (in-sample),TRUE,d_0_14,0.0309361185510428,Change in age 0-14
2016,Fitted (in-sample),TRUE,d_0_14,0.0307790062046166,Change in age 0-14
2017,Fitted (in-sample),TRUE,d_0_14,0.0316520757714212,Change in age 0-14
2018,Fitted (in-sample),TRUE,d_0_14,0.0329995647290334,Change in age 0-14
2019,Fitted (in-sample),TRUE,d_0_14,0.0346212626889949,Change in age 0-14
2023,Fitted (in-sample),TRUE,d_0_14,0.0410220076103111,Change in age 0-14
2024,Fitted (in-sample),TRUE,d_0_14,0.0460820710410756,Change in age 0-14
2025,Fitted (in-sample),TRUE,d_0_14,0.0500640156219124,Change in age 0-14
2026,Projection (base),TRUE,d_0_14,0.0528326086948659,Change in age 0-14
2027,Projection (base),TRUE,d_0_14,0.0562044017017002,Change in age 0-14
2028,Projection (base),TRUE,d_0_14,0.0595678605246146,Change in age 0-14
2029,Projection (base),TRUE,d_0_14,0.0626947932607079,Change in age 0-14
2030,Projection (base),TRUE,d_0_14,0.0655756369786869,Change in age 0-14
2031,Projection (base),TRUE,d_0_14,0.0685605258010832,Change in age 0-14
2032,Projection (base),TRUE,d_0_14,0.0710040286108956,Change in age 0-14
2033,Projection (base),TRUE,d_0_14,0.0730553229576152,Change in age 0-14
2034,Projection (base),TRUE,d_0_14,0.0749431373323429,Change in age 0-14
2035,Projection (base),TRUE,d_0_14,0.0763957083336185,Change in age 0-14
2036,Projection (base),TRUE,d_0_14,0.0778904806782337,Change in age 0-14
2037,Projection (base),TRUE,d_0_14,0.0795918484348163,Change in age 0-14
2038,Projection (base),TRUE,d_0_14,0.0806498385140737,Change in age 0-14
2039,Projection (base),TRUE,d_0_14,0.0815846130148679,Change in age 0-14
2040,Projection (base),TRUE,d_0_14,0.0823530931839754,Change in age 0-14
2041,Projection (base),TRUE,d_0_14,0.0829565382818649,Change in age 0-14
2042,Projection (base),TRUE,d_0_14,0.0834049580514725,Change in age 0-14
2043,Projection (base),TRUE,d_0_14,0.0837404526454126,Change in age 0-14
2044,Projection (base),TRUE,d_0_14,0.0840081908166856,Change in age 0-14
2045,Projection (base),TRUE,d_0_14,0.0842323070024129,Change in age 0-14
