year,model_series,includes_constant,driver,contribution,driver_label
2000,Fitted (in-sample),FALSE,demographic_level,0,Demographic level component
2001,Fitted (in-sample),FALSE,demographic_level,-0.00161128736992061,Demographic level component
2002,Fitted (in-sample),FALSE,demographic_level,-0.00350338474968098,Demographic level component
2003,Fitted (in-sample),FALSE,demographic_level,-0.00489384113518515,Demographic level component
2004,Fitted (in-sample),FALSE,demographic_level,-0.00627602981942682,Demographic level component
2005,Fitted (in-sample),FALSE,demographic_level,-0.00735777297386003,Demographic level component
2006,Fitted (in-sample),FALSE,demographic_level,-0.00862556315234359,Demographic level component
2007,Fitted (in-sample),FALSE,demographic_level,-0.00859294195707955,Demographic level component
2008,Fitted (in-sample),FALSE,demographic_level,-0.00764031692125,Demographic level component
2009,Fitted (in-sample),FALSE,demographic_level,-0.00491082977443042,Demographic level component
2010,Fitted (in-sample),FALSE,demographic_level,-0.00336211820053128,Demographic level component
2011,Fitted (in-sample),FALSE,demographic_level,-0.00221270898420012,Demographic level component
2012,Fitted (in-sample),FALSE,demographic_level,0.00111736748896007,Demographic level component
2013,Fitted (in-sample),FALSE,demographic_level,0.00358910059590262,Demographic level component
2014,Fitted (in-sample),FALSE,demographic_level,0.00549733385511359,Demographic level component
2015,Fitted (in-sample),FALSE,demographic_level,0.0073077501461421,Demographic level component
2016,Fitted (in-sample),FALSE,demographic_level,0.00869134307421521,Demographic level component
2017,Fitted (in-sample),FALSE,demographic_level,0.0097476169630385,Demographic level component
2018,Fitted (in-sample),FALSE,demographic_level,0.0107850611500032,Demographic level component
2019,Fitted (in-sample),FALSE,demographic_level,0.0116733903838738,Demographic level component
2023,Fitted (in-sample),FALSE,demographic_level,0.0197364006953497,Demographic level component
2024,Fitted (in-sample),FALSE,demographic_level,0.0251679802384918,Demographic level component
2025,Fitted (in-sample),FALSE,demographic_level,0.0287510189287032,Demographic level component
2026,Projection (base),FALSE,demographic_level,0.0307765247307132,Demographic level component
2027,Projection (base),FALSE,demographic_level,0.0337548864706243,Demographic level component
2028,Projection (base),FALSE,demographic_level,0.036924847268561,Demographic level component
2029,Projection (base),FALSE,demographic_level,0.0397340607572901,Demographic level component
2030,Projection (base),FALSE,demographic_level,0.0418828430405633,Demographic level component
2031,Projection (base),FALSE,demographic_level,0.0440761462963777,Demographic level component
2032,Projection (base),FALSE,demographic_level,0.0460227268198301,Demographic level component
2033,Projection (base),FALSE,demographic_level,0.04801896436371,Demographic level component
2034,Projection (base),FALSE,demographic_level,0.0500970916298291,Demographic level component
2035,Projection (base),FALSE,demographic_level,0.0515217409216307,Demographic level component
2036,Projection (base),FALSE,demographic_level,0.0535289177032123,Demographic level component
2037,Projection (base),FALSE,demographic_level,0.0554730936104826,Demographic level component
2038,Projection (base),FALSE,demographic_level,0.056040504062211,Demographic level component
2039,Projection (base),FALSE,demographic_level,0.0558089318891357,Demographic level component
2040,Projection (base),FALSE,demographic_level,0.0548811896994497,Demographic level component
2041,Projection (base),FALSE,demographic_level,0.0533664911925456,Demographic level component
2042,Projection (base),FALSE,demographic_level,0.0514262535065542,Demographic level component
2043,Projection (base),FALSE,demographic_level,0.0493853460929732,Demographic level component
2044,Projection (base),FALSE,demographic_level,0.0475904807906662,Demographic level component
2045,Projection (base),FALSE,demographic_level,0.045881040425624,Demographic level component
2046,Projection (base),FALSE,demographic_level,0.0449086367393388,Demographic level component
2047,Projection (base),FALSE,demographic_level,0.0443544866687451,Demographic level component
2048,Projection (base),FALSE,demographic_level,0.0442720834853716,Demographic level component
2049,Projection (base),FALSE,demographic_level,0.0443302546136186,Demographic level component
2050,Projection (base),FALSE,demographic_level,0.0446201299438145,Demographic level component
2051,Projection (base),FALSE,demographic_level,0.045111281770416,Demographic level component
2052,Projection (base),FALSE,demographic_level,0.0459206458592853,Demographic level component
2053,Projection (base),FALSE,demographic_level,0.0470648183174458,Demographic level component
2054,Projection (base),FALSE,demographic_level,0.0483803846211153,Demographic level component
2055,Projection (base),FALSE,demographic_level,0.0499313425211529,Demographic level component
2056,Projection (base),FALSE,demographic_level,0.0514698531812272,Demographic level component
2057,Projection (base),FALSE,demographic_level,0.0528064086093224,Demographic level component
2058,Projection (base),FALSE,demographic_level,0.054279661597508,Demographic level component
2059,Projection (base),FALSE,demographic_level,0.055574846047069,Demographic level component
2060,Projection (base),FALSE,demographic_level,0.0567717968449309,Demographic level component
2061,Projection (base),FALSE,demographic_level,0.0575068954497873,Demographic level component
2062,Projection (base),FALSE,demographic_level,0.057799645930363,Demographic level component
2063,Projection (base),FALSE,demographic_level,0.0578121248799813,Demographic level component
2064,Projection (base),FALSE,demographic_level,0.057902799050638,Demographic level component
2065,Projection (base),FALSE,demographic_level,0.058277408294923,Demographic level component
2066,Projection (base),FALSE,demographic_level,0.0586215242640938,Demographic level component
2067,Projection (base),FALSE,demographic_level,0.0585705727250502,Demographic level component
2068,Projection (base),FALSE,demographic_level,0.0585976639810182,Demographic level component
2069,Projection (base),FALSE,demographic_level,0.0589587380335273,Demographic level component
2070,Projection (base),FALSE,demographic_level,0.0595676975735536,Demographic level component
2071,Projection (base),FALSE,demographic_level,0.0603603043928929,Demographic level component
2000,Fitted (in-sample),FALSE,d_tot,0,Change in terms of trade
2001,Fitted (in-sample),FALSE,d_tot,0.000588615735675745,Change in terms of trade
2002,Fitted (in-sample),FALSE,d_tot,0.00101536214404066,Change in terms of trade
2003,Fitted (in-sample),FALSE,d_tot,0.00147153933918936,Change in terms of trade
2004,Fitted (in-sample),FALSE,d_tot,0.00373770992154097,Change in terms of trade
2005,Fitted (in-sample),FALSE,d_tot,0.00707810422150082,Change in terms of trade
2006,Fitted (in-sample),FALSE,d_tot,0.0110218296505283,Change in terms of trade
2007,Fitted (in-sample),FALSE,d_tot,0.0140090545090827,Change in terms of trade
