year,model_series,includes_constant,model_change,regression_component,constant_component,arima_component
2000,Fitted (in-sample),TRUE,0,0,0,0
2001,Fitted (in-sample),TRUE,0.00236885221185623,0.00341441344564181,-0.00534433341180568,0.00429877217802011
2002,Fitted (in-sample),TRUE,0.00701788534095987,0.0106285439354023,-0.0106886668236114,0.00707800822916894
2003,Fitted (in-sample),TRUE,0.000368734240077384,0.0146331946698341,-0.0160330002354171,0.00176853980566031
2004,Fitted (in-sample),TRUE,-0.00604031716754383,0.0150382380380365,-0.0213773336472227,0.000298778441642451
2005,Fitted (in-sample),TRUE,-0.00166045711277069,0.0215619833464717,-0.0267216670590284,0.00349922659978608
2006,Fitted (in-sample),TRUE,-0.00517459856221897,0.0236630856173078,-0.0320660004708341,0.00322831629130735
2007,Fitted (in-sample),TRUE,-0.00651610234701644,0.0265196617043653,-0.0374103338826398,0.00437456983125804
2008,Fitted (in-sample),TRUE,-0.00811424533215843,0.0299420628830838,-0.0427546672944455,0.00469835907920326
2009,Fitted (in-sample),TRUE,-0.00250896314092358,0.0383309926035987,-0.0480990007062511,0.00725904496172884
2010,Fitted (in-sample),TRUE,0.0157321138450164,0.0550319654709804,-0.0534433341180568,0.0141434824920928
2011,Fitted (in-sample),TRUE,0.00489087728310916,0.0572562994366756,-0.0587876675298625,0.00642224537629607
2012,Fitted (in-sample),TRUE,0.00427516769668829,0.06745118093991,-0.0641320009416682,0.0009559876984465
2013,Fitted (in-sample),TRUE,0.00472047330136954,0.0750907440465756,-0.0694763343534739,-0.0008939363917322
2014,Fitted (in-sample),TRUE,0.00337663959490464,0.0817368322166529,-0.0748206677652796,-0.00353952485646866
2015,Fitted (in-sample),TRUE,0.0115759518227769,0.092461493160135,-0.0801650011770852,-0.000720540160272828
2016,Fitted (in-sample),TRUE,0.0144285409764325,0.0989652635963718,-0.0855093345888909,0.000972611968951625
2017,Fitted (in-sample),TRUE,0.00957547513845791,0.0945710895280024,-0.0908536680006966,0.0058580536111521
2018,Fitted (in-sample),TRUE,0.00959377651861126,0.0968136123106292,-0.0961980014125023,0.00897816562048434
2019,Fitted (in-sample),TRUE,0.00495856618543811,0.0970599948104973,-0.101542334824308,0.00944090619924877
2023,Fitted (in-sample),TRUE,0.0267846334585823,0.0949820958914983,-0.106886668236114,0.0386892058031977
2024,Fitted (in-sample),TRUE,0.0280081336333444,0.108970558791012,-0.112231001647919,0.031268576490252
2025,Fitted (in-sample),TRUE,0.0373929545297982,0.119390842656176,-0.117575335059725,0.035577446933347
2026,Projection (base),TRUE,0.036736272704718,0.123149789764947,-0.122919668471531,0.0365061514113021
2027,Projection (base),TRUE,0.0349663372348408,0.13031371292641,-0.128264001883336,0.0329166261917673
2028,Projection (base),TRUE,0.0342897238348185,0.137039825643659,-0.133608335295142,0.0308582334863015
2029,Projection (base),TRUE,0.0348074114717693,0.143039695581292,-0.138952668706948,0.0307203845974246
2030,Projection (base),TRUE,0.0359542450058356,0.148273220830675,-0.144297002118753,0.0319780262939142
2031,Projection (base),TRUE,0.0374302391494231,0.153384982372605,-0.149641335530559,0.0336865923073771
2032,Projection (base),TRUE,0.0378084953472122,0.157793290729987,-0.154985668942365,0.0350008735595898
2033,Projection (base),TRUE,0.0369521675968018,0.161786779656408,-0.160330002354171,0.0354953902945642
2034,Projection (base),TRUE,0.0353285786406412,0.165789325561569,-0.165674335765976,0.035213588845048
2035,Projection (base),TRUE,0.0326742884694921,0.169185288256266,-0.171018669177782,0.0345076693910075
2036,Projection (base),TRUE,0.0306269187459958,0.173190985558681,-0.176363002589588,0.0337989357769021
2037,Projection (base),TRUE,0.0289538641204544,0.17727906037561,-0.181707336001393,0.0333821397462378
2038,Projection (base),TRUE,0.0264851891622115,0.180195241174583,-0.187051669413199,0.0333416174008275
2039,Projection (base),TRUE,0.0239311724486288,0.182747070771557,-0.192396002825005,0.0335801045020762
2040,Projection (base),TRUE,0.0209497471543142,0.184775960755762,-0.19774033623681,0.0339141226353625
2041,Projection (base),TRUE,0.017430463418425,0.186338932781515,-0.203084669648616,0.0341762002855255
2042,Projection (base),TRUE,0.0133396479660711,0.187489183395177,-0.208429003060422,0.0342794676313156
2043,Projection (base),TRUE,0.00890188271631082,0.188445973907173,-0.213773336472227,0.0342292452813656
2044,Projection (base),TRUE,0.00445958317143597,0.189484362846859,-0.219117669884033,0.0340928902086097
2045,Projection (base),TRUE,9.55931919419672e-05,0.190604538863869,-0.224462003295839,0.0339530576239122
2046,Projection (base),TRUE,-0.00387094386084247,0.19206660513735,-0.229806336707644,0.0338687877094515
2047,Projection (base),TRUE,-0.00766754927738733,0.193624939144995,-0.23515067011945,0.0338581816970681
2048,Projection (base),TRUE,-0.0111560385468647,0.195435658637228,-0.240495003531256,0.0339033063471634
2049,Projection (base),TRUE,-0.014575163466909,0.19729561902693,-0.245839336943061,0.0339685544492222
2050,Projection (base),TRUE,-0.017861842465455,0.1993010595221,-0.251183670354867,0.0340207683673117
2051,Projection (base),TRUE,-0.0211690452596009,0.201316711206431,-0.256528003766673,0.0340422473006411
2052,Projection (base),TRUE,-0.0244855098464643,0.203353425625814,-0.261872337178478,0.0340334017062004
2053,Projection (base),TRUE,-0.0277323489215762,0.205477229041872,-0.267216670590284,0.0340070926268362
2054,Projection (base),TRUE,-0.0307869841795019,0.207794495785535,-0.27256100400209,0.0339795240370531
2055,Projection (base),TRUE,-0.0334977585572497,0.210445068916204,-0.277905337413896,0.0339625099404414
2056,Projection (base),TRUE,-0.0361688182288197,0.213120946446158,-0.283249670825701,0.0339599061507237
2057,Projection (base),TRUE,-0.0390529745992436,0.215572605739869,-0.288594004237507,0.0339684238983938
2058,Projection (base),TRUE,-0.0418400094879711,0.218117168644867,-0.293938337649313,0.0339811595164745
2059,Projection (base),TRUE,-0.044553410113239,0.220737707822082,-0.299282671061118,0.0339915531257972
2060,Projection (base),TRUE,-0.0472105394470133,0.223420460351178,-0.304627004472924,0.0339960046747331
2061,Projection (base),TRUE,-0.050043315860787,0.225933552487893,-0.30997133788473,0.0339944695360501
2062,Projection (base),TRUE,-0.0530364667532128,0.228289805364156,-0.315315671296535,0.0339893991791664
2063,Projection (base),TRUE,-0.0562500971420733,0.230425939671371,-0.320660004708341,0.0339839678948966
2064,Projection (base),TRUE,-0.0595276779431784,0.232496122825491,-0.326004338120147,0.0339805373514773
2065,Projection (base),TRUE,-0.0626858948427133,0.234682853086373,-0.331348671531952,0.0339799236028661
2066,Projection (base),TRUE,-0.0660395358127312,0.23667194188868,-0.336693004943758,0.0339815272423472
2067,Projection (base),TRUE,-0.0697152127410523,0.238338114549524,-0.342037338355564,0.0339840110649878
2068,Projection (base),TRUE,-0.073440219684932,0.239955373835861,-0.347381671767369,0.0339860782465761
2069,Projection (base),TRUE,-0.0771013314692902,0.241637675838918,-0.352726005179175,0.0339869978709674
2070,Projection (base),TRUE,-0.0807485389188186,0.243335063200904,-0.358070338590981,0.0339867364712583
2071,Projection (base),TRUE,-0.0843136187836002,0.245115292744393,-0.363414672002786,0.0339857604747937
