year,model_series,includes_constant,model_change,regression_component,constant_component,arima_component
2000,Fitted (in-sample),FALSE,0,0,0,0
2001,Fitted (in-sample),FALSE,-0.000767463832447357,-0.0032802679297889,0,0.00251280409734155
2002,Fitted (in-sample),FALSE,0.00183014984256435,-0.00262256916108533,0,0.00445271900364969
2003,Fitted (in-sample),FALSE,-0.00769394676859664,-0.00640257849313693,0,-0.00129136827545971
2004,Fitted (in-sample),FALSE,-0.010747051613118,-0.0126259835077981,0,0.00187893189468013
2005,Fitted (in-sample),FALSE,-0.0023064248468595,-0.0116434631362011,0,0.00933703828934164
2006,Fitted (in-sample),FALSE,-0.0128046693408554,-0.013874430529119,0,0.00106976118826358
2007,Fitted (in-sample),FALSE,-0.0172611513417171,-0.0146683405778998,0,-0.00259281076381737
2008,Fitted (in-sample),FALSE,-0.0140927464382267,-0.013378559055125,0,-0.000714187383101694
2009,Fitted (in-sample),FALSE,-0.00254356880844314,-0.00337947548538395,0,0.000835906676940812
2010,Fitted (in-sample),FALSE,0.0217237381675221,0.0110115997100504,0,0.0107121384574717
2011,Fitted (in-sample),FALSE,0.00771078748983689,0.0127557194149542,0,-0.00504493192511733
2012,Fitted (in-sample),FALSE,0.0048034958028596,0.023130336658681,0,-0.0183268408558214
2013,Fitted (in-sample),FALSE,0.00985236889174407,0.0284178406590496,0,-0.0185654717673055
2014,Fitted (in-sample),FALSE,0.00623485029266352,0.0336162158427345,0,-0.027381365550071
2015,Fitted (in-sample),FALSE,0.00511857139951877,0.0413375501208229,0,-0.0362189787213041
2016,Fitted (in-sample),FALSE,0.00188315616205614,0.0439664303213093,0,-0.0420832741592532
2017,Fitted (in-sample),FALSE,0.00720582181158952,0.0388500737845234,0,-0.0316442519729339
2018,Fitted (in-sample),FALSE,0.00802704533352055,0.037861345775295,0,-0.0298343004417744
2019,Fitted (in-sample),FALSE,-0.00152170334189455,0.0346555435487993,0,-0.0361772468906939
2023,Fitted (in-sample),FALSE,0.0253520406258478,0.0305737707108366,0,-0.00522173008498885
2024,Fitted (in-sample),FALSE,0.0215381020233741,0.0419599677048149,0,-0.0204218656814408
2025,Fitted (in-sample),FALSE,0.0368134495555316,0.048734491568511,0,-0.0119210420129795
2026,Projection (base),FALSE,0.0379118858632471,0.0451811463928933,0,-0.00726926052964626
2027,Projection (base),FALSE,0.0403451412651156,0.0481595081328044,0,-0.00781436686768881
2028,Projection (base),FALSE,0.0399205226188293,0.0509855049498586,0,-0.0110649823310292
2029,Projection (base),FALSE,0.0416759675230413,0.0533067809628501,0,-0.0116308134398088
2030,Projection (base),FALSE,0.0458072925054669,0.054972505145143,0,-0.00916521263967603
2031,Projection (base),FALSE,0.0487472504585142,0.056687580880987,0,-0.00794033042247282
2032,Projection (base),FALSE,0.0485971441316899,0.0581607161596686,0,-0.00956357202797871
2033,Projection (base),FALSE,0.0486256997449698,0.0596882429112254,0,-0.0110625431662557
2034,Projection (base),FALSE,0.0510935548023279,0.0613023464929448,0,-0.0102087916906169
2035,Projection (base),FALSE,0.0535417040429614,0.0622676123371906,0,-0.00872590829422915
2036,Projection (base),FALSE,0.054860573740919,0.0638199995056919,0,-0.00895942576477296
2037,Projection (base),FALSE,0.0550771691002932,0.0653139336960128,0,-0.0102367645957196
2038,Projection (base),FALSE,0.0549921901904049,0.0654356048479612,0,-0.0104434146575564
2039,Projection (base),FALSE,0.0557343535433317,0.0652040326748859,0,-0.00946967913155425
2040,Projection (base),FALSE,0.0552766913779095,0.0642762904852,0,-0.00899959910729045
2041,Projection (base),FALSE,0.0531166896200638,0.0627615919782959,0,-0.00964490235823204
2042,Projection (base),FALSE,0.0505942498260115,0.0608213542923045,0,-0.010227104466293
2043,Projection (base),FALSE,0.0488969936763594,0.0587804468787235,0,-0.00988345320236413
2044,Projection (base),FALSE,0.0476818223750976,0.0569855815764164,0,-0.00930375920131884
2045,Projection (base),FALSE,0.0458730508059475,0.0552761412113742,0,-0.00940309040542677
2046,Projection (base),FALSE,0.0443988091682768,0.0543037375250891,0,-0.0099049283568123
2047,Projection (base),FALSE,0.0437696358086799,0.0537495874544954,0,-0.00997995164581546
2048,Projection (base),FALSE,0.044071704721462,0.0536671842711219,0,-0.00959547954965991
2049,Projection (base),FALSE,0.0443101443779617,0.0537253553993689,0,-0.00941521102140715
2050,Projection (base),FALSE,0.044343569790159,0.0540152307295648,0,-0.00967166093940582
2051,Projection (base),FALSE,0.0446086674289237,0.0545063825561662,0,-0.00989771512724254
2052,Projection (base),FALSE,0.0455562524600942,0.0553157466450355,0,-0.00975949418494134
2053,Projection (base),FALSE,0.0469269917032206,0.056459919103196,0,-0.00953292739997543
2054,Projection (base),FALSE,0.0482005595861301,0.0577754854068656,0,-0.00957492582073546
2055,Projection (base),FALSE,0.0495543942780559,0.0593264433069031,0,-0.00977204902884723
2056,Projection (base),FALSE,0.051065857622747,0.0608649539669774,0,-0.00979909634423039
2057,Projection (base),FALSE,0.0525541862652571,0.0622015093950727,0,-0.00964732312981555
2058,Projection (base),FALSE,0.0540965144845076,0.0636747623832582,0,-0.00957824789875059
2059,Projection (base),FALSE,0.0552898157468501,0.0649699468328192,0,-0.00968013108596913
2060,Projection (base),FALSE,0.0563990248047107,0.0661668976306812,0,-0.0097678728259705
2061,Projection (base),FALSE,0.0571896772843755,0.0669019962355375,0,-0.00971231895116206
2062,Projection (base),FALSE,0.0575709593671889,0.0671947467161133,0,-0.00962378734892441
2063,Projection (base),FALSE,0.0575657730644608,0.0672072256657315,0,-0.00964145260127072
2064,Projection (base),FALSE,0.0575790315690093,0.0672978998363882,0,-0.00971886826737886
2065,Projection (base),FALSE,0.0579439703200947,0.0676725090806732,0,-0.00972853876057852
2066,Projection (base),FALSE,0.0583479871171982,0.068016625049844,0,-0.0096686379326458
2067,Projection (base),FALSE,0.058323481662263,0.0679656735108004,0,-0.0096421918485374
2068,Projection (base),FALSE,0.0583101091066522,0.0679927647667685,0,-0.00968265566011625
2069,Projection (base),FALSE,0.0586371383211894,0.0683538388192776,0,-0.00971670049808818
2070,Projection (base),FALSE,0.0592684106321634,0.0689627983593038,0,-0.0096943877271404
2071,Projection (base),FALSE,0.0600956037443179,0.0697554051786432,0,-0.00965980143432524
