year,model_series,reference_age_group,driver,contribution,driver_label
2000,Historical drivers,35_54,0_14,0,Age 0-14
2001,Historical drivers,35_54,0_14,0.00048074815786402,Age 0-14
2002,Historical drivers,35_54,0_14,0.00105186509320912,Age 0-14
2003,Historical drivers,35_54,0_14,0.00161462291236864,Age 0-14
2004,Historical drivers,35_54,0_14,0.00213476247361731,Age 0-14
2005,Historical drivers,35_54,0_14,0.00266734965691445,Age 0-14
2006,Historical drivers,35_54,0_14,0.00313448590611774,Age 0-14
2007,Historical drivers,35_54,0_14,0.00351635401843163,Age 0-14
2008,Historical drivers,35_54,0_14,0.00387321758930784,Age 0-14
2009,Historical drivers,35_54,0_14,0.00422740364180562,Age 0-14
2010,Historical drivers,35_54,0_14,0.00453030878734292,Age 0-14
2011,Historical drivers,35_54,0_14,0.00482050629770534,Age 0-14
2012,Historical drivers,35_54,0_14,0.00487051022300875,Age 0-14
2013,Historical drivers,35_54,0_14,0.00487977095531525,Age 0-14
2014,Historical drivers,35_54,0_14,0.00492603753117877,Age 0-14
2015,Historical drivers,35_54,0_14,0.00497816603046877,Age 0-14
2016,Historical drivers,35_54,0_14,0.00495288388834561,Age 0-14
2017,Historical drivers,35_54,0_14,0.00509337614992431,Age 0-14
2018,Historical drivers,35_54,0_14,0.00531021084249084,Age 0-14
2019,Historical drivers,35_54,0_14,0.00557117059032219,Age 0-14
2023,Historical drivers,35_54,0_14,0.00660116311780807,Age 0-14
2024,Historical drivers,35_54,0_14,0.00741541639400648,Age 0-14
2025,Historical drivers,35_54,0_14,0.00805618136957459,Age 0-14
2026,Projection drivers,35_54,0_14,0.00850169672940319,Age 0-14
2027,Projection drivers,35_54,0_14,0.00904427757647035,Age 0-14
2028,Projection drivers,35_54,0_14,0.00958551730664163,Age 0-14
2029,Projection drivers,35_54,0_14,0.0100886958259732,Age 0-14
2030,Projection drivers,35_54,0_14,0.0105522742904878,Age 0-14
2031,Projection drivers,35_54,0_14,0.0110325954437657,Age 0-14
2032,Projection drivers,35_54,0_14,0.0114257980578264,Age 0-14
2033,Projection drivers,35_54,0_14,0.0117558874262934,Age 0-14
2034,Projection drivers,35_54,0_14,0.012059669989597,Age 0-14
2035,Projection drivers,35_54,0_14,0.0122934142327044,Age 0-14
2036,Projection drivers,35_54,0_14,0.0125339494148078,Age 0-14
2037,Projection drivers,35_54,0_14,0.0128077294353097,Age 0-14
2038,Projection drivers,35_54,0_14,0.0129779786624208,Age 0-14
2039,Projection drivers,35_54,0_14,0.0131284003340446,Age 0-14
2040,Projection drivers,35_54,0_14,0.0132520623204903,Age 0-14
2041,Projection drivers,35_54,0_14,0.0133491672589334,Age 0-14
2042,Projection drivers,35_54,0_14,0.0134213258932096,Age 0-14
2043,Projection drivers,35_54,0_14,0.0134753128789461,Age 0-14
2044,Projection drivers,35_54,0_14,0.0135183966635874,Age 0-14
2045,Projection drivers,35_54,0_14,0.0135544609028948,Age 0-14
2046,Projection drivers,35_54,0_14,0.013587580087829,Age 0-14
2047,Projection drivers,35_54,0_14,0.0136214342930397,Age 0-14
2048,Projection drivers,35_54,0_14,0.0136598455421338,Age 0-14
2049,Projection drivers,35_54,0_14,0.013706757330068,Age 0-14
2050,Projection drivers,35_54,0_14,0.01376558768423,Age 0-14
2051,Projection drivers,35_54,0_14,0.01383904948058,Age 0-14
2052,Projection drivers,35_54,0_14,0.0139285930415947,Age 0-14
2053,Projection drivers,35_54,0_14,0.0140347934570003,Age 0-14
2054,Projection drivers,35_54,0_14,0.0141571431660268,Age 0-14
2055,Projection drivers,35_54,0_14,0.0142942449437853,Age 0-14
2056,Projection drivers,35_54,0_14,0.014443738832876,Age 0-14
2057,Projection drivers,35_54,0_14,0.0146026305982468,Age 0-14
2058,Projection drivers,35_54,0_14,0.0147675630672582,Age 0-14
2059,Projection drivers,35_54,0_14,0.014935127130498,Age 0-14
2060,Projection drivers,35_54,0_14,0.0151020880150905,Age 0-14
