year,model_series,reference_age_group,demographic_component
2000,Historical drivers,35_54,0
2001,Historical drivers,35_54,-0.00161128736992064
2002,Historical drivers,35_54,-0.00350338474968098
2003,Historical drivers,35_54,-0.00489384113518513
2004,Historical drivers,35_54,-0.00627602981942685
2005,Historical drivers,35_54,-0.00735777297386006
2006,Historical drivers,35_54,-0.00862556315234359
2007,Historical drivers,35_54,-0.00859294195707955
2008,Historical drivers,35_54,-0.00764031692124996
2009,Historical drivers,35_54,-0.00491082977443041
2010,Historical drivers,35_54,-0.00336211820053129
2011,Historical drivers,35_54,-0.00221270898420011
2012,Historical drivers,35_54,0.00111736748896009
2013,Historical drivers,35_54,0.00358910059590268
2014,Historical drivers,35_54,0.0054973338551136
2015,Historical drivers,35_54,0.00730775014614209
2016,Historical drivers,35_54,0.00869134307421526
2017,Historical drivers,35_54,0.00974761696303854
2018,Historical drivers,35_54,0.0107850611500032
2019,Historical drivers,35_54,0.0116733903838739
2023,Historical drivers,35_54,0.0197364006953497
2024,Historical drivers,35_54,0.0251679802384918
2025,Historical drivers,35_54,0.0287510189287033
2026,Projection drivers,35_54,0.0307765247307133
2027,Projection drivers,35_54,0.0337548864706244
2028,Projection drivers,35_54,0.036924847268561
2029,Projection drivers,35_54,0.0397340607572902
2030,Projection drivers,35_54,0.0418828430405634
2031,Projection drivers,35_54,0.0440761462963777
2032,Projection drivers,35_54,0.0460227268198301
2033,Projection drivers,35_54,0.04801896436371
2034,Projection drivers,35_54,0.0500970916298291
2035,Projection drivers,35_54,0.0515217409216307
2036,Projection drivers,35_54,0.0535289177032123
2037,Projection drivers,35_54,0.0554730936104826
2038,Projection drivers,35_54,0.056040504062211
2039,Projection drivers,35_54,0.0558089318891357
2040,Projection drivers,35_54,0.0548811896994498
2041,Projection drivers,35_54,0.0533664911925457
2042,Projection drivers,35_54,0.0514262535065543
2043,Projection drivers,35_54,0.0493853460929733
2044,Projection drivers,35_54,0.0475904807906662
2045,Projection drivers,35_54,0.045881040425624
2046,Projection drivers,35_54,0.0449086367393388
2047,Projection drivers,35_54,0.0443544866687452
2048,Projection drivers,35_54,0.0442720834853717
2049,Projection drivers,35_54,0.0443302546136187
2050,Projection drivers,35_54,0.0446201299438146
2051,Projection drivers,35_54,0.045111281770416
2052,Projection drivers,35_54,0.0459206458592853
2053,Projection drivers,35_54,0.0470648183174457
2054,Projection drivers,35_54,0.0483803846211154
2055,Projection drivers,35_54,0.049931342521153
2056,Projection drivers,35_54,0.0514698531812272
2057,Projection drivers,35_54,0.0528064086093224
2058,Projection drivers,35_54,0.054279661597508
2059,Projection drivers,35_54,0.055574846047069
2060,Projection drivers,35_54,0.056771796844931
2061,Projection drivers,35_54,0.0575068954497873
2062,Projection drivers,35_54,0.0577996459303631
2063,Projection drivers,35_54,0.0578121248799813
2064,Projection drivers,35_54,0.057902799050638
2065,Projection drivers,35_54,0.058277408294923
2066,Projection drivers,35_54,0.0586215242640939
2067,Projection drivers,35_54,0.0585705727250502
2068,Projection drivers,35_54,0.0585976639810182
2069,Projection drivers,35_54,0.0589587380335273
2070,Projection drivers,35_54,0.0595676975735537
2071,Projection drivers,35_54,0.060360304392893
