year,series,Consolidated
1980,Historical,0.333103269138001
1981,Historical,0.341854541406654
1982,Historical,0.34194351027086
1983,Historical,0.369170289130503
1984,Historical,0.374219801166094
1985,Historical,0.384885205434133
1986,Historical,0.386757421004678
1987,Historical,0.387112871425331
1988,Historical,0.361389001685801
1989,Historical,0.345975970765878
1990,Historical,0.342681221503343
1991,Historical,0.357308222125526
1992,Historical,0.373256260951802
1993,Historical,0.372161555856265
1994,Historical,0.370458861335371
1995,Historical,0.370609406969422
1996,Historical,0.365259991470121
1997,Historical,0.356153778449965
1998,Historical,0.34229577934669
1999,Historical,0.345409539149142
2000,Historical,0.344757730483635
2001,Historical,0.350668649940431
2002,Historical,0.345335135363433
2003,Historical,0.338893718486873
2004,Historical,0.337764303662283
2005,Historical,0.336884081191394
2006,Historical,0.333935544145712
2007,Historical,0.329633024750431
2008,Historical,0.32922316457056
2009,Historical,0.350492899653279
2010,Historical,0.356365983935405
2011,Historical,0.347157690286058
2012,Historical,0.349876552401744
2013,Historical,0.344431420041318
2014,Historical,0.346133574279045
2015,Historical,0.348893033070982
2016,Historical,0.35465864559011
2017,Historical,0.350058729359691
2018,Historical,0.349970928109949
2019,Historical,0.348948388456729
2020,Historical,0.397665876717636
2021,Historical,0.420038484944751
2022,Historical,0.378872610307868
2023,Historical,0.35791667620989
2024,Historical,0.373319151460388
2025,Historical,0.383248140427108
2026,Projection (base),0.378012063085771
2027,Projection (base),0.376242127615894
2028,Projection (base),0.375565514215872
2029,Projection (base),0.376083201852823
2030,Projection (base),0.377230035386889
2031,Projection (base),0.378706029530476
2032,Projection (base),0.379084285728265
2033,Projection (base),0.378227957977855
2034,Projection (base),0.376604369021695
2035,Projection (base),0.373950078850545
2036,Projection (base),0.371902709127049
2037,Projection (base),0.370229654501508
2038,Projection (base),0.367760979543265
2039,Projection (base),0.365206962829682
2040,Projection (base),0.362225537535368
2041,Projection (base),0.358706253799478
2042,Projection (base),0.354615438347124
2043,Projection (base),0.350177673097364
2044,Projection (base),0.345735373552489
2045,Projection (base),0.341371383572995
2046,Projection (base),0.337404846520211
2047,Projection (base),0.333608241103666
2048,Projection (base),0.330119751834189
2049,Projection (base),0.326700626914144
2050,Projection (base),0.323413947915598
2051,Projection (base),0.320106745121452
2052,Projection (base),0.316790280534589
2053,Projection (base),0.313543441459477
2054,Projection (base),0.310488806201551
2055,Projection (base),0.307778031823804
2056,Projection (base),0.305106972152234
2057,Projection (base),0.30222281578181
2058,Projection (base),0.299435780893082
2059,Projection (base),0.296722380267814
2060,Projection (base),0.29406525093404
2061,Projection (base),0.291232474520266
2062,Projection (base),0.288239323627841
2063,Projection (base),0.28502569323898
2064,Projection (base),0.281748112437875
2065,Projection (base),0.27858989553834
2066,Projection (base),0.275236254568322
2067,Projection (base),0.271560577640001
2068,Projection (base),0.267835570696121
2069,Projection (base),0.264174458911763
2070,Projection (base),0.260527251462235
2071,Projection (base),0.256962171597453
