year,series,Consolidated
1980,Historical,0.333103269138001
1981,Historical,0.341854541406654
1982,Historical,0.34194351027086
1983,Historical,0.369170289130503
1984,Historical,0.374219801166094
1985,Historical,0.384885205434133
1986,Historical,0.386757421004678
1987,Historical,0.387112871425331
1988,Historical,0.361389001685801
1989,Historical,0.345975970765878
1990,Historical,0.342681221503343
1991,Historical,0.357308222125526
1992,Historical,0.373256260951802
1993,Historical,0.372161555856265
1994,Historical,0.370458861335371
1995,Historical,0.370609406969422
1996,Historical,0.365259991470121
1997,Historical,0.356153778449965
1998,Historical,0.34229577934669
1999,Historical,0.345409539149142
2000,Historical,0.344757730483635
2001,Historical,0.350668649940431
2002,Historical,0.345335135363433
2003,Historical,0.338893718486873
2004,Historical,0.337764303662283
2005,Historical,0.336884081191394
2006,Historical,0.333935544145712
2007,Historical,0.329633024750431
2008,Historical,0.32922316457056
2009,Historical,0.350492899653279
2010,Historical,0.356365983935405
2011,Historical,0.347157690286058
2012,Historical,0.349876552401744
2013,Historical,0.344431420041318
2014,Historical,0.346133574279045
2015,Historical,0.348893033070982
2016,Historical,0.35465864559011
2017,Historical,0.350058729359691
2018,Historical,0.349970928109949
2019,Historical,0.348948388456729
2020,Historical,0.397665876717636
2021,Historical,0.420038484944751
2022,Historical,0.378872610307868
2023,Historical,0.35791667620989
2024,Historical,0.373319151460388
2025,Historical,0.383248140427108
2026,Projection (base),0.383487261865215
2027,Projection (base),0.385920517267083
2028,Projection (base),0.385495898620797
2029,Projection (base),0.387251343525009
2030,Projection (base),0.391382668507434
2031,Projection (base),0.394322626460482
2032,Projection (base),0.394172520133657
2033,Projection (base),0.394201075746937
2034,Projection (base),0.396668930804295
2035,Projection (base),0.399117080044929
2036,Projection (base),0.400435949742886
2037,Projection (base),0.400652545102261
2038,Projection (base),0.400567566192372
2039,Projection (base),0.401309729545299
2040,Projection (base),0.400852067379877
2041,Projection (base),0.398692065622031
2042,Projection (base),0.396169625827979
2043,Projection (base),0.394472369678327
2044,Projection (base),0.393257198377065
2045,Projection (base),0.391448426807915
2046,Projection (base),0.389974185170244
2047,Projection (base),0.389345011810647
2048,Projection (base),0.389647080723429
2049,Projection (base),0.389885520379929
2050,Projection (base),0.389918945792126
2051,Projection (base),0.390184043430891
2052,Projection (base),0.391131628462062
2053,Projection (base),0.392502367705188
2054,Projection (base),0.393775935588098
2055,Projection (base),0.395129770280023
2056,Projection (base),0.396641233624715
2057,Projection (base),0.398129562267225
2058,Projection (base),0.399671890486475
2059,Projection (base),0.400865191748818
2060,Projection (base),0.401974400806678
2061,Projection (base),0.402765053286343
2062,Projection (base),0.403146335369156
2063,Projection (base),0.403141149066428
2064,Projection (base),0.403154407570977
2065,Projection (base),0.403519346322062
2066,Projection (base),0.403923363119166
2067,Projection (base),0.403898857664231
2068,Projection (base),0.40388548510862
2069,Projection (base),0.404212514323157
2070,Projection (base),0.404843786634131
2071,Projection (base),0.405670979746285
