year,previous_year,lag_gov_gdp,d_gov_gdp,d_0_14,d_15_34,d_55_64,d_65p,d_tot,d_rp_g,d_unemp
1981,1980,0.333103269138001,0.00875127226865269,-0.00288182481753727,0.000784237693056411,0.000374751661986014,0.00132706195563509,-0.0397621130658239,0.499055065281615,-0.315859933333332
1982,1981,0.341854541406654,8.89688642057296e-05,-0.0030102577762619,-0.00261129191626885,0.000329489224723256,0.00120671753826218,-0.0452465424542139,0.375428431041107,0.294852741666666
1983,1982,0.34194351027086,0.0272267788596436,-0.00296024659027361,-0.00235416430400731,0.000988575074344897,0.00106151174349668,-0.0287932542890448,0.0300826095303345,2.80017493333333
1984,1983,0.369170289130503,0.00504951203559018,-0.00388455505557228,-0.00153171088906706,0.000971324726865605,0.00125020454392692,0.0479887571484085,-0.391582872779263,0.700855508333333
1985,1984,0.374219801166094,0.010665404268039,-0.00382317455916745,-0.00126718571116424,-4.96686748809455e-05,0.00165555327769321,-0.0274221469419474,0.335970641896168,-1.03039639166667
1986,1985,0.384885205434133,0.00187221557054551,-0.00501329248761667,-5.38274699516395e-05,-0.000872917221734382,0.00233877845860177,-0.278334791460767,0.143690830590208,-0.674273883333333
1987,1986,0.386757421004678,0.000355450420652992,-0.00423509153159352,0.000259946823160606,-0.00161608726685387,0.00193023850754157,-0.132997412668445,-0.259560095702619,0.314651875000001
1988,1987,0.387112871425331,-0.0257238697395299,-0.00297236851974292,-0.000807630410869287,-0.00154477973717777,0.00141570095258084,0.207037209411703,-0.721767039445902,-0.486675700000001
1989,1988,0.361389001685801,-0.0154130309199235,-0.00221632379134026,-0.00142940235457167,-0.00164410059533773,0.00145874202890786,0.386652271881459,-0.681448851259184,-1.15642115
1990,1989,0.345975970765878,-0.00329474926253431,-0.00149219706325582,-0.00218847784793613,-0.00145471440167293,0.00113411190918129,0.0191955028593637,0.156631812062174,-0.470094558333333
1991,1990,0.342681221503343,0.0146270006221823,-0.00102014953338686,-0.00360310898575672,-0.0011862243890013,0.00191194305775277,-0.159048452263296,0.360969027324321,2.22898525
1992,1991,0.357308222125526,0.0159480388262759,-0.000862301472800225,-0.00386745287718676,-0.000696261571181203,0.00166890155749679,-0.0959775142968161,0.616216057270029,1.9087824
1993,1992,0.373256260951802,-0.00109470509553655,-0.00090129506777506,-0.00448859115641775,-0.000348958521705384,0.00186638426701509,-0.112430802461985,0.173235666686629,0.655781775000001
1994,1993,0.372161555856265,-0.00170269452089344,-0.000986257964983056,-0.00424755028549484,-5.55037383757756e-05,0.00153394442832804,-0.0754109040903551,-0.0611548684747546,-0.405795333333334
1995,1994,0.370458861335371,0.000150545634050536,-0.00101778334711172,-0.00425310657243783,0.000144198940873294,0.00110730045398393,0.0918641922555239,-0.341483012014534,-1.60929195833333
1996,1995,0.370609406969422,-0.00534941549930112,-0.00155379307462392,-0.00406451005791697,0.000292435396939794,0.00125023053229695,0.0808953334787447,-0.122053774016829,-0.522012008333334
1997,1996,0.365259991470121,-0.00910621302015563,-0.00155049305158986,-0.00469760894899124,0.00139696161670358,0.00113598533969048,0.0822664408258423,0.0588691029036026,0.191961641666667
1998,1997,0.356153778449965,-0.0138579991032749,-0.00166712035731775,-0.0045485267609473,0.00157832367011451,0.00102530146884472,-0.0178243955122656,0.0637400913727039,-0.605046550000001
1999,1998,0.34229577934669,0.00311375980245127,-0.00157078437327285,-0.00383071089418852,0.00240152098123481,0.000959952256133684,-0.137110734709737,0.680871042391668,-0.698609791666665
2000,1999,0.345409539149142,-0.000651808665506293,-0.00167886268195047,-0.0027291080004237,0.00262412890748735,0.000836153196908954,0.102833051032303,-0.0680059905896351,-0.667596300000001
2001,2000,0.344757730483635,0.00591091945679595,-0.00176743043689123,-0.00208531844389326,0.00237282270959988,0.00125853762181515,0.054844293883895,-0.00757381905779053,-0.265692541666668
2002,2001,0.350668649940431,-0.00533351457699843,-0.00209966369717945,-0.00113599497006295,0.00399776973833486,0.000970701694829989,0.0397621130658234,-0.0571561100810112,0.370049350000002
2003,2002,0.345335135363433,-0.00644141687655969,-0.00206893210490969,-0.000878736420620696,0.00334127161557112,0.000868848370531916,0.0425043277600184,0.123319142747345,-0.583348775000001
2004,2003,0.338893718486873,-0.00112941482459006,-0.00191224964036613,-0.00135787931726072,0.00278134515551404,0.00103020954142038,0.211150531452996,-0.209642768997968,-0.489039683333334
2005,2004,0.337764303662283,-0.000880222470889036,-0.00195801228285472,-0.00112923621911026,0.0026750969238598,0.00107464348839567,0.311241367791104,0.159776201036826,-0.456948566666665
2006,2005,0.336884081191394,-0.00294853704568165,-0.00171738739194635,-0.00132636196403307,0.00223592309499561,0.000816591739974365,0.367456769022096,-0.205955944411601,-0.223158716666667
2007,2006,0.333935544145712,-0.00430251939528176,-0.00140390621064568,-0.000470855934106895,0.00150464619674619,0.0011273758382456,0.278334791460767,-0.0121731138140721,-0.449996058333333
2008,2007,0.329633024750431,-0.000409860179871102,-0.00131197910312683,0.00108829690723311,0.00141669518590569,0.000619534245837217,0.230346034312359,0.00758268360329857,-0.278839433333334
2009,2008,0.32922316457056,0.0212697350827197,-0.00130213543050955,0.00192010358454203,0.000405500606820278,0.00124422943394406,0.312612475138201,-0.10270331709133,0.677284641666667
2010,2009,0.350492899653279,0.0058730842821258,-0.00111360546048106,-0.000115555766951048,0.000897132479769844,0.00230524911460611,-0.175501740428464,0.682273704324144,0.549694549999999
2011,2010,0.356365983935405,-0.00920829364934706,-0.00106688690145679,-0.000793278572047085,0.00108264658295672,0.00266094894859775,0.930981888679116,-0.393667378718157,-0.428769416666666
2012,2011,0.347157690286058,0.00271886211568578,-0.000183835253655368,0.00035422390308798,-0.00077922576112506,0.00314775162550285,0.0109688587767791,0.390371516790333,0.128720133333334
2013,2012,0.349876552401744,-0.00544513236042549,-3.4046308610175e-05,0.000351877353278463,-9.11541521367021e-05,0.00262584794946383,-0.503196396384736,0.39915294965943,0.272148516666666
2014,2013,0.344431420041318,0.00170215423772691,-0.000170095200687281,-4.91756590274561e-05,0.000375369749944787,0.00262922594180345,-0.179615062469756,0.125894517365667,0.411408183333333
2015,2014,0.346133574279045,0.00275945879193684,-0.000191646072413371,-0.000176300084264336,0.000349606450387258,0.0026141180596318,-0.499083074343443,0.580424075732259,0.311404283333334
2016,2015,0.348893033070982,0.00576561251912827,9.29476832460807e-05,-0.000498940104631918,0.000416187377168406,0.00256274210332313,-0.422301062905992,0.536186760132737,-0.286387675000001
2017,2016,0.35465864559011,-0.00459991623041911,-0.000516508061861598,-0.000686900983805028,0.000545235506600572,0.00223781409265009,0.540216294756365,-0.699359408406868,-0.176179208333332
2018,2017,0.350058729359691,-8.7801249742725e-05,-0.000797174631139069,-0.00116994555926575,0.000396600583436851,0.00251504473795786,0.0863797628671347,-0.0913584588817984,-0.1952608
2019,2018,0.349970928109949,-0.00102253965321941,-0.000959396710264765,-0.00148052786761199,0.000453934896055191,0.00263837896212646,0.253654859213014,-0.249422245139974,-0.378596683333335
2023,2022,0.378872610307868,-0.0209559340979784,-0.00378668147359598,0.00627440091441861,-0.00219154365286987,0.00065542670452437,-0.00822664408258422,-0.40161987799655,-0.743568066666667
2024,2023,0.35791667620989,0.0154024752504986,-0.00299353414079756,0.00295629335198366,-0.001359790859129,0.00169342685540702,-0.367456769022096,0.487976394145255,0.314567474999999
2025,2024,0.373319151460388,0.00992898896671901,-0.00235571889811229,0.000491832248549318,-0.000875010153095476,0.00251749040381302,-0.226232712271066,0.256658852638227,0.216689366666667
