year,d_0_14,d_15_34,d_55_64,d_65p,d_tot,d_rp_g,d_unemp
2026,-0.00163789999854008,-0.00178713657114193,0.000350936362783577,0.00406536072696742,-0.544409195995604,-0.200445371764933,0.407530658333334
2027,-0.00199475315275563,-0.000508974958340402,-0.000249722846477993,0.0033730355976388,0,0,0
2028,-0.00198982264853545,-0.000529572836842018,-0.000731432040483315,0.00329059177765784,-0.0320488571909108,0,0
2029,-0.00184989378681733,-0.000689420562754728,-0.00081990123589798,0.0029929681020234,-0.0454635931293921,0,0
2030,-0.00170430749378356,-0.000892963004647474,-0.000660218995148801,0.00254751504239831,-0.0450089571980987,0,0
2031,-0.00176586059020581,-0.000534494190195523,-0.00058292865898589,0.00226508126066299,-0.0445588676261171,0,0
2032,-0.00144557655934424,-0.00059283086822276,-0.00057321304471554,0.00213447042390402,-0.0441132789498564,0,0
2033,-0.00121354598489731,-0.00049015162742444,-0.000649345342881344,0.00211361831828713,-0.0436721461603576,0,0
2034,-0.00111683121359252,-0.000559772853318874,-0.000699712433596886,0.00228424605616798,-0.0432354246987537,0,0
2035,-0.000859341180945244,-0.00103813123629082,-0.000523021226219736,0.00218249263248804,-0.0428030704517668,0,0
2036,-0.000884307500795406,-0.000845943950457562,-0.000598458161525331,0.00264379807710929,-0.0423750397472489,0,0
2037,-0.00100652937163134,-0.000297280321238769,-0.000110529532946185,0.00230269902693983,-0.0419512893497767,0,0
2038,-0.000625907059509656,-0.00069048390969384,0.000707243779861977,0.00171336501880043,-0.0415317764562784,0,0
2039,-0.000553012708311346,-0.000988244610176825,0.00103148897492708,0.00128646599151791,0,0,0
2040,-0.00045463296146897,-0.00124270068625382,0.00135285331508893,0.000948770949969119,0,0,0
2041,-0.000356998193272923,-0.00153007549477374,0.0015554626813387,0.000695896229724574,0,0,0
2042,-0.000265285190214709,-0.00184908064367284,0.0015649552365293,0.000536553167988313,0,0,0
2043,-0.000198478642561367,-0.0018801789827767,0.00157306973319758,0.000472225440592333,0,0,0
2044,-0.000158393934674345,-0.00178419474327274,0.00145906083293355,0.000610252719917409,0,0,0
2045,-0.000132587162722325,-0.00178839180664808,0.00144663116895441,0.000720475085597333,0,0,0
2046,-0.000121759916372366,-0.00159724031348435,0.000983785580917551,0.00111062353785657,0,0,0
2047,-0.000124462157009536,-0.00158502640531083,0.000543087450149346,0.00130205821115867,0,0,0
2048,-0.00014121574811557,-0.00152516351813337,0.000195282038979616,0.0015718838430509,0,0,0
2049,-0.000172467268959281,-0.00136948174450277,0.000159137618014171,0.00154848158376714,0,0,0
2050,-0.000216284881924322,-0.00121005736248131,7.97523100955905e-05,0.00159923389726016,0,0,0
2051,-0.000270076156702437,-0.00122241162575859,-0.000238206311216738,0.00161710946212118,0,0,0
2052,-0.000329199420894488,-0.000919734577371489,-0.00042847585654962,0.00154238484630578,0,0,0
2053,-0.000390436954417817,-0.000697079935849138,-0.000654289446656867,0.00154525346782103,0,0,0
2054,-0.000449808483175662,-0.000597378482776134,-0.000684555770944797,0.00161288566626275,0,0,0
2055,-0.000504043231364382,-0.00037432414124261,-0.000562326656926751,0.00174233617016337,0,0,0
2056,-0.000549601793342319,-0.000404018138799089,-0.000601300206394984,0.00171455185364003,0,0,0
2057,-0.000584152300313528,-0.000532435879943671,-0.000688888644032604,0.00152310596228361,0,0,0
2058,-0.000606360442559933,-0.000244103823719033,-0.000557209481943363,0.00147988267343205,0,0,0
2059,-0.000616035278876687,-0.000228245757490031,-0.000262059195161132,0.00144949604770084,0,0,0
2060,-0.00061381774297406,-0.000196127124090617,-5.29311833941948e-05,0.00144402777585489,0,0,0
2061,-0.000599805951404353,-0.000166929728102283,0.000428099625272779,0.0011880725604137,0,0,0
2062,-0.000575775284874597,-0.000140650538733023,0.00090414142978977,0.000959177127658944,0,0,0
2063,-0.000543596905117932,-0.000131412675623915,0.00111363635963221,0.000761916915114264,0,0,0
2064,-0.000504560028939671,-0.000139931029678381,0.000993379977340239,0.000795281677830884,0,0,0
2065,-0.00046058590962525,-0.000153844799931274,0.000770650144322538,0.00101821552814804,0,0,0
2066,-0.000413343715593234,-0.000172831489242187,0.000674511380581208,0.000947515686645167,0,0,0
2067,-0.000364637181858279,-0.000196950780483124,0.000930428853655546,0.000681066728652563,0,0,0
2068,-0.00031591935835637,-0.000225509041886673,0.00081861737661057,0.00074432331532695,0,0,0
2069,-0.000268747689554288,-0.000260303912650944,0.000473100187502712,0.000964618076267632,0,0,0
2070,-0.00022308234583604,-0.000300218882321901,0.000187601764366357,0.00112563853516204,0,0,0
2071,-0.000180495458445701,-0.000343614897186151,3.60501334434465e-05,0.00130496040092937,0,0,0
