year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real,tot_index,tot,unemp,p_gfce,p_gdp,dln_pop,is_outlier
1980,0.333103269138001,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0961716749155311,29390712,-0.556814828213559,5791,31675.75,1198,3862.5,33686.25,181305.75,53.8,-0.662294707097016,6.16130680833333,0.182821243380188,0.185798023504494,0.0122987053829036,FALSE
1981,0.341854541406654,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0974987368711662,29846520,-0.0577597629319445,6777.5,33114.5,1294.75,3740.25,38179.25,187366,53.075,-0.70205682016284,5.845446875,0.204668649685183,0.20376829307345,0.0153895440631544,FALSE
1982,0.34194351027086,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0987054544094284,30368494,0.317668668109162,7791.75,33612.5,1405,3638,44008,193602.25,52.25,-0.747303362617054,6.14029961666667,0.231811082186687,0.227311407796139,0.0173374392907739,FALSE
1983,0.369170289130503,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0997669661529251,30786944,0.347751277639497,8831.75,34467.5,1646.5,3793.5,47504.5,189293.25,51.725,-0.776096616906099,8.94047455,0.25623413360412,0.250957178874577,0.0136850145877858,FALSE
1984,0.374219801166094,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.101017170696852,31158782,-0.0438315951397662,9801.25,36073.5,2013.25,4404.75,53512,197933.5,52.6,-0.72810785975769,9.64133005833333,0.271702219080489,0.270353426782227,0.0120054276571899,FALSE
1985,0.384885205434133,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.102672723974545,31576624,0.292139046756401,11313,39260.5,2326.25,4942.5,58942.25,208387.75,52.1,-0.755530006699638,8.61093366666667,0.288152214057386,0.282848919862132,0.0133209683462496,FALSE
1986,0.386757421004678,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.105011502433147,32036700,0.43582987734661,12652,40966.25,2664.25,5209.25,65304.5,216660.25,47.025,-1.0338647981604,7.93665978333333,0.308839593567876,0.301414311116137,0.0144650206312775,FALSE
1987,0.387112871425331,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.106941740940689,32527748,0.176269781643991,13847,42354.25,2936.5,5324,71641.25,222200,44.6,-1.16686221082885,8.25131165833333,0.326932952419179,0.322417866786679,0.0152113890433156,FALSE
1988,0.361389001685801,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.108357441893269,33064328,-0.545497257801911,14961.25,43947.5,2782.5,4920.25,81267,235001.5,48.375,-0.959825001417146,7.76463595833333,0.340434609477217,0.345814813947996,0.0163614876307641,FALSE
1989,0.345975970765878,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.109816183922177,33628832,-1.2269461090611,16347.75,45240.5,2854.75,4973.75,92221,244117.25,55.425,-0.573172729535687,6.60821480833333,0.361352107072203,0.377773385535025,0.0169287969389345,FALSE
1990,0.342681221503343,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.110950295831359,34130256,-1.07031429699892,17960.25,46439.5,3289.5,5449.75,101547,252839.25,55.775,-0.553977226676324,6.13812025,0.386745119994832,0.401626725280984,0.0148004693689643,FALSE
1991,0.357308222125526,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.112862238889111,34568072,-0.709345269674599,19347,47926,3420.25,5557.25,103990.75,251867.25,52.875,-0.713025678939619,8.3671055,0.403684847473188,0.41287920521624,0.0127462178556783,FALSE
1992,0.373256260951802,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.114531140446608,34957270,-0.0931292124045708,20657,49147.75,3474.5,5724.75,106004.25,252957.5,51.125,-0.809003193236435,10.2758879,0.420304083096378,0.419059525809672,0.0111959770147045,FALSE
1993,0.372161555856265,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.116397524713623,35269616,0.0801064542820579,21511,50397.25,3738,6159,111218.5,263192,49.075,-0.92143399569842,10.931669675,0.426828844827843,0.422575534210766,0.00889539825558217,FALSE
1994,0.370458861335371,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.117931469141951,35610936,0.0189515858073033,21902.75,50945.25,3747,6159,116772.75,273664,47.7,-0.996844899788775,10.5258743416667,0.429927225796321,0.426701173702058,0.00963092494678008,FALSE
1995,0.370609406969422,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.119038769595935,36009764,-0.322531426207231,23077.25,53141,4002.75,6489.75,124264.25,284310,49.375,-0.904980707533251,8.91658238333333,0.434264503867071,0.437073089233583,0.0111373422085137,FALSE
1996,0.365259991470121,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.120289000128232,36449534,-0.444585200224061,24563,55386,3944,6508.25,132475.5,295300.25,50.85,-0.824085374054507,8.394570375,0.443487523923013,0.448612894841776,0.0121385498322191,FALSE
1997,0.356153778449965,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.121424985467923,36846074,-0.385716097320458,25418.5,56553.25,4088.75,7006.25,139180.75,306870,52.35,-0.741818933228664,8.58653201666667,0.449461348375204,0.453549548668817,0.0108203991959606,FALSE
1998,0.34229577934669,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.122450286936767,37215168,-0.321976005947754,26868.75,58841.25,4123.75,6887,147625.25,321222,52.025,-0.75964332874093,7.98148546666667,0.456631189854057,0.459573908387346,0.00996734717801573,FALSE
1999,0.345409539149142,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901,37624528,0.358895036443914,29118.25,61712.75,4478.5,7273.5,155836.75,337373.5,49.525,-0.896754063450667,7.282875675,0.471835236640727,0.461911649848017,0.0109397580294228,FALSE
2000,0.344757730483635,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981,38057604,0.290889045854279,30723,63701.5,4934.75,8276.5,165982.5,350585.5,51.4,-0.793921012418364,6.615279375,0.482296335251132,0.473443710592709,0.0114447285147712,FALSE
2001,0.350668649940431,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625,38549402,0.283315226796489,32761.5,64897.75,5345.75,8631.75,177316.25,357707.25,52.4,-0.739076718534469,6.34958683333333,0.504817193200073,0.495702141905147,0.0128396809127338,FALSE
2002,0.345335135363433,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455,38990420,0.226159116715478,34707.75,67057.5,5583,8939,189416,371836,53.125,-0.699314605468646,6.71963618333334,0.517581925959065,0.509407373142999,0.011375387361948,FALSE
2003,0.338893718486873,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987,39441474,0.349478259462822,36954.75,68916.25,5775.25,9342.25,201305,383330.5,53.9,-0.656810277708627,6.13628740833333,0.536226942121778,0.525147359784833,0.011501927331917,FALSE
2004,0.337764303662283,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407,39865444,0.139835490464854,39478,72014.5,5807.75,9584.75,216299.5,399503.25,57.75,-0.445659746255632,5.647247725,0.548195155142367,0.541421127362543,0.0106919812205746,FALSE
2005,0.336884081191394,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803,40353688,0.29961169150168,42522.25,74213.5,6560.25,10578.25,231711.75,412109.5,63.425,-0.134418378464528,5.19029915833333,0.572971898643778,0.56225772519197,0.0121729073052421,FALSE
2006,0.333935544145712,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777,40901932,0.093655747090079,45747.25,76544,7450.5,10885.5,250466,423528.75,70.125,0.233038390557568,4.96714044166667,0.597659516095318,0.591378979585211,0.0134945083098899,FALSE
2007,0.329633024750431,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023,41655244,0.0814826332760069,49496.25,78900.5,8162,11829.5,272995.25,439578.25,75.2,0.511373182018335,4.51714438333333,0.627324921895299,0.621039030024802,0.0182499679529258,FALSE
2008,0.32922316457056,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086,42498398,0.0890653168793055,53327.25,81335.75,9301.25,12814.5,295567.75,455508.5,79.4,0.741719216330694,4.23830495,0.655643428627633,0.648874280062831,0.0200391140524268,FALSE
2009,0.350492899653279,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804,43383306,-0.0136380002120245,58066.5,84704.75,10620,13801.25,316393,464413,85.1,1.0543316914689,4.91558959166667,0.685516455688731,0.681275071972576,0.0206083316277237,FALSE
