year,cointegration_residual
1980,-0.0152318062597504
1981,-0.00197035669427831
1982,-0.00122744910823986
1983,0.00187663243919874
1984,-0.00264947308563388
1985,0.0189669506767982
1986,0.0258891494793159
1987,0.0209681795394194
1988,-0.00455492507293972
1989,-0.0127633629698031
1990,-0.00901700619328231
1991,-0.0097910678122489
1992,-0.00440264126610045
1993,-0.00876218024085877
1994,-0.00631171558371319
1995,0.00702452057692701
1996,0.00677170478071062
1997,-0.00249549536126617
1998,-0.0100551179436772
1999,0.00330719887201423
2000,0.00695070624582661
2001,0.0133978980514301
2002,0.000946447451172284
2003,-0.00249588520427193
2004,-0.00279526960115962
2005,-0.000108196987468382
2006,-0.00333859434462281
2007,-0.0050171614791194
2008,-0.00470393257305215
2009,0.00821888727508275
2010,0.0110383317072745
2011,0.00243859714985551
2012,0.00437287168855088
2013,-0.00474354388396169
2014,-0.00912030602148101
2015,-0.00901626278297834
2016,-0.000679113762631357
2017,-0.00959745255841872
2018,-0.0104621550680572
2019,-0.0113118369509138
2022,0.0140844748073501
2023,-0.00583173379702634
2024,0.00735113998519346
2025,0.014850351880835
