origin_year,forecast_year,horizon,actual,forecast,error,p,d,q,aic,abs_error,squared_error
2010,2011,1,-0.00920829364934706,-0.00990355666606669,-0.000695263016719639,2,0,2,-204.881870398986,0.000695263016719639,4.83390662418093e-07
2010,2012,2,0.00271886211568578,-0.0136278896679131,-0.0163467517835989,2,0,2,-204.881870398986,0.0163467517835989,0.000267216293874593
2010,2013,3,-0.00544513236042549,-0.0200673321712136,-0.0146221998107881,2,0,2,-204.881870398986,0.0146221998107881,0.000213808727306612
2010,2014,4,0.00170215423772691,-0.0154314577990832,-0.0171336120368101,2,0,2,-204.881870398986,0.0171336120368101,0.000293560661427925
2010,2015,5,0.00275945879193684,-0.00880425136947455,-0.0115637101614114,2,0,2,-204.881870398986,0.0115637101614114,0.000133719392697129
2011,2012,1,0.00271886211568578,-0.0138175497500352,-0.016536411865721,2,0,2,-213.84635275936,0.016536411865721,0.000273452917392758
2011,2013,2,-0.00544513236042549,-0.02078199898456,-0.0153368666241345,2,0,2,-213.84635275936,0.0153368666241345,0.000235219477846491
2011,2014,3,0.00170215423772691,-0.0157660220897657,-0.0174681763274926,2,0,2,-213.84635275936,0.0174681763274926,0.000305137184208374
2011,2015,4,0.00275945879193684,-0.00919152330908429,-0.0119509821010211,2,0,2,-213.84635275936,0.0119509821010211,0.000142825973178928
2011,2016,5,0.00576561251912827,-0.0114795716101043,-0.0172451841292326,2,0,2,-213.84635275936,0.0172451841292326,0.000297396375651136
2012,2013,1,-0.00544513236042549,-0.00415912921747316,0.00128600314295233,2,0,2,-221.045366778879,0.00128600314295233,1.65380408368327e-06
2012,2014,2,0.00170215423772691,-0.00500550644791437,-0.00670766068564127,2,0,2,-221.045366778879,0.00670766068564127,4.49927118736976e-05
2012,2015,3,0.00275945879193684,0.000927959799480362,-0.00183149899245648,2,0,2,-221.045366778879,0.00183149899245648,3.3543885593691e-06
2012,2016,4,0.00576561251912827,-0.00200746457369244,-0.00777307709282071,2,0,2,-221.045366778879,0.00777307709282071,6.04207274909341e-05
2012,2017,5,-0.00459991623041911,-0.0125515829280144,-0.00795166669759533,2,0,2,-221.045366778879,0.00795166669759533,6.32290032696466e-05
2013,2014,1,0.00170215423772691,-0.00563224012497982,-0.00733439436270673,2,0,2,-229.980256622696,0.00733439436270673,5.37933406677042e-05
2013,2015,2,0.00275945879193684,0.000367835241541799,-0.00239162355039504,2,0,2,-229.980256622696,0.00239162355039504,5.71986320680419e-06
2013,2016,3,0.00576561251912827,-0.0024835265449081,-0.00824913906403637,2,0,2,-229.980256622696,0.00824913906403637,6.80482952978108e-05
2013,2017,4,-0.00459991623041911,-0.0126287416775574,-0.00802882544713828,2,0,2,-229.980256622696,0.00802882544713828,6.44620380606152e-05
2013,2018,5,-8.7801249742725e-05,-0.00657953505749301,-0.00649173380775029,2,0,2,-229.980256622696,0.00649173380775029,4.2142607830688e-05
2014,2015,1,0.00275945879193684,0.00366786736295736,0.000908408571020519,2,0,2,-238.140443859603,0.000908408571020519,8.25206131903542e-07
2014,2016,2,0.00576561251912827,-0.000857556070790513,-0.00662316858991879,2,0,2,-238.140443859603,0.00662316858991879,4.38663621704868e-05
2014,2017,3,-0.00459991623041911,-0.0125386399494627,-0.00793872371904363,2,0,2,-238.140443859603,0.00793872371904363,6.30233342873059e-05
