origin_year,forecast_year,horizon,actual,forecast,error,p,d,q,aic,abs_error,squared_error
2010,2011,1,-0.0103577028656782,0.000908435127542348,0.0112661379932206,2,0,2,-206.251873982826,0.0112661379932206,0.000126925865282288
2010,2012,2,-0.00061121435747441,0.00523937940378657,0.00585059376126098,2,0,2,-206.251873982826,0.00585059376126098,3.42294473593059e-05
2010,2013,3,-0.00791686546736803,0.00142865201748011,0.00934551748484814,2,0,2,-206.251873982826,0.00934551748484814,8.73386970596024e-05
2010,2014,4,-0.000206079021484062,0.00180855214600262,0.00201463116748668,2,0,2,-206.251873982826,0.00201463116748668,4.05873874100874e-06
2010,2015,5,0.000949042500908326,0.00420770485693784,0.00325866235602951,2,0,2,-206.251873982826,0.00325866235602951,1.06188803506038e-05
2011,2012,1,-0.00061121435747441,0.00599327492522916,0.00660448928270357,2,0,1,-213.410230341408,0.00660448928270357,4.36192786853463e-05
2011,2013,2,-0.00791686546736803,0.00666958993270841,0.0145864554000764,2,0,1,-213.410230341408,0.0145864554000764,0.000212764681138419
2011,2014,3,-0.000206079021484062,0.00559111925389899,0.00579719827538305,2,0,1,-213.410230341408,0.00579719827538305,3.36075078441042e-05
2011,2015,4,0.000949042500908326,0.00832017889695699,0.00737113639604867,2,0,1,-213.410230341408,0.00737113639604867,5.43336517691533e-05
2011,2016,5,0.00438201959105516,0.0035833192645028,-0.000798700326552369,2,0,1,-213.410230341408,0.000798700326552369,6.37922211634861e-07
2012,2013,1,-0.00791686546736803,0.00602925495781667,0.0139461204251847,2,0,2,-223.573914182132,0.0139461204251847,0.000194494274913754
2012,2014,2,-0.000206079021484062,0.0109333198120135,0.0111393988334976,2,0,2,-223.573914182132,0.0111393988334976,0.000124086206371727
2012,2015,3,0.000949042500908326,0.00492935434009597,0.00398031183918764,2,0,2,-223.573914182132,0.00398031183918764,1.58428823371773e-05
2012,2016,4,0.00438201959105516,-0.00701251579826874,-0.0113945353893239,2,0,2,-223.573914182132,0.0113945353893239,0.000129835436738555
2012,2017,5,-0.0056561901192424,-0.00753812484985886,-0.00188193473061646,2,0,2,-223.573914182132,0.00188193473061646,3.54167833030045e-06
2013,2014,1,-0.000206079021484062,0.00572373675151644,0.00592981577300051,2,0,2,-227.465288581958,0.00592981577300051,3.51627151017256e-05
2013,2015,2,0.000949042500908326,0.00264050871710758,0.00169146621619925,2,0,2,-227.465288581958,0.00169146621619925,2.86105796054341e-06
2013,2016,3,0.00438201959105516,-0.00389814645286677,-0.00828016604392193,2,0,2,-227.465288581958,0.00828016604392193,6.85611497149178e-05
2013,2017,4,-0.0056561901192424,-0.00340303704540506,0.00225315307383734,2,0,2,-227.465288581958,0.00225315307383734,5.07669877414264e-06
2013,2018,5,-0.00112524543670739,0.000452704728566427,0.00157795016527382,2,0,2,-227.465288581958,0.00157795016527382,2.48992672408766e-06
2014,2015,1,0.000949042500908326,0.000639200572257346,-0.00030984192865098,2,0,2,-234.908016854551,0.00030984192865098,9.60020207501591e-08
2014,2016,2,0.00438201959105516,-0.00490922239826911,-0.00929124198932427,2,0,2,-234.908016854551,0.00929124198932427,8.63271777041824e-05
2014,2017,3,-0.0056561901192424,-0.00216061846804785,0.00349557165119455,2,0,2,-234.908016854551,0.00349557165119455,1.2219021168635e-05
2014,2018,4,-0.00112524543670739,0.00196948349013303,0.00309472892684042,2,0,2,-234.908016854551,0.00309472892684042,9.57734713062288e-06
2014,2019,5,-0.00191086888709008,-0.00285149167097283,-0.000940622783882752,2,0,2,-234.908016854551,0.000940622783882752,8.84771221559339e-07
2015,2016,1,0.00438201959105516,-0.00477240373335775,-0.00915442332441291,2,0,2,-243.384803534113,0.00915442332441291,8.38034664025552e-05
2015,2017,2,-0.0056561901192424,-0.00211591504134243,0.00354027507789997,2,0,2,-243.384803534113,0.00354027507789997,1.25335476271997e-05
2015,2018,3,-0.00112524543670739,0.00189698670121055,0.00302223213791794,2,0,2,-243.384803534113,0.00302223213791794,9.13388709546401e-06
2015,2019,4,-0.00191086888709008,-0.00294749363215636,-0.00103662474506628,2,0,2,-243.384803534113,0.00103662474506628,1.07459086208373e-06
2015,2023,5,-0.0290189444094542,-0.0131378310410431,0.0158811133684111,2,0,2,-243.384803534113,0.0158811133684111,0.000252209761820326
2016,2017,1,-0.0056561901192424,-0.00054219962631043,0.00511399049293197,2,0,2,-249.752294640641,0.00511399049293197,2.61528987617986e-05
2016,2018,2,-0.00112524543670739,0.00326485457808616,0.00439010001479355,2,0,2,-249.752294640641,0.00439010001479355,1.92729781398903e-05
2016,2019,3,-0.00191086888709008,-0.00542859024955856,-0.00351772136246848,2,0,2,-249.752294640641,0.00351772136246848,1.23743635839671e-05
2016,2023,4,-0.0290189444094542,-0.0146926393788005,0.0143263050306537,2,0,2,-249.752294640641,0.0143263050306537,0.000205243015831334
2016,2024,5,0.00997089570735649,0.00475262472971227,-0.00521827097764422,2,0,2,-249.752294640641,0.00521827097764422,2.7230351996124e-05
2017,2018,1,-0.00112524543670739,0.00166963033730945,0.00279487577401684,2,0,2,-257.649766460142,0.00279487577401684,7.81133059218624e-06
2017,2019,2,-0.00191086888709008,-0.00616682543446806,-0.00425595654737798,2,0,2,-257.649766460142,0.00425595654737798,1.81131661331695e-05
2017,2023,3,-0.0290189444094542,-0.0134285880586535,0.0155903563508008,2,0,2,-257.649766460142,0.0155903563508008,0.000243059211144954
2017,2024,4,0.00997089570735649,0.0061333034608471,-0.00383759224650938,2,0,2,-257.649766460142,0.00383759224650938,1.47271142504689e-05
2017,2025,5,0.00634595027650758,0.0059969377402712,-0.000349012536236381,2,0,2,-257.649766460142,0.000349012536236381,1.21809750450151e-07
2018,2019,1,-0.00191086888709008,-0.00715702990672557,-0.00524616101963549,2,0,2,-265.902734487937,0.00524616101963549,2.75222054439429e-05
2018,2023,2,-0.0290189444094542,-0.0139178887974378,0.0151010556120165,2,0,2,-265.902734487937,0.0151010556120165,0.000228041880597215
2018,2024,3,0.00997089570735649,0.00679224677189011,-0.00317864893546638,2,0,2,-265.902734487937,0.00317864893546638,1.01038090549415e-05
2018,2025,4,0.00634595027650758,0.00664802135654441,0.000302071080036827,2,0,2,-265.902734487937,0.000302071080036827,9.12469373946152e-08
2019,2023,1,-0.0290189444094542,-0.0122470924520758,0.0167718519573784,2,0,2,-273.655769739364,0.0167718519573784,0.000281295018080219
2019,2024,2,0.00997089570735649,0.00737276888662011,-0.00259812682073637,2,0,2,-273.655769739364,0.00259812682073637,6.75026297662969e-06
2019,2025,3,0.00634595027650758,0.00544127924139457,-0.000904671035113014,2,0,2,-273.655769739364,0.000904671035113014,8.18429681772452e-07
2020,2023,1,-0.0290189444094542,-0.0122470924520758,0.0167718519573784,2,0,2,-273.655769739364,0.0167718519573784,0.000281295018080219
2020,2024,2,0.00997089570735649,0.00737276888662011,-0.00259812682073637,2,0,2,-273.655769739364,0.00259812682073637,6.75026297662969e-06
2020,2025,3,0.00634595027650758,0.00544127924139457,-0.000904671035113014,2,0,2,-273.655769739364,0.000904671035113014,8.18429681772452e-07
2021,2023,1,-0.0290189444094542,-0.0122470924520758,0.0167718519573784,2,0,2,-273.655769739364,0.0167718519573784,0.000281295018080219
2021,2024,2,0.00997089570735649,0.00737276888662011,-0.00259812682073637,2,0,2,-273.655769739364,0.00259812682073637,6.75026297662969e-06
2021,2025,3,0.00634595027650758,0.00544127924139457,-0.000904671035113014,2,0,2,-273.655769739364,0.000904671035113014,8.18429681772452e-07
2022,2023,1,-0.0290189444094542,-0.0122470924520758,0.0167718519573784,2,0,2,-273.655769739364,0.0167718519573784,0.000281295018080219
