variable,test,statistic,p_value,note
d_gov_gdp,ADF,-4.05202027418951,0.0171586480653573,""
d_gov_gdp,KPSS,0.0886012517828882,0.1,""
d_0_14,ADF,-3.14655738127618,0.121695947467017,""
d_0_14,KPSS,0.430993204231986,0.0637960326586266,""
d_15_34,ADF,-1.80828782596424,0.649196757601798,""
d_15_34,KPSS,0.526550073711987,0.035686920335138,""
d_55_64,ADF,-1.73401089894809,0.67847422193611,""
d_55_64,KPSS,0.205099069111537,0.1,""
d_65p,ADF,-2.0929015450579,0.537011610146671,""
d_65p,KPSS,0.369405034284007,0.0903426576362039,""
d_tot,ADF,-3.70087237279273,0.03703833547227,""
d_tot,KPSS,0.102201120478868,0.1,""
d_rp_g,ADF,-4.70642311705282,0.01,""
d_rp_g,KPSS,0.0553161823608566,0.1,""
d_unemp,ADF,-3.31178050959073,0.0835256415085638,""
d_unemp,KPSS,0.114458701709772,0.1,""
