year,fitted_value,residual,hat_value,cooks_distance,studentized_residual,leverage_threshold,cooks_threshold,high_leverage,high_cooks_distance,large_studentized_residual,leverage_without_large_residual,influential_without_large_residual
1980,0.355229173860514,-0.0221259047225124,0.247997567481297,0.262834362632862,-2.07958401961405,0.227272727272727,0.0909090909090909,TRUE,TRUE,TRUE,FALSE,FALSE
1981,0.357522962571878,-0.0156684211652238,0.196623857095433,0.0915629889191249,-1.38362680642062,0.227272727272727,0.0909090909090909,FALSE,TRUE,FALSE,FALSE,TRUE
1982,0.356941445563703,-0.0149979352928435,0.164429934698697,0.0648558607489458,-1.29477612954398,0.227272727272727,0.0909090909090909,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.356065876562491,0.0131044125680126,0.139417922531502,0.0395767625704018,1.10843765131011,0.227272727272727,0.0909090909090909,FALSE,FALSE,FALSE,FALSE,FALSE
1984,0.356291391260746,0.0179284099053473,0.110274278034015,0.0548171704820931,1.51136540148508,0.227272727272727,0.0909090909090909,FALSE,FALSE,FALSE,FALSE,FALSE
1985,0.357634281048079,0.0272509243860533,0.0888275414837032,0.0972702627449133,2.36092856890382,0.227272727272727,0.0909090909090909,FALSE,TRUE,TRUE,FALSE,FALSE
1986,0.361338716135906,0.0254187048687721,0.0855787951843361,0.0809564705456008,2.17713510429334,0.227272727272727,0.0909090909090909,FALSE,FALSE,TRUE,FALSE,FALSE
1987,0.365191374256695,0.0219214971686364,0.110523222127654,0.0821856265633584,1.87639531084932,0.227272727272727,0.0909090909090909,FALSE,FALSE,FALSE,FALSE,FALSE
1988,0.367352327875497,-0.00596332618969548,0.132805527287545,0.00768831939949698,-0.496149463026291,0.227272727272727,0.0909090909090909,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.368879436490119,-0.0229034657242409,0.144857242085785,0.127214470440222,-2.01207997123456,0.227272727272727,0.0909090909090909,FALSE,TRUE,TRUE,FALSE,FALSE
1990,0.369204528647031,-0.0265233071436873,0.142254039924924,0.166522810906795,-2.36947174557337,0.227272727272727,0.0909090909090909,FALSE,TRUE,TRUE,FALSE,FALSE
1991,0.368690950646099,-0.0113827285205734,0.119292398642797,0.0243956938916479,-0.947727439063344,0.227272727272727,0.0909090909090909,FALSE,FALSE,FALSE,FALSE,FALSE
