component,term,is_regressor_parameter,estimate_baseline,estimate_leave_one_out,year_removed,change,abs_change,relative_abs_change
demographic_level,(Intercept),TRUE,0.115664188207803,0.0522117970035343,1980,-0.0634523912042686,0.0634523912042686,0.548591506043942
demographic_level,0_14,TRUE,-0.272004005266322,0.0686580877571623,1980,0.340662093023484,0.340662093023484,1.25241572340061
demographic_level,15_34,TRUE,0.836174838612488,0.733504528313374,1980,-0.102670310299113,0.102670310299113,0.122785696911761
demographic_level,55_64,TRUE,-0.574198297012215,-0.486947420117108,1980,0.0872508768951074,0.0872508768951074,0.151952517708793
demographic_level,65p,TRUE,0.805797162420101,0.925824608321077,1980,0.120027445900976,0.120027445900976,0.148954912599209
macro_difference_arimax,ar1,FALSE,0.31032311338159,0.306893936230005,1980,-0.00342917715158514,0.00342917715158514,0.0110503439921616
macro_difference_arimax,ar2,FALSE,-0.812520367679284,-0.811853124419888,1980,0.000667243259396377,0.000667243259396377,0.000821201887285796
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0142330061762379,1980,-0.000851156695687475,0.000851156695687475,0.0564271748398877
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00975355755308376,1980,-0.000978930623750833,0.000978930623750833,0.0912118986409688
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00800971336310517,1980,-5.73236785398942e-05,5.73236785398942e-05,0.00710591487853196
macro_difference_arimax,ma1,FALSE,0.00721970768424635,0.0139987064573549,1980,0.00677899877310858,0.00677899877310858,0.93895751318306
macro_difference_arimax,ma2,FALSE,0.999965697612929,0.999998702902162,1980,3.30052892325572e-05,3.30052892325572e-05,3.3006421431601e-05
demographic_level,(Intercept),TRUE,0.115664188207803,0.0767030215525029,1981,-0.0389611666552999,0.0389611666552999,0.336847275366703
demographic_level,0_14,TRUE,-0.272004005266322,-0.097368832073791,1981,0.17463517319253,0.17463517319253,0.642031623841508
demographic_level,15_34,TRUE,0.836174838612488,0.799501479844283,1981,-0.0366733587682049,0.0366733587682049,0.0438584815934656
demographic_level,55_64,TRUE,-0.574198297012215,-0.514585762282646,1981,0.0596125347295691,0.0596125347295691,0.103818724367099
demographic_level,65p,TRUE,0.805797162420101,0.869549648976181,1981,0.0637524865560801,0.0637524865560801,0.0791172884806498
macro_difference_arimax,ar1,FALSE,0.31032311338159,0.31796610305995,1981,0.00764298967835991,0.00764298967835991,0.0246291344369238
macro_difference_arimax,ar2,FALSE,-0.812520367679284,-0.829238644801518,1981,-0.0167182771222336,0.0167182771222336,0.020575825280521
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0155668095563922,1981,0.000482646684466868,0.000482646684466868,0.0319969154778334
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.0106296970581052,1981,-0.000102791118729443,0.000102791118729443,0.00957756645391055
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00764004103038966,1981,-0.000426996011255409,0.000426996011255409,0.0529309595395553
macro_difference_arimax,ma1,FALSE,0.00721970768424635,-0.00262095198995422,1981,-0.00984065967420057,0.00984065967420057,1.36302743886338
macro_difference_arimax,ma2,FALSE,0.999965697612929,0.999994330614568,1981,2.86330016392444e-05,2.86330016392444e-05,2.86339838532419e-05
demographic_level,(Intercept),TRUE,0.115664188207803,0.0845062531757213,1982,-0.0311579350320816,0.0311579350320816,0.2693827321565
demographic_level,0_14,TRUE,-0.272004005266322,-0.132713846865725,1982,0.139290158400597,0.139290158400597,0.512088629960492
demographic_level,15_34,TRUE,0.836174838612488,0.807694386187766,1982,-0.028480452424721,0.028480452424721,0.0340604035299366
demographic_level,55_64,TRUE,-0.574198297012215,-0.522901952358105,1982,0.0512963446541096,0.0512963446541096,0.0893355917651187
demographic_level,65p,TRUE,0.805797162420101,0.853005047349956,1982,0.047207884929855,0.047207884929855,0.0585853203901495
macro_difference_arimax,ar1,FALSE,0.31032311338159,0.297615782945572,1982,-0.0127073304360184,0.0127073304360184,0.0409487076149329
