year_removed,status,p,d,q,aic,n_macro_estimation_years,final_projection_year,baseline_final_projection,leave_one_out_final_projection,final_projection_change,abs_final_projection_change,max_abs_regressor_parameter_change,max_relative_regressor_parameter_change,max_abs_any_parameter_change,error
1980,estimated,2,0,2,-283.358656834639,41,2071,0.405670979746285,0.409283789088203,0.00361280934191743,0.00361280934191743,0.340662093023484,1.25241572340061,0.340662093023484,
1981,estimated,2,0,2,-275.941166625657,40,2071,0.405670979746285,0.406441637051468,0.000770657305182831,0.000770657305182831,0.17463517319253,0.642031623841508,0.17463517319253,
1982,estimated,2,0,2,-278.242869766688,40,2071,0.405670979746285,0.40620598864064,0.000535008894354927,0.000535008894354927,0.139290158400597,0.512088629960492,0.139290158400597,
1983,estimated,2,0,2,-277.103938987488,40,2071,0.405670979746285,0.404771778295444,-0.000899201450840992,0.000899201450840992,0.0977255080083507,0.359279665432378,0.153553918623606,
1984,estimated,2,0,2,-277.35971728277,40,2071,0.405670979746285,0.406039400484406,0.000368420738120767,0.000368420738120767,0.0778019714958199,0.286032448013563,0.146418088047056,
1985,estimated,2,0,2,-277.42816455911,40,2071,0.405670979746285,0.40752160995374,0.00185063020745457,0.00185063020745457,0.0863989125406315,0.232201836818186,0.159915697318561,
1986,estimated,0,0,0,-271.39157456468,40,2071,0.405670979746285,0.409606342884772,0.00393536313848702,0.00393536313848702,0.0917668609348409,0.248881847027533,0.0917668609348409,
1987,estimated,0,0,0,-277.254888667287,40,2071,0.405670979746285,0.412754365129391,0.00708338538310516,0.00708338538310516,0.143442785545692,0.527355416716183,0.143442785545692,
1988,estimated,0,0,0,-277.319237983137,40,2071,0.405670979746285,0.407613197876652,0.0019422181303661,0.0019422181303661,0.0529912283554754,0.39914564013271,0.0529912283554754,
1989,estimated,2,0,2,-270.843433717968,40,2071,0.405670979746285,0.408068758866593,0.00239777912030786,0.00239777912030786,0.228557362958245,0.840272049429797,1.34142105187478,
1990,estimated,2,0,2,-270.826329741933,40,2071,0.405670979746285,0.407995691362458,0.00232471161617281,0.00232471161617281,0.260879894460776,0.959103136019434,1.33921550704377,
1991,estimated,2,0,2,-271.258215062655,40,2071,0.405670979746285,0.411297927312384,0.00562694756609822,0.00562694756609822,0.0887540756256395,0.326296943821616,1.33589819388629,
1992,estimated,2,0,2,-272.50680503754,40,2071,0.405670979746285,0.413174609993761,0.0075036302474753,0.0075036302474753,0.033237711034033,0.285668552248389,1.31131045745658,
1993,estimated,0,0,0,-272.093678722137,40,2071,0.405670979746285,0.406443124811024,0.000772145064738827,0.000772145064738827,0.0321937748468922,0.259127460837401,0.0321937748468922,
1994,estimated,0,0,0,-277.9094374711,40,2071,0.405670979746285,0.405093906748928,-0.000577072997357708,0.000577072997357708,0.0381931053642078,0.141841481036603,0.0381931053642078,
1995,estimated,0,0,0,-277.51575475091,40,2071,0.405670979746285,0.405104674821745,-0.000566304924540018,0.000566304924540018,0.0578025937177245,0.176284510875384,0.0578025937177245,
1996,estimated,0,0,0,-272.550860905984,40,2071,0.405670979746285,0.405540557649732,-0.000130422096553395,0.000130422096553395,0.0412468228025802,0.227176758485708,0.0412468228025802,
1997,estimated,0,0,0,-273.539529062411,40,2071,0.405670979746285,0.405845534195395,0.000174554449109243,0.000174554449109243,0.00350920886396922,0.250432710246481,0.00350920886396922,
