origin_year,forecast_year,horizon,actual,forecast,error,demographic_delta,macro_delta,p,d,q,aic,includes_outlier_year,abs_error,squared_error
2010,2011,1,0.347157690286058,0.357384120327596,0.0102264300415379,0.00151478535001209,-0.000496648957821244,2,0,2,-207.81396060776,FALSE,0.0102264300415379,0.000104579871394469
2010,2012,2,0.349876552401744,0.36640547183333,0.016528919431586,0.00358840805558336,0.00543294345015048,2,0,2,-207.81396060776,FALSE,0.016528919431586,0.00027320517757586
2010,2013,3,0.344431420041318,0.371689827595157,0.0272584075538384,0.00276108830520444,0.00252326745662255,2,0,2,-207.81396060776,FALSE,0.0272584075538384,0.000743020782371155
2010,2014,4,0.346133574279045,0.375998528911314,0.0298649546322692,0.00221859105742322,0.00209011025873445,2,0,2,-207.81396060776,FALSE,0.0298649546322692,0.000891915515187496
2010,2015,5,0.348893033070982,0.383195078611081,0.0343020455400991,0.00210186400568468,0.0050946856940821,2,0,2,-207.81396060776,FALSE,0.0343020455400991,0.00117663032823504
2011,2012,1,0.349876552401744,0.355510806730295,0.00563425432855103,0.00354273865160371,0.0048103777926331,2,0,2,-215.228168507866,FALSE,0.00563425432855103,3.1744821838796e-05
2011,2013,2,0.344431420041318,0.363253659624014,0.0188222395826957,0.00272145835453264,0.0050213945391866,2,0,2,-215.228168507866,FALSE,0.0188222395826957,0.000354276702908398
2011,2014,3,0.346133574279045,0.369371464117111,0.0232378898380661,0.00218052243246802,0.00393728206062921,2,0,2,-215.228168507866,FALSE,0.0232378898380661,0.000539999524126094
2011,2015,4,0.348893033070982,0.380327261264857,0.0314342281938751,0.00206460002554865,0.00889119712219725,2,0,2,-215.228168507866,FALSE,0.0314342281938751,0.000988110702144612
2011,2016,5,0.35465864559011,0.387722431742881,0.0330637861527706,0.00158783794209361,0.00580733253593017,2,0,2,-215.228168507866,FALSE,0.0330637861527706,0.00109321395475615
2012,2013,1,0.344431420041318,0.358651518457206,0.0142200984158876,0.00255966380756922,0.0062153022478929,2,0,2,-223.862740335468,FALSE,0.0142200984158876,0.00020221119895753
2012,2014,2,0.346133574279045,0.371610207387478,0.025476633108433,0.00202581630463278,0.0109328726256395,2,0,2,-223.862740335468,FALSE,0.025476633108433,0.000649058834541705
2012,2015,3,0.348893033070982,0.37847452125617,0.0295814881851877,0.00191301925407567,0.00495129461461583,2,0,2,-223.862740335468,FALSE,0.0295814881851877,0.000875064443250399
2012,2016,4,0.35465864559011,0.372976338912185,0.0183176933220744,0.00143598791098748,-0.00693417025497247,2,0,2,-223.862740335468,FALSE,0.0183176933220744,0.000335537888641569
2012,2017,5,0.350058729359691,0.36656726995175,0.0165085405920591,0.00114986549171298,-0.00755893445214734,2,0,2,-223.862740335468,FALSE,0.0165085405920591,0.000272531912479664
2013,2014,1,0.346133574279045,0.351436360820949,0.00530278654190325,0.000996094899942568,0.00600884587968758,2,0,2,-228.456627548624,FALSE,0.00530278654190325,2.81195451089902e-05
2013,2015,2,0.348893033070982,0.354736987353999,0.00584395428301698,0.00090340190979149,0.00239722462325911,2,0,2,-228.456627548624,FALSE,0.00584395428301698,3.41518016619925e-05
2013,2016,3,0.35465864559011,0.350891167906674,-0.00376747768343683,0.000421392833683754,-0.00426721228100928,2,0,2,-228.456627548624,FALSE,0.00376747768343683,1.41938880951945e-05
2013,2017,4,0.350058729359691,0.34794734762306,-0.00211138173663095,0.000388198196701384,-0.00333201848031464,2,0,2,-228.456627548624,FALSE,0.00211138173663095,4.45793283777871e-06
2013,2018,5,0.349970928109949,0.349100708177239,-0.000870219932709082,0.00030754558035434,0.000845814973824801,2,0,2,-228.456627548624,FALSE,0.000870219932709082,7.57282731284199e-07
2014,2015,1,0.348893033070982,0.347450919382749,-0.00144211368823299,0.000591181134039109,0.000726163969664752,2,0,2,-236.447336279462,FALSE,0.00144211368823299,2.07969188978897e-06
2014,2016,2,0.35465864559011,0.342427916535687,-0.0122307290544236,0.00010651114373722,-0.0051295139907996,2,0,2,-236.447336279462,FALSE,0.0122307290544236,0.000149590733202722
2014,2017,3,0.350058729359691,0.340333983840918,-0.00972474551877328,0.000153262863720915,-0.00224719555848966,2,0,2,-236.447336279462,FALSE,0.00972474551877328,9.4570675404901e-05
2014,2018,4,0.349970928109949,0.342548690183888,-0.00742223792606095,6.49260577479938e-05,0.0021497802852216,2,0,2,-236.447336279462,FALSE,0.00742223792606095,5.50896158310575e-05
