measure,series_mask,status,n_series,source_url
GDPVTRD,AUS.GDPVTRD..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD..A?observations=1
GDPVTRD_CAP,AUS.GDPVTRD_CAP..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD_CAP..A?observations=1
GDPVTR_ANNPCT,AUS.GDPVTR_ANNPCT..A,missing,0,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTR_ANNPCT..A?observations=1
POPS,AUS.POPS..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.POPS..A?observations=1
POPS_1574,AUS.POPS_1574..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.POPS_1574..A?observations=1
ETPT,AUS.ETPT..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ETPT..A?observations=1
ERS1574,AUS.ERS1574..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ERS1574..A?observations=1
EFFLABS,AUS.EFFLABS..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.EFFLABS..A?observations=1
KTPV,AUS.KTPV..A,missing,0,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.KTPV..A?observations=1
KTPV_ANNPCT,AUS.KTPV_ANNPCT..A,missing,0,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.KTPV_ANNPCT..A?observations=1
CO2,AUS.CO2..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.CO2..A?observations=1
TES,AUS.TES..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.TES..A?observations=1
SHARE_COAL,AUS.SHARE_COAL..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_COAL..A?observations=1
SHARE_GAS,AUS.SHARE_GAS..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_GAS..A?observations=1
SHARE_OIL,AUS.SHARE_OIL..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_OIL..A?observations=1
SHARE_HYDRO,AUS.SHARE_HYDRO..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_HYDRO..A?observations=1
SHARE_NUCLEAR,AUS.SHARE_NUCLEAR..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_NUCLEAR..A?observations=1
SHARE_SOLAR,AUS.SHARE_SOLAR..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_SOLAR..A?observations=1
SHARE_WIND,AUS.SHARE_WIND..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_WIND..A?observations=1
SHARE_ORENEW,AUS.SHARE_ORENEW..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.SHARE_ORENEW..A?observations=1
UNR,AUS.UNR..A,missing,0,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.UNR..A?observations=1
TTRADE,AUS.TTRADE..A,missing,0,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.TTRADE..A?observations=1
GGFLQ,AUS.GGFLQ..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GGFLQ..A?observations=1
NLGQ,AUS.NLGQ..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.NLGQ..A?observations=1
YPGTQ,AUS.YPGTQ..A,missing,0,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.YPGTQ..A?observations=1
YRGTQ,AUS.YRGTQ..A,missing,0,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.YRGTQ..A?observations=1
RATE_GGINTP,AUS.RATE_GGINTP..A,downloaded,6,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.RATE_GGINTP..A?observations=1
