measure,oecd_measure_label
BSII,Balance of primary income (balance of payments basis)
BSIID,Balance of primary income in USD (balance of payments basis)
BSIIQ,Balance of primary income as a percent of GDP
CAPOG,Net capital outlays of the government
CB,Current account balance
CBD,Current account balance in USD
CBGDPR,Current account balance as a percentage of GDP
CBR,"Current account balance, residual item"
CBRD,"Current account balance in USD, residual item"
CFKG,General government consumption of fixed capital
CG,"Government final consumption expenditure, nominal value, GDP expenditure approach"
CGAA,"General government final consumption expenditure, nominal value, appropriation account"
CGFL,Central government gross financial liabilities
CGFLQ,Central government gross financial liabilities as a percentage of GDP
CGFLQ_DESK,"Central government gross financial liabilities as a percentage of GDP, specific definition"
CGFL_DESK,"Central government gross financial liabilities, specific definition"
CGINTP_DESK,"Gross central government interest payments, specific definition"
CGINTR_DESK,"Gross central government interest receipts, specific definition"
CGV,"Government final consumption expenditure, volume"
CGV_ANNPCT,"Government final consumption expenditure, volume, growth"
CLF,Employment coefficient
CLFS,Trend employment coefficient
CNINTP_DESK,"Net general government interest payments, specific definition"
CO2,"Gross CO2 emissions, million tonnes"
CP,"Private final consumption expenditure, nominal value, GDP expenditure approach"
CPAA,"Private final consumption expenditure, nominal value, appropriation account"
CPI,Consumer price index
CPIDR,Indicator of competitiveness based on relative consumer prices
CPIF,Consumer price index with fixed interest rates
CPIH,"Consumer price index, harmonised"
CPIH_YTYPCT,Harmonised headline inflation
CPI_YTYPCT,Headline inflation
CPV,"Private final consumption expenditure, volume"
CPV_ANNPCT,"Private final consumption expenditure, volume, growth"
CQ_FBGSV,"Net exports, contributions to changes in real GDP"
CQ_ISKV,"Change in inventories, contributions to changes in real GDP"
CTGSVD,"Contribution to world trade growth, goods and services (in USD, OECD reference year prices)"
ECSA,"Employment, country specific"
EE,"Dependent employment, total economy"
EFFLABS,Trend labour efficiency
EG,General government employment
ENE,Energy and GHG emissions
EQPF,Adjustment for the change in net equity of households in pension fund reserves
ER1574,"Employment rate, supply definition, as a percentage of population aged 15-74"
ERS1574,"Trend employment rate, as a percentage of population aged 15-74"
ES,Total self-employed
ET,Total employment (labour force survey basis)
ETPT,Potential employment of total economy
ET_ANNPCT,"Total employment, growth"
ET_NA,Total employment (national accounts basis)
EXCH,"Exchange rate, USD per national currency"
EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights"
EXCHER,"Real effective exchange rate, constant trade weights"
EXCHUD,"Exchange rate, national currency per USD"
EXP,Expenditure and GDP
EXT,"External sectors, trade and payments"
