scenario,scenario_short,scenario_label,year,potential_gdp_volume_usd_2021_ppp,potential_gdp_per_capita_usd_2021_ppp,potential_gdp_growth_pct,trend_total_population,potential_gdp_growth_decimal,series
BAU1,BAU median damage,"Business as usual, median damage",1990,634895749921.981,37420.8026654727,,16966385.1306906,,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1991,651938501498.432,37941.9686472968,2.68433858291623,17182516.4782239,0.0268433858291623,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1992,669254218943.189,38477.5418925313,2.65603540900838,17393372.4979738,0.0265603540900838,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1993,688807436712.551,39138.1714863288,2.92164281014744,17599377.0417495,0.0292164281014744,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1994,711928976723.627,39991.951786819,3.35674947434181,17801806.2363806,0.0335674947434181,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1995,737446486954.777,40964.0367420532,3.58427751439256,18002290.4382791,0.0358427751439256,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1996,764509539639.908,42000.2564536728,3.66983274906978,18202496.9414932,0.0366983274906978,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1997,793713077737.329,43126.9256564528,3.81990499571478,18404119.1356883,0.0381990499571478,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1998,824320735774.022,44296.7103323244,3.85626228106857,18609073.441115,0.0385626228106857,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",1999,855451518367.193,45455.6765788874,3.77653760752965,18819465.0866669,0.0377653760752965,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2000,886276094101.979,46554.509154916,3.60331065793431,19037384.5668265,0.0360331065793431,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2001,915628550486.02,47528.4529086878,3.31188628231955,19264850.7252095,0.0331188628231955,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2002,945725409311.612,48489.2982970631,3.28701620429119,19503796.5597636,0.0328701620429119,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2003,977494549758.127,49477.728493961,3.35923515787098,19756253.5611843,0.0335923515787098,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2004,1010431458620.62,50460.5982248798,3.36952353040159,20024167.2545694,0.0336952353040159,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2005,1044631071234.66,51436.5309183531,3.38465437930122,20309127.6294048,0.0338465437930122,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2006,1079218947680.7,52359.251688374,3.31101356243981,20611810.0026309,0.0331101356243981,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2007,1114317209614.86,53236.207340028,3.25219104145533,20931566.414894,0.0325219104145533,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2008,1149866868370.69,54070.3119957833,3.19026381797665,21266140.8068139,0.0319026381797665,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2009,1183800510278.74,54774.546723872,2.95109310838153,21612237.4548618,0.0295109310838153,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2010,1216239239454.51,55368.1861923313,2.7402192256305,21966391.2274404,0.027402192256305,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2011,1248977734256.28,55942.9167662013,2.6917808388137,22325931.618404,0.026917808388137,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2012,1284019043455.04,56592.5326470335,2.80559919025505,22688842.2093326,0.0280559919025505,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2013,1319728440676.6,57246.9650574844,2.78106445566984,23053247.2656218,0.0278106445566984,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2014,1355029192744.06,57863.4183792076,2.67484968721003,23417717.6305742,0.0267484968721003,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2015,1389921313097.21,58445.3068811518,2.57500875553021,23781572.6748361,0.0257500875553021,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2016,1423801696482.38,58969.5052273901,2.43757564301774,24144711.592748,0.0243757564301774,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2017,1457814117442.36,59484.704004318,2.3888453739036,24507377.8519019,0.023888453739036,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2018,1493178577457.46,60038.6794737867,2.42585523023637,24870276.8039626,0.0242585523023637,OECD EO117 LTS - BAU median damage
BAU1,BAU median damage,"Business as usual, median damage",2019,1529025085135.13,60591.5257055829,2.40068456772988,25234965.9020757,0.0240068456772988,OECD EO117 LTS - BAU median damage
