scenario,scenario_short,scenario_label,year,total_log_change_pp,component,contribution_pp,accounting_block,component_label
BAU1,BAU median damage,"Business as usual, median damage",1990,-101.301800134936,EFFLABS,-31.0261064073037,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1991,-98.6528578790111,EFFLABS,-29.4274989016042,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1992,-96.0314827045494,EFFLABS,-27.653633671636,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1993,-93.1517063736671,EFFLABS,-25.7360161033652,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1994,-89.8500658769144,EFFLABS,-23.723615135807,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1995,-86.3285287892872,EFFLABS,-21.6576409074218,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1996,-82.7244309848393,EFFLABS,-19.5735045759063,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1997,-78.9756780524368,EFFLABS,-17.5243781105063,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1998,-75.1919116794433,EFFLABS,-15.5719046335989,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",1999,-71.4849392209949,EFFLABS,-13.7738166437137,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2000,-67.945029272558,EFFLABS,-12.1712963634455,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2001,-64.6868043551091,EFFLABS,-10.7849827854004,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2002,-61.4526551494375,EFFLABS,-9.62622775577131,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2003,-58.1486097263952,EFFLABS,-8.69625695417788,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2004,-54.8346108042807,EFFLABS,-7.97986442599843,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2005,-51.5059753228673,EFFLABS,-7.45355116015851,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2006,-48.2485951519401,EFFLABS,-7.07299653822098,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2007,-45.0481685151022,EFFLABS,-6.7899701729381,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2008,-41.9077365391281,EFFLABS,-6.56106753003183,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2009,-38.9993500104907,EFFLABS,-6.33930333171655,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2010,-36.2960027265707,EFFLABS,-6.09168739777637,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2011,-33.6398130302701,EFFLABS,-5.79780471475786,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2012,-30.872849792172,EFFLABS,-5.45180386418291,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2013,-28.1297545757308,EFFLABS,-5.06234749135981,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2014,-25.4900535870636,EFFLABS,-4.63645348902588,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2015,-22.947639817313,EFFLABS,-4.17951674209824,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2016,-20.5392989226521,EFFLABS,-3.68511711996362,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2017,-18.1785400438187,EFFLABS,-3.18734485475805,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2018,-15.7816413208959,EFFLABS,-2.7036181037877,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2019,-13.409320138225,EFFLABS,-2.23698740710674,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2020,-11.0614212749649,EFFLABS,-1.7783898475205,potential_output,Trend labour efficiency
BAU1,BAU median damage,"Business as usual, median damage",2021,-9.05392989499738,EFFLABS,-1.31550119668447,potential_output,Trend labour efficiency
