year,series,value
1980,Historical,0.333103269138001
1981,Historical,0.341854541406654
1982,Historical,0.34194351027086
1983,Historical,0.369170289130503
1984,Historical,0.374219801166094
1985,Historical,0.384885205434133
1986,Historical,0.386757421004678
1987,Historical,0.387112871425331
1988,Historical,0.361389001685801
1989,Historical,0.345975970765878
1990,Historical,0.342681221503343
1991,Historical,0.357308222125526
1992,Historical,0.373256260951802
1993,Historical,0.372161555856265
1994,Historical,0.370458861335371
1995,Historical,0.370609406969422
1996,Historical,0.365259991470121
1997,Historical,0.356153778449965
1998,Historical,0.34229577934669
1999,Historical,0.345409539149142
2000,Historical,0.344757730483635
2001,Historical,0.350668649940431
2002,Historical,0.345335135363433
2003,Historical,0.338893718486873
2004,Historical,0.337764303662283
2005,Historical,0.336884081191394
2006,Historical,0.333935544145712
2007,Historical,0.329633024750431
2008,Historical,0.32922316457056
2009,Historical,0.350492899653279
2010,Historical,0.356365983935405
2011,Historical,0.347157690286058
2012,Historical,0.349876552401744
2013,Historical,0.344431420041318
2014,Historical,0.346133574279045
2015,Historical,0.348893033070982
2016,Historical,0.35465864559011
2017,Historical,0.350058729359691
2018,Historical,0.349970928109949
2019,Historical,0.348948388456729
2020,Historical,0.397665876717636
2021,Historical,0.420038484944751
2022,Historical,0.378872610307868
2023,Historical,0.35791667620989
2024,Historical,0.373319151460388
2025,Historical,0.383248140427108
1980,Fitted (in-sample),0.348335075397753
1981,Fitted (in-sample),0.343824898100932
1982,Fitted (in-sample),0.343170959379099
1983,Fitted (in-sample),0.367293656691304
1984,Fitted (in-sample),0.376869274251727
1985,Fitted (in-sample),0.365918254757334
1986,Fitted (in-sample),0.360868271525362
1987,Fitted (in-sample),0.366144691885912
1988,Fitted (in-sample),0.365943926758741
1989,Fitted (in-sample),0.358739333735681
1990,Fitted (in-sample),0.351698227696626
1991,Fitted (in-sample),0.367099289937775
1992,Fitted (in-sample),0.377658902217902
1993,Fitted (in-sample),0.380923736097124
1994,Fitted (in-sample),0.376770576919085
1995,Fitted (in-sample),0.363584886392495
1996,Fitted (in-sample),0.35848828668941
1997,Fitted (in-sample),0.358649273811231
1998,Fitted (in-sample),0.352350897290368
1999,Fitted (in-sample),0.342102340277127
2000,Fitted (in-sample),0.337807024237809
2001,Fitted (in-sample),0.337270751889001
2002,Fitted (in-sample),0.34438868791226
2003,Fitted (in-sample),0.341389603691145
2004,Fitted (in-sample),0.340559573263443
2005,Fitted (in-sample),0.336992278178863
2006,Fitted (in-sample),0.337274138490335
2007,Fitted (in-sample),0.33465018622955
2008,Fitted (in-sample),0.333927097143612
2009,Fitted (in-sample),0.342274012378197
2010,Fitted (in-sample),0.345327652228131
2011,Fitted (in-sample),0.344719093136203
2012,Fitted (in-sample),0.345503680713193
2013,Fitted (in-sample),0.34917496392528
2014,Fitted (in-sample),0.355253880300526
2015,Fitted (in-sample),0.35790929585396
2016,Fitted (in-sample),0.355337759352742
2017,Fitted (in-sample),0.35965618191811
2018,Fitted (in-sample),0.360433083178006
2019,Fitted (in-sample),0.360260225407643
2022,Fitted (in-sample),0.364788135500518
2023,Fitted (in-sample),0.363748410006916
2024,Fitted (in-sample),0.365968011475195
2025,Fitted (in-sample),0.368397788546273
2026,Projection (base),0.378188802140387
2027,Projection (base),0.380800928761258
2028,Projection (base),0.382983353460317
2029,Projection (base),0.384741859302632
2030,Projection (base),0.386081275095229
2031,Projection (base),0.387429944951702
2032,Projection (base),0.38865216144185
2033,Projection (base),0.389874595850294
2034,Projection (base),0.391186899952949
2035,Projection (base),0.392275224347117
2036,Projection (base),0.393877464388959
2037,Projection (base),0.395916359939104
2038,Projection (base),0.397888857208387
2039,Projection (base),0.399412582361987
2040,Projection (base),0.400734559385245
2041,Projection (base),0.40181144559258
2042,Projection (base),0.402541844087026
2043,Projection (base),0.403202300364897
2044,Projection (base),0.403964372421575
2045,Projection (base),0.4048257858723
2046,Projection (base),0.405785003327131
2047,Projection (base),0.406546248656411
2048,Projection (base),0.407300989043809
2049,Projection (base),0.408096482730444
2050,Projection (base),0.408969104195049
2051,Projection (base),0.409559166034341
2052,Projection (base),0.410091143052817
2053,Projection (base),0.410559025884401
2054,Projection (base),0.41112513471434
2055,Projection (base),0.412068859647877
2056,Projection (base),0.412925566556559
2057,Projection (base),0.413425065413115
2058,Projection (base),0.41418311756853
2059,Projection (base),0.4151860209613
2060,Projection (base),0.416392927515551
2061,Projection (base),0.417797383409681
2062,Projection (base),0.419421213282229
2063,Projection (base),0.421045683287519
2064,Projection (base),0.422593888873028
2065,Projection (base),0.424160469307977
2066,Projection (base),0.425562392926585
2067,Projection (base),0.426917800011055
2068,Projection (base),0.428222665511819
2069,Projection (base),0.429419449565832
2070,Projection (base),0.430499412386956
2071,Projection (base),0.431599106061343
