year,Expenses,Revenue,series,Consolidated,exp_gap
1980,31.233749832855423,28.084003149746685,Historical,0.333581069029074,-2.124357070051971
1981,31.865318981359934,28.53964295090575,Historical,0.342349963277725,-2.3696773464125656
1982,32.08745593085409,28.36460821107699,Historical,0.342439568316674,-2.156500900813306
1983,34.75878234977351,29.068601053776387,Historical,0.369696171177106,-2.2108347679370866
1984,35.24027459954233,29.164268366301187,Historical,0.374653882132834,-2.2251136137410725
1985,36.52055387829454,30.741009668666642,Historical,0.385353631866149,-2.014809308320359
1986,36.64743651173934,31.456061332055583,Historical,0.387230927266037,-2.0756562148643525
1987,36.317858963703785,32.80103084863426,Historical,0.387584900913995,-2.440631127695717
1988,33.905145695078595,32.121929127308356,Historical,0.361849582790453,-2.2798125839667023
1989,32.578472901053544,31.401107852720756,Historical,0.346426642273355,-2.064191326281957
1990,32.311843500048184,30.050679140011315,Historical,0.343137399913225,-2.001896491274316
1991,33.75010834705729,30.47297102077374,Historical,0.357796442473658,-2.0295359003085096
1992,35.328624078624074,29.72193347193347,Historical,0.373779001662636,-2.0492760876395266
1993,35.17532623939454,29.255631667450796,Historical,0.372680943784412,-2.0927681390466617
1994,35.07201837909892,30.80427845534989,Historical,0.370988075176557,-2.0267891385567793
1995,34.92535988996584,30.639150058687576,Historical,0.371172449088561,-2.191885018890261
1996,34.45929723670007,31.398248290542547,Historical,0.365820928245798,-2.122795587879729
1997,33.61447189961647,32.35249207332956,Historical,0.356710575079068,-2.0565856082903338
1998,32.094223067001565,32.30992464870002,Historical,0.342888598992677,-2.1946368322661343
1999,35.84745749082914,36.449412759907815,Historical,0.346025710460805,1.2448864447486443
2000,35.317516606959074,37.21452780703634,Historical,0.345364892411548,0.7810273658042775
2001,36.43091198498166,35.090231579780664,Historical,0.351343830078175,1.296528977164165
2002,35.95854826385492,35.178585120418376,Historical,0.345902562583948,1.3682920054601198
2003,35.031901064364945,35.70926948803897,Historical,0.339459424494081,1.0859586149568443
2004,35.12983037626911,35.895145060288925,Historical,0.338303527603101,1.2994776159590131
2005,35.12170400738242,36.019545255132144,Historical,0.337429783628752,1.3787256445072202
2006,34.77643221937104,36.3502853684279,Historical,0.334513844172569,1.3250478021141348
2007,34.61625695692378,36.17003497630445,Historical,0.330250600490668,1.5911969078569754
2008,34.5712931777703,35.18987749538202,Historical,0.329956046098614,1.575688567908898
2009,36.90541214373086,33.05077288592966,Historical,0.351629317650155,1.7424803787153564
2010,38.22990028535898,32.57815171407061,Historical,0.357520575539568,2.477842731402177
2011,36.82398828670503,32.255478975495556,Historical,0.34822504121705,2.0014841650000292
2012,37.10847596315946,32.48801589617908,Historical,0.351054101447468,2.003065818412658
2013,36.22978642022129,33.397234449879036,Historical,0.345886749357447,1.641111484476589
2014,36.502216861654205,33.73181194910628,Historical,0.347643589009624,1.7378579606918052
2015,36.65902171269544,34.43461717251634,Historical,0.350317400286541,1.6272816840413427
2016,37.41086690865751,35.19820690337376,Historical,0.356054985106391,1.805368398018409
2017,36.741624493999105,35.1632715180169,Historical,0.351464011264515,1.5952233675476037
2018,36.90545019258487,35.70857389477456,Historical,0.351282390929997,1.7772110995851733
2019,36.707801854755175,35.35743244943433,Historical,0.35037060286342,1.6707415684131774
2020,41.60359253818636,34.8088953570814,Historical,0.399125349708618,1.6910575673245631
2021,44.026959155671,35.861161690690764,Historical,0.421102184704669,1.916740685204104
2022,39.54381548699776,35.17430371419658,Historical,0.379540431121255,1.589772374872254
2023,37.24164200921281,36.10571786783552,Historical,0.359035764314396,1.3380655777732144
2024,38.557069944201636,36.45586661074234,Historical,0.373371457042375,1.2199242399641363
2025,NA,NA,Projection (base),0.369877502447901,NA
2026,NA,NA,Projection (base),0.372207667745995,NA
2027,NA,NA,Projection (base),0.374286778018299,NA
2028,NA,NA,Projection (base),0.375893905283891,NA
2029,NA,NA,Projection (base),0.377122987590949,NA
2030,NA,NA,Projection (base),0.378031539853772,NA
2031,NA,NA,Projection (base),0.378958245115927,NA
2032,NA,NA,Projection (base),0.37979575514257,NA
2033,NA,NA,Projection (base),0.380631945945329,NA
2034,NA,NA,Projection (base),0.381541090709852,NA
2035,NA,NA,Projection (base),0.382305050701685,NA
2036,NA,NA,Projection (base),0.383492010744079,NA
2037,NA,NA,Projection (base),0.385130533978157,NA
2038,NA,NA,Projection (base),0.386877942656412,NA
2039,NA,NA,Projection (base),0.38833190191147,NA
2040,NA,NA,Projection (base),0.389676482596732,NA
2041,NA,NA,Projection (base),0.390853722961716,NA
2042,NA,NA,Projection (base),0.391742761670733,NA
2043,NA,NA,Projection (base),0.392577141391466,NA
2044,NA,NA,Projection (base),0.393479740493665,NA
2045,NA,NA,Projection (base),0.394466069488515,NA
2046,NA,NA,Projection (base),0.395453848939052,NA
2047,NA,NA,Projection (base),0.396194698124452,NA
2048,NA,NA,Projection (base),0.396867364680584,NA
2049,NA,NA,Projection (base),0.397566477868862,NA
2050,NA,NA,Projection (base),0.398314698309375,NA
2051,NA,NA,Projection (base),0.398763141493239,NA
2052,NA,NA,Projection (base),0.39912485273926,NA
2053,NA,NA,Projection (base),0.399388430860109,NA
2054,NA,NA,Projection (base),0.399727097375318,NA
2055,NA,NA,Projection (base),0.40040591302892,NA
2056,NA,NA,Projection (base),0.401001420943163,NA
2057,NA,NA,Projection (base),0.401275607163441,NA
2058,NA,NA,Projection (base),0.401791749540109,NA
2059,NA,NA,Projection (base),0.402568254120899,NA
2060,NA,NA,Projection (base),0.403555656766931,NA
2061,NA,NA,Projection (base),0.404797295163137,NA
2062,NA,NA,Projection (base),0.406311389521517,NA
2063,NA,NA,Projection (base),0.407864818162122,NA
2064,NA,NA,Projection (base),0.409333977002666,NA
2065,NA,NA,Projection (base),0.410781554384228,NA
2066,NA,NA,Projection (base),0.41207429479059,NA
2067,NA,NA,Projection (base),0.413375340900822,NA
2068,NA,NA,Projection (base),0.414616050489091,NA
2069,NA,NA,Projection (base),0.415705898138172,NA
2070,NA,NA,Projection (base),0.416648016726991,NA
2071,NA,NA,Projection (base),0.417582309827723,NA
