year,debt,scenario
2007,12.765,Revenue +2ppts
2008,15.469,Revenue +2ppts
2009,21.004,Revenue +2ppts
2010,23.552,Revenue +2ppts
2011,28.319,Revenue +2ppts
2012,32.608,Revenue +2ppts
2013,33.929,Revenue +2ppts
2014,38.063,Revenue +2ppts
2015,39.844,Revenue +2ppts
2016,41.415,Revenue +2ppts
2017,43.022,Revenue +2ppts
2018,42.983,Revenue +2ppts
2019,46.633,Revenue +2ppts
2020,62.221,Revenue +2ppts
2021,59.155,Revenue +2ppts
2022,52.674,Revenue +2ppts
2023,54.006,Revenue +2ppts
2024,56.137,Revenue +2ppts
2025,55.730338118142875,Revenue +2ppts
2026,54.91114449010026,Revenue +2ppts
2027,54.25451568796321,Revenue +2ppts
2028,53.729426908148234,Revenue +2ppts
2029,53.285047909817365,Revenue +2ppts
2030,52.88172660108522,Revenue +2ppts
2031,52.48702221596576,Revenue +2ppts
2032,52.102300819885414,Revenue +2ppts
2033,51.71859709412844,Revenue +2ppts
2034,51.33574097405085,Revenue +2ppts
2035,50.96067720024674,Revenue +2ppts
2036,50.57917693745172,Revenue +2ppts
2037,50.23199582878605,Revenue +2ppts
2038,49.96086780461583,Revenue +2ppts
2039,49.77293751146299,Revenue +2ppts
2040,49.63654098739884,Revenue +2ppts
2041,49.53899222611851,Revenue +2ppts
2042,49.462604929676466,Revenue +2ppts
2043,49.37888873298715,Revenue +2ppts
2044,49.28292870943115,Revenue +2ppts
2045,49.181780275616696,Revenue +2ppts
2046,49.17937306573205,Revenue +2ppts
2047,49.27159386493689,Revenue +2ppts
2048,49.43073809244392,Revenue +2ppts
2049,49.64739922461638,Revenue +2ppts
2050,49.92163123514295,Revenue +2ppts
2051,50.255654253877744,Revenue +2ppts
2052,50.618206729591805,Revenue +2ppts
2053,50.99976041410489,Revenue +2ppts
2054,51.39010634386372,Revenue +2ppts
2055,51.79605139771992,Revenue +2ppts
2056,52.24947399984088,Revenue +2ppts
2057,52.74035763002773,Revenue +2ppts
2058,53.23634064650108,Revenue +2ppts
2059,53.76035715763997,Revenue +2ppts
2060,54.33611502292026,Revenue +2ppts
2061,54.98156777878963,Revenue +2ppts
2062,55.71804298978482,Revenue +2ppts
2063,56.56769336952949,Revenue +2ppts
2064,57.52940939230956,Revenue +2ppts
2065,58.59030116918464,Revenue +2ppts
2066,59.74403276251602,Revenue +2ppts
2067,60.971789350044816,Revenue +2ppts
2068,62.27117805679313,Revenue +2ppts
2069,63.63334041619524,Revenue +2ppts
2070,65.04113670740118,Revenue +2ppts
2071,66.47846508069098,Revenue +2ppts
2007,12.765,Revenue flat
2008,15.469,Revenue flat
2009,21.004,Revenue flat
2010,23.552,Revenue flat
2011,28.319,Revenue flat
2012,32.608,Revenue flat
2013,33.929,Revenue flat
2014,38.063,Revenue flat
2015,39.844,Revenue flat
2016,41.415,Revenue flat
2017,43.022,Revenue flat
2018,42.983,Revenue flat
2019,46.633,Revenue flat
2020,62.221,Revenue flat
2021,59.155,Revenue flat
2022,52.674,Revenue flat
2023,54.006,Revenue flat
2024,56.137,Revenue flat
2025,55.730338118142875,Revenue flat
2026,55.006838270004565,Revenue flat
2027,54.537476242895565,Revenue flat
2028,54.287283898514126,Revenue flat
2029,54.2016574699761,Revenue flat
2030,54.23733383568688,Revenue flat
2031,54.35841669883816,Revenue flat
2032,54.562965396796805,Revenue flat
2033,54.8388502777757,Revenue flat
2034,55.182873207206114,Revenue flat
2035,55.59908125111303,Revenue flat
2036,56.07047267990749,Revenue flat
2037,56.63514964931788,Revenue flat
2038,57.33230686732572,Revenue flat
2039,58.16665910257295,Revenue flat
2040,59.104217151140425,Revenue flat
2041,60.13006989477074,Revenue flat
2042,61.22440174178387,Revenue flat
2043,62.356684725434434,Revenue flat
2044,63.52005406105534,Revenue flat
2045,64.71969927238625,Revenue flat
2046,65.96207067029621,Revenue flat
2047,67.24546717073991,Revenue flat
2048,68.54449245206405,Revenue flat
2049,69.85194885104713,Revenue flat
2050,71.17000408340203,Revenue flat
2051,72.5029009986233,Revenue flat
2052,73.82131366236267,Revenue flat
2053,75.11756609139756,Revenue flat
2054,76.38322182452656,Revenue flat
2055,77.62678391510065,Revenue flat
2056,78.88175392077939,Revenue flat
2057,80.13966855915548,Revenue flat
2058,81.36965254040324,Revenue flat
2059,82.59606231926884,Revenue flat
2060,83.84396685223018,Revenue flat
2061,85.13262216090439,Revenue flat
2062,86.48460220711951,Revenue flat
2063,87.92325242917993,Revenue flat
2064,89.44860466470233,Revenue flat
2065,91.04886123846002,Revenue flat
2066,92.71873139340155,Revenue flat
2067,94.44040048007881,Revenue flat
2068,96.21243272668212,Revenue flat
2069,98.02688555484501,Revenue flat
2070,99.86749569175502,Revenue flat
2071,101.71899999394824,Revenue flat
