year,agegp,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2004,1,2.5,38392,4.489156,35790,17.38244,34276,24.72873
2004,1,5,38398,7.198801,35798,19.74682,34285,26.32311
2004,1,7.5,38399,9.6658,35798,22.02922,34286,27.91536
2004,1,10,38401,12.18329,35796,24.05274,34283,29.46951
2004,1,12.5,38400,14.43572,35799,25.62933,34286,30.53825
2004,1,15,38398,16.9391,35797,26.99378,34284,31.4354
2004,1,17.5,38404,19.19711,35797,28.3252,34285,32.48616
2004,1,20,38396,21.61622,35798,29.51287,34285,33.08634
2004,1,22.5,38401,23.95282,35798,31.10754,34284,34.44952
2004,1,25,38402,26.27253,35800,32.48917,34284,35.48723
2004,1,27.5,38396,28.50944,35796,33.62683,34283,36.27952
2004,1,30,38398,30.61593,35798,34.93178,34287,37.35668
2004,1,32.5,38401,32.86581,35798,36.60723,34283,38.50223
2004,1,35,38402,35.0816,35797,37.85865,34285,39.53841
2004,1,37.5,38396,37.22929,35798,39.24248,34286,40.74936
2004,1,40,38402,39.3444,35797,40.7096,34285,42.04422
2004,1,42.5,38399,41.5947,35799,42.03336,34282,42.75289
2004,1,45,38401,43.70081,35796,43.6126,34287,44.05268
2004,1,47.5,38398,45.80856,35798,45.28156,34282,45.53025
2004,1,50,38403,48.23403,35798,46.97639,34286,46.75991
2004,1,52.5,38396,50.37032,35798,48.54446,34286,48.1022
2004,1,55,38399,52.61826,35798,50.30828,34282,49.48331
2004,1,57.5,38400,55.00972,35796,52.14352,34287,51.15234
2004,1,60,38398,57.36138,35799,54.04243,34283,52.65081
2004,1,62.5,38403,59.61662,35797,55.75976,34285,54.1096
2004,1,65,38395,61.85856,35798,57.43991,34285,55.56441
2004,1,67.5,38403,64.17824,35797,59.32051,34285,57.23528
2004,1,70,38401,66.60332,35799,61.42525,34283,58.91816
2004,1,72.5,38398,68.91923,35797,63.13192,34287,60.33694
2004,1,75,38401,71.41638,35797,65.31206,34284,62.20636
2004,1,77.5,38397,73.94701,35799,67.18059,34283,63.78848
2004,1,80,38399,76.22577,35797,69.2316,34284,65.35697
2004,1,82.5,38398,78.67711,35799,71.11917,34285,67.14568
2004,1,85,38403,81.1871,35797,73.4134,34285,69.21732
2004,1,87.5,38399,83.77778,35797,75.62141,34284,71.04851
2004,1,90,38400,86.28845,35798,77.9304,34287,73.20452
2004,1,92.5,38401,88.9296,35797,80.4354,34282,75.70335
2004,1,95,38398,91.63493,35798,83.12047,34286,78.28588
2004,1,97.5,38383,94.58217,35782,86.19707,34269,81.41529
2004,1,99,23040,97.16937,21478,89.17239,20570,84.45044
2004,1,99.9,13823,98.85341,12888,91.47509,12343,87.25629
2004,1,100,1545,99.84386,1440,93.98925,1379,88.23994
2004,2,2.5,48401,4.283927,45975,15.68745,44604,21.74011
2004,2,5,48415,6.727528,45985,17.23044,44615,22.72453
2004,2,7.5,48408,9.056417,45986,18.89751,44614,23.76837
2004,2,10,48412,11.63485,45985,20.65082,44616,24.94078
2004,2,12.5,48412,14.00611,45984,22.04758,44611,25.85294
2004,2,15,48413,16.41275,45988,23.4739,44616,27.08468
2004,2,17.5,48412,18.71925,45983,24.65661,44612,27.83847
2004,2,20,48411,20.9355,45986,26.15343,44616,28.84134
2004,2,22.5,48413,23.14717,45983,27.53106,44614,30.21931
2004,2,25,48410,25.29482,45986,29.00262,44614,31.20075
2004,2,27.5,48414,27.5455,45985,30.76834,44614,32.85198
2004,2,30,48408,29.71756,45986,32.4873,44615,34.14579
2004,2,32.5,48413,31.99629,45985,34.02608,44614,35.45112
2004,2,35,48415,34.21152,45984,35.66378,44610,36.87927
2004,2,37.5,48411,36.46059,45986,37.55639,44616,38.4273
2004,2,40,48410,38.73514,45986,39.47303,44613,40.1181
2004,2,42.5,48411,41.11421,45985,41.28208,44615,41.74086
2004,2,45,48414,43.40567,45984,43.02768,44614,43.32341
2004,2,47.5,48409,45.69485,45989,44.97154,44615,44.77446
2004,2,50,48415,48.25159,45982,47.07143,44614,46.66425
2004,2,52.5,48411,50.44174,45982,48.91371,44614,48.27873
2004,2,55,48410,52.86475,45987,50.90566,44615,49.89064
2004,2,57.5,48413,55.22372,45985,52.80768,44614,51.63248
2004,2,60,48411,57.60596,45986,54.70822,44615,53.55556
2004,2,62.5,48409,59.97903,45986,56.77859,44614,55.32422
2004,2,65,48412,62.37577,45985,59.04413,44615,57.16479
2004,2,67.5,48415,64.81689,45983,61.1432,44610,59.2644
2004,2,70,48412,67.27203,45987,63.44053,44614,61.12264
2004,2,72.5,48409,69.65736,45985,65.40761,44615,63.07536
2004,2,75,48414,72.07383,45986,67.54033,44615,64.87341
2004,2,77.5,48410,74.51894,45984,69.72269,44613,67.1555
2004,2,80,48414,77.07445,45985,72.04689,44613,69.10716
2004,2,82.5,48410,79.62946,45986,74.40864,44617,71.52387
2004,2,85,48412,82.03493,45983,76.62045,44612,73.46793
2004,2,87.5,48413,84.6142,45987,78.99664,44615,75.77914
2004,2,90,48413,87.12715,45985,81.66422,44612,78.40831
2004,2,92.5,48411,89.80712,45985,84.39951,44616,81.02583
2004,2,95,48410,92.36536,45986,86.90272,44614,83.80286
2004,2,97.5,48393,95.06805,45965,89.60976,44595,86.51849
2004,2,99,29046,97.46561,27591,92.22999,26771,89.30851
2004,2,99.9,17427,99.02459,16553,94.68223,16059,92.00321
2004,2,100,1948,99.73769,1850,96.9477,1794,93.92895
2004,3,2.5,45126,3.588296,35557,13.65652,26436,19.83363
2004,3,5,45130,6.004791,35565,15.02915,26441,20.44763
2004,3,7.5,45131,8.464779,35567,16.84082,26440,21.46956
2004,3,10,45136,10.9966,35567,18.52839,26443,22.93331
2004,3,12.5,45129,13.32489,35563,20.00109,26443,23.60534
2004,3,15,45132,15.79103,35566,21.61674,26439,25.0231
2004,3,17.5,45133,18.16139,35564,23.04696,26445,26.16899
2004,3,20,45135,20.42909,35566,24.61726,26439,27.20164
2004,3,22.5,45133,22.71125,35565,26.36248,26441,28.75722
2004,3,25,45130,24.9158,35566,27.89753,26444,30.17271
2004,3,27.5,45132,27.24523,35566,29.7667,26442,31.71718
2004,3,30,45133,29.47925,35566,31.57586,26440,33.1186
2004,3,32.5,45132,31.86249,35564,33.45465,26443,34.69903
2004,3,35,45133,34.18087,35564,35.44843,26442,36.56323
2004,3,37.5,45135,36.56177,35569,37.40008,26441,38.04353
2004,3,40,45134,38.86969,35562,38.9372,26442,39.6807
2004,3,42.5,45130,41.11117,35566,41.15083,26443,41.40213
2004,3,45,45133,43.54549,35565,43.11904,26440,43.11892
2004,3,47.5,45133,45.84325,35567,44.84145,26443,44.5565
2004,3,50,45133,48.19448,35566,47.14156,26440,46.82909
2004,3,52.5,45132,50.54087,35564,49.12698,26441,48.62619
2004,3,55,45132,52.98577,35567,51.33847,26443,50.5222
2004,3,57.5,45134,55.40756,35565,53.33537,26440,52.36875
2004,3,60,45130,57.83594,35566,55.34379,26442,54.20205
2004,3,62.5,45133,60.20326,35562,57.70756,26442,56.23713
2004,3,65,45133,62.72035,35569,59.90974,26442,58.07997
2004,3,67.5,45134,65.15841,35564,62.27862,26442,60.04359
2004,3,70,45130,67.68951,35564,64.22527,26443,62.10727
2004,3,72.5,45134,70.00195,35566,66.30942,26440,64.14736
2004,3,75,45135,72.47505,35566,68.80474,26442,66.49797
2004,3,77.5,45129,75.01082,35566,71.08968,26444,68.31302
2004,3,80,45136,77.46115,35565,73.46407,26439,70.75175
2004,3,82.5,45131,80.00151,35566,75.73531,26441,72.8798
2004,3,85,45134,82.39841,35564,77.9911,26445,75.01473
2004,3,87.5,45131,85.05187,35566,80.81802,26440,77.617
2004,3,90,45132,87.62405,35563,83.29542,26442,80.45267
2004,3,92.5,45133,90.16775,35567,85.91335,26443,83.02622
2004,3,95,45134,92.54472,35567,87.96468,26440,84.88792
2004,3,97.5,45110,95.27134,35549,90.78359,26429,87.60133
2004,3,99,27083,97.5756,21338,93.26938,15866,90.18484
2004,3,99.9,16246,99.04596,12803,95.29572,9518,92.88441
2004,3,100,1815,99.68429,1432,97.14778,1064,93.86821
2005,1,2.5,38570,4.457263,35903,17.60152,33954,24.81052
2005,1,5,38578,7.1712,35912,19.87456,33958,26.36545
2005,1,7.5,38577,9.689085,35910,22.09925,33958,27.87453
2005,1,10,38577,11.96638,35912,23.8103,33960,29.13954
2005,1,12.5,38578,14.36371,35909,25.49878,33958,30.18883
2005,1,15,38577,16.82303,35914,27.085,33960,31.4925
2005,1,17.5,38580,19.12649,35912,28.45802,33961,32.41776
2005,1,20,38577,21.53873,35910,29.88232,33960,33.50212
2005,1,22.5,38576,23.90885,35911,31.10532,33961,34.259
2005,1,25,38580,26.12543,35908,32.37642,33956,35.20373
2005,1,27.5,38577,28.43111,35913,33.95383,33961,36.32641
2005,1,30,38579,30.72124,35911,35.00333,33960,37.08389
2005,1,32.5,38576,32.83183,35911,36.55475,33959,38.62809
2005,1,35,38577,35.02869,35912,38.04739,33960,39.59618
2005,1,37.5,38577,37.30427,35910,39.172,33959,40.53409
2005,1,40,38579,39.36903,35911,40.85179,33962,41.90362
2005,1,42.5,38576,41.61844,35910,42.16967,33959,42.90063
2005,1,45,38578,43.71962,35914,43.71011,33958,44.22654
2005,1,47.5,38576,45.99334,35909,45.51379,33958,45.51201
2005,1,50,38581,48.16739,35911,46.7556,33960,46.57621
2005,1,52.5,38578,50.41236,35912,48.63317,33962,48.1607
2005,1,55,38576,52.7933,35909,50.45089,33958,49.66497
2005,1,57.5,38578,55.04927,35914,52.30015,33958,51.11393
2005,1,60,38579,57.24257,35910,53.83594,33960,52.66504
2005,1,62.5,38577,59.57436,35911,55.56638,33963,53.91319
2005,1,65,38576,61.8879,35910,57.45789,33957,55.57862
2005,1,67.5,38577,64.31562,35912,59.3524,33960,57.18383
2005,1,70,38577,66.72643,35911,61.42196,33959,59.12361
2005,1,72.5,38578,69.17506,35911,63.27406,33960,60.56039
2005,1,75,38579,71.37606,35912,65.08659,33961,61.94146
2005,1,77.5,38578,73.84155,35909,66.66582,33956,63.53862
2005,1,80,38578,76.17894,35912,68.82484,33964,65.42532
2005,1,82.5,38575,78.7679,35909,71.04556,33957,67.20661
2005,1,85,38580,81.20741,35912,73.18799,33961,69.09695
2005,1,87.5,38576,83.76357,35914,75.57431,33959,71.25448
2005,1,90,38579,86.36777,35909,77.71156,33959,73.01253
2005,1,92.5,38577,88.85854,35912,80.42979,33960,75.92425
2005,1,95,38577,91.69096,35910,83.20598,33958,78.61366
2005,1,97.5,38562,94.58675,35896,86.12626,33942,81.65303
2005,1,99,23147,97.1056,21547,89.11388,20379,84.67636
2005,1,99.9,13886,98.86605,12927,91.93967,12224,87.49763
2005,1,100,1553,99.834,1445,94.47929,1367,88.64509
2005,2,2.5,49636,4.280196,47074,15.84284,45087,21.84575
2005,2,5,49649,6.739517,47082,17.32425,45099,22.53187
2005,2,7.5,49647,9.074278,47080,18.99013,45102,23.50109
2005,2,10,49645,11.56288,47083,20.83167,45101,25.00268
