year,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2004,2.5,131919,4.105698,117322,15.589,105316,22.23423
2004,5,131943,6.617471,117348,17.33093,105341,23.32424
2004,7.5,131938,9.031393,117351,19.2295,105340,24.54113
2004,10,131949,11.57614,117348,21.04526,105342,25.91072
2004,12.5,131941,13.89814,117346,22.52006,105340,26.81371
2004,15,131943,16.35327,117351,23.98475,105339,27.98324
2004,17.5,131949,18.66751,117344,25.28791,105342,28.93202
2004,20,131942,20.96036,117350,26.71266,105340,29.81142
2004,22.5,131947,23.23253,117346,28.26795,105339,31.22909
2004,25,131942,25.44975,117352,29.73133,105342,32.33773
2004,27.5,131942,27.7233,117347,31.33673,105339,33.68263
2004,30,131939,29.89749,117350,32.95676,105342,34.93306
2004,32.5,131946,32.20359,117347,34.64031,105340,36.25531
2004,35,131950,34.45426,117345,36.26808,105337,37.66543
2004,37.5,131942,36.7189,117353,38.02335,105343,39.08673
2004,40,131946,38.95849,117345,39.68787,105340,40.6352
2004,42.5,131940,41.25301,117350,41.47149,105340,41.98518
2004,45,131948,43.53939,117345,43.2338,105341,43.50945
2004,47.5,131940,45.77871,117354,45.02668,105340,44.96571
2004,50,131951,48.22695,117346,47.06369,105340,46.73676
2004,52.5,131939,50.45486,117344,48.8657,105341,48.30849
2004,55,131941,52.83441,117352,50.85461,105340,49.91662
2004,57.5,131947,55.22433,117346,52.76501,105341,51.661
2004,60,131939,57.61345,117351,54.69774,105340,53.42339
2004,62.5,131945,59.95025,117345,56.74932,105341,55.15805
2004,65,131940,62.34313,117352,58.81713,105342,56.87365
2004,67.5,131952,64.74783,117344,60.93129,105337,58.79956
2004,70,131943,67.2202,117350,63.06356,105340,60.65236
2004,72.5,131941,69.56042,117348,64.98672,105342,62.45311
2004,75,131950,72.01974,117349,67.24382,105341,64.41319
2004,77.5,131936,74.52074,117349,69.36149,105340,66.35028
2004,80,131949,76.95975,117347,71.61759,105336,68.29936
2004,82.5,131939,79.47956,117351,73.80724,105343,70.43928
2004,85,131949,81.91251,117344,76.05751,105342,72.47282
2004,87.5,131943,84.52048,117350,78.51907,105339,74.70079
2004,90,131945,87.05303,117346,81.01952,105341,77.22771
2004,92.5,131945,89.67509,117349,83.6491,105341,79.79583
2004,95,131942,92.21415,117351,86.0708,105340,82.27955
2004,97.5,131886,94.99618,117296,88.92445,105293,85.12939
2004,99,79169,97.41702,70407,91.61226,63207,87.94748
2004,99.9,47496,98.98208,42244,93.88972,37920,90.67927
2004,100,5308,99.75034,4722,96.10619,4237,92.06212
2005,2.5,135017,4.098821,119717,15.72429,106124,22.25921
2005,5,135046,6.607899,119742,17.46758,106145,23.27002
2005,7.5,135042,9.058949,119737,19.36137,106145,24.41077
2005,10,135040,11.45277,119743,21.10578,106149,25.74631
2005,12.5,135045,13.81557,119738,22.453,106146,26.6815
2005,15,135044,16.2365,119743,24.00747,106144,27.75368
2005,17.5,135048,18.60642,119744,25.49866,106151,28.82833
2005,20,135038,20.90871,119739,26.75657,106145,29.85645
2005,22.5,135046,23.17859,119738,28.25893,106150,30.91156
2005,25,135042,25.40525,119740,29.77287,106143,32.17648
2005,27.5,135048,27.6308,119746,31.35227,106147,33.46261
2005,30,135043,29.93019,119737,32.963,106145,34.7173
2005,32.5,135043,32.18177,119744,34.66593,106147,36.24775
2005,35,135044,34.42893,119742,36.4193,106149,37.72005
2005,37.5,135045,36.71889,119737,38.01222,106147,39.0892
2005,40,135041,38.91771,119743,39.82364,106150,40.59116
2005,42.5,135046,41.29894,119741,41.49512,106146,42.01877
2005,45,135044,43.55914,119740,43.2925,106144,43.49975
2005,47.5,135042,45.88848,119741,45.17348,106145,45.07053
2005,50,135046,48.14875,119738,46.91404,106147,46.60849
2005,52.5,135045,50.50528,119744,48.81045,106150,48.1941
2005,55,135043,52.8406,119741,50.79989,106144,49.92207
2005,57.5,135042,55.17815,119742,52.75211,106145,51.70607
2005,60,135045,57.54417,119741,54.73912,106146,53.43147
2005,62.5,135046,59.96127,119742,56.67144,106152,55.06752
2005,65,135041,62.38449,119738,58.77336,106145,57.00759
2005,67.5,135045,64.8169,119742,60.81563,106149,58.78526
2005,70,135040,67.22739,119744,62.92665,106146,60.70351
2005,72.5,135046,69.69281,119736,65.04962,106146,62.55828
2005,75,135047,72.05996,119744,67.0584,106147,64.40693
2005,77.5,135042,74.50455,119742,69.18941,106143,66.40547
2005,80,135043,76.99529,119738,71.42044,106152,68.45028
2005,82.5,135042,79.50208,119740,73.69073,106143,70.47047
2005,85,135045,81.98074,119744,76.02807,106151,72.56303
2005,87.5,135046,84.50811,119740,78.48288,106143,74.99359
2005,90,135045,87.10654,119740,80.93253,106147,77.22228
2005,92.5,135041,89.68088,119743,83.61228,106149,79.9472
2005,95,135042,92.29205,119737,86.10783,106146,82.47984
2005,97.5,134991,95.05147,119691,88.88803,106096,85.39931
2005,99,81025,97.43891,71846,91.63324,63688,88.32233
2005,99.9,48616,99.0455,43105,94.21799,38213,90.8381
2005,100,5431,99.84413,4817,96.39171,4271,92.33809
2006,2.5,138565,4.097539,122143,15.74314,108262,21.91232
2006,5,138599,6.551875,122173,17.47198,108282,22.88893
2006,7.5,138587,9.047316,122165,19.36399,108287,24.12057
2006,10,138602,11.42,122174,20.98776,108281,25.34457
2006,12.5,138587,13.84192,122166,22.51405,108284,26.48249
2006,15,138591,16.29536,122168,24.00478,108285,27.62942
2006,17.5,138596,18.63225,122169,25.41626,108282,28.54605
2006,20,138595,20.94119,122170,26.87093,108285,29.76454
2006,22.5,138586,23.23514,122167,28.26091,108285,30.87158
2006,25,138599,25.46093,122172,29.75467,108282,32.06473
2006,27.5,138600,27.67557,122169,31.33425,108279,33.48127
2006,30,138588,29.95751,122160,33.09512,108289,34.76549
2006,32.5,138599,32.21301,122175,34.61965,108285,36.18018
2006,35,138587,34.43938,122171,36.35006,108287,37.60883
2006,37.5,138595,36.75343,122168,38.08202,108282,39.13519
2006,40,138593,39.00097,122169,39.81774,108286,40.51936
2006,42.5,138596,41.29016,122170,41.49461,108281,42.00237
2006,45,138585,43.62455,122167,43.38621,108287,43.57747
2006,47.5,138598,45.89613,122169,45.11768,108283,45.11216
2006,50,138596,48.165,122173,46.8355,108285,46.58239
2006,52.5,138597,50.47606,122166,48.76423,108280,48.15512
2006,55,138597,52.83786,122170,50.76555,108283,50.04317
2006,57.5,138585,55.23969,122166,52.78956,108287,51.76613
2006,60,138594,57.58655,122169,54.81942,108282,53.5955
2006,62.5,138594,60.01405,122173,56.66584,108286,55.26886
2006,65,138597,62.37572,122163,58.6466,108282,56.98201
2006,67.5,138588,64.71187,122173,60.76939,108286,58.80101
2006,70,138596,67.15839,122173,62.84872,108286,60.76116
2006,72.5,138590,69.61185,122163,64.95304,108288,62.6956
2006,75,138598,72.04958,122173,67.03684,108280,64.56876
2006,77.5,138601,74.50108,122168,69.37182,108282,66.62611
2006,80,138584,76.99737,122165,71.39183,108284,68.58199
2006,82.5,138599,79.40694,122171,73.61149,108286,70.57587
2006,85,138590,81.93318,122170,76.00306,108281,72.76539
2006,87.5,138592,84.48149,122172,78.51667,108288,75.13258
2006,90,138590,87.07623,122162,81.05276,108281,77.54495
2006,92.5,138601,89.62655,122173,83.56498,108281,80.06636
2006,95,138589,92.23639,122166,86.15469,108287,82.62688
2006,97.5,138544,95.02467,122120,88.97445,108235,85.5425
2006,99,83153,97.47231,73302,91.74693,64970,88.29968
2006,99.9,49894,99.04831,43977,94.18135,38985,90.68049
2006,100,5572,99.83128,4916,96.131,4354,92.6954
2007,2.5,144547,4.141535,125565,15.44231,112274,21.16455
2007,5,144576,6.591561,125585,17.1764,112299,22.205
2007,7.5,144575,9.042003,125584,19.1219,112298,23.66199
2007,10,144572,11.4439,125592,20.72342,112298,24.87212
2007,12.5,144573,13.88443,125586,22.35085,112300,26.1991
2007,15,144581,16.29195,125583,23.81482,112297,27.25094
2007,17.5,144568,18.63474,125590,25.20373,112296,28.23147
2007,20,144576,21.0112,125589,26.59633,112300,29.49384
2007,22.5,144575,23.23127,125585,28.08708,112295,30.61212
2007,25,144576,25.464,125589,29.65941,112303,31.91605
2007,27.5,144577,27.67814,125586,31.19958,112293,33.31311
2007,30,144576,29.94005,125585,32.84197,112300,34.59545
2007,32.5,144573,32.23027,125588,34.4431,112299,35.8583
2007,35,144568,34.42764,125590,36.25764,112298,37.52098
2007,37.5,144577,36.75368,125587,37.95787,112299,38.96345
2007,40,144575,39.03247,125590,39.62941,112298,40.4163
2007,42.5,144575,41.2736,125581,41.53102,112297,42.08224
2007,45,144577,43.61202,125590,43.17587,112299,43.44141
2007,47.5,144575,45.88892,125589,45.06026,112298,45.05835
2007,50,144574,48.15933,125588,46.88372,112298,46.64184
2007,52.5,144574,50.45513,125583,48.84378,112295,48.27896
2007,55,144574,52.8277,125589,50.68776,112299,50.01974
2007,57.5,144577,55.17154,125591,52.75633,112299,51.85961
2007,60,144575,57.57734,125579,54.78938,112299,53.61104
2007,62.5,144576,59.96652,125594,56.83386,112298,55.40369
2007,65,144575,62.34431,125584,58.85944,112297,57.16831
2007,67.5,144568,64.72559,125590,60.84249,112297,59.08738
2007,70,144574,67.16607,125586,62.95372,112300,60.92217
2007,72.5,144576,69.56853,125588,65.09398,112300,62.92747
2007,75,144576,72.01167,125587,67.21147,112295,64.83575
2007,77.5,144577,74.478,125587,69.45419,112301,66.81596
2007,80,144573,76.95534,125589,71.64444,112297,68.83028
2007,82.5,144578,79.45398,125587,73.91735,112297,71.03841
2007,85,144568,81.94704,125587,76.3415,112297,73.33546
2007,87.5,144580,84.51716,125588,78.73394,112300,75.49213
2007,90,144575,87.06123,125582,81.34778,112298,78.00063
2007,92.5,144571,89.64313,125591,83.83073,112297,80.41344
2007,95,144577,92.23293,125588,86.3737,112298,83.01101
2007,97.5,144519,95.04562,125532,89.35013,112252,85.8731
2007,99,86746,97.45703,75357,91.96465,67382,88.64011
2007,99.9,52043,99.07687,45205,94.3366,40424,90.85139
2007,100,5813,99.87173,5054,96.43858,4515,92.69835
2008,2.5,147395,4.002903,128203,14.82085,115264,20.76332
2008,5,147425,6.480488,128224,16.5896,115288,21.68211
2008,7.5,147417,8.964914,128227,18.55268,115286,23.12346
2008,10,147427,11.44848,128225,20.41153,115288,24.58088
2008,12.5,147425,13.84925,128221,22.02447,115284,25.83399
2008,15,147415,16.30769,128227,23.38133,115287,26.84061
2008,17.5,147424,18.61741,128229,24.87326,115287,28.00693
2008,20,147422,20.89586,128226,26.30974,115289,29.16908
2008,22.5,147425,23.12092,128225,27.85057,115283,30.27138
2008,25,147425,25.36181,128222,29.55269,115288,31.78125
2008,27.5,147422,27.70769,128230,31.11676,115291,33.00891
2008,30,147420,29.92595,128223,32.76783,115282,34.48706
2008,32.5,147425,32.17822,128227,34.49044,115290,35.88941
2008,35,147420,34.43756,128227,36.2955,115288,37.52224
2008,37.5,147425,36.72466,128222,38.0546,115284,38.92477
2008,40,147418,39.04295,128226,39.733,115286,40.45018
2008,42.5,147429,41.22664,128227,41.49402,115287,41.97604
2008,45,147418,43.57666,128225,43.3245,115284,43.47749
2008,47.5,147425,45.87433,128229,45.09317,115288,45.07927
2008,50,147424,48.14668,128218,47.14691,115289,46.87815
2008,52.5,147419,50.52114,128229,48.94572,115291,48.3611
2008,55,147424,52.82225,128230,50.89076,115289,50.16541
2008,57.5,147419,55.21191,128224,52.97214,115283,52.00963
2008,60,147424,57.60576,128225,54.91836,115286,53.73914
2008,62.5,147424,59.99206,128228,56.85962,115287,55.42619
2008,65,147426,62.34445,128223,58.97314,115286,57.42719
2008,67.5,147418,64.77592,128226,61.12061,115285,59.25039
2008,70,147423,67.23237,128228,63.15158,115290,61.0617
2008,72.5,147422,69.59068,128222,65.33083,115282,63.21564
2008,75,147423,72.04897,128225,67.48721,115290,65.13939
2008,77.5,147424,74.48508,128227,69.68193,115289,67.09941
2008,80,147420,77.01491,128224,71.99918,115283,69.28415
2008,82.5,147427,79.53866,128227,74.15589,115288,71.27589
2008,85,147423,81.98288,128229,76.58943,115289,73.54563
2008,87.5,147417,84.58684,128224,78.92576,115287,75.79018
2008,90,147425,87.14359,128223,81.4108,115282,78.18763
2008,92.5,147426,89.67144,128227,83.90736,115290,80.65331
2008,95,147417,92.31866,128226,86.59982,115285,83.2468
2008,97.5,147369,95.07211,128172,89.28271,115241,85.88849
2008,99,88452,97.52344,76936,91.98146,69174,88.57288
2008,99.9,53070,99.0565,46167,94.18154,41505,90.78988
2008,100,5929,99.81657,5152,95.97375,4632,91.97967
2009,2.5,148777,3.660374,130676,14.18545,117083,20.62749
2009,5,148804,6.264771,130701,16.14007,117106,21.60205
2009,7.5,148806,8.868686,130704,18.02576,117107,22.88195
2009,10,148803,11.29848,130699,19.83394,117103,24.2389
2009,12.5,148805,13.82441,130706,21.41368,117101,25.40331
2009,15,148807,16.22497,130701,22.96389,117111,26.50243
2009,17.5,148805,18.51113,130704,24.52744,117103,27.71785
2009,20,148805,20.86967,130700,26.0526,117106,28.87232
2009,22.5,148804,23.12108,130704,27.61043,117108,30.1342
2009,25,148807,25.37572,130701,29.23379,117100,31.53198
2009,27.5,148802,27.59558,130703,30.95739,117105,32.88512
2009,30,148809,29.93689,130702,32.69644,117110,34.43439
2009,32.5,148804,32.18419,130702,34.48013,117104,35.93303
2009,35,148803,34.51534,130704,36.13175,117105,37.42472
2009,37.5,148807,36.72948,130702,37.98955,117108,38.8105
2009,40,148805,39.03727,130702,39.71955,117099,40.45631
2009,42.5,148811,41.28063,130702,41.50345,117109,41.99135
2009,45,148799,43.55139,130706,43.32163,117108,43.5035
2009,47.5,148809,45.84907,130697,45.19939,117104,45.1613
2009,50,148804,48.21032,130701,47.09182,117102,46.80003
2009,52.5,148803,50.5103,130708,49.14529,117107,48.57525
2009,55,148806,52.8852,130698,51.05605,117103,50.29403
2009,57.5,148801,55.25487,130703,53.05619,117108,52.04467
2009,60,148812,57.62971,130702,55.12156,117110,53.90592
2009,62.5,148805,60.08595,130702,57.20719,117103,55.73924
2009,65,148805,62.41144,130701,59.14011,117104,57.55013
2009,67.5,148803,64.81931,130706,61.35463,117104,59.53836
2009,70,148804,67.24856,130702,63.39024,117105,61.28747
2009,72.5,148810,69.67686,130702,65.52065,117108,63.06876
2009,75,148804,72.10286,130701,67.7224,117105,65.19366
2009,77.5,148804,74.62494,130703,70.09309,117101,67.46721
2009,80,148807,77.08627,130702,72.20045,117107,69.36114
2009,82.5,148803,79.50224,130702,74.49348,117107,71.50348
2009,85,148807,82.0341,130704,76.73259,117104,73.55473
2009,87.5,148807,84.62838,130700,79.26736,117106,75.97751
2009,90,148799,87.19636,130707,81.84669,117106,78.47449
2009,92.5,148807,89.74214,130699,84.23238,117102,80.73592
2009,95,148805,92.36843,130704,86.77511,117108,83.27888
2009,97.5,148749,95.13316,130649,89.49192,117058,85.98699
2009,99,89284,97.51714,78416,92.24159,70262,88.71608
2009,99.9,53569,99.06765,47056,94.17644,42161,90.75332
2009,100,5980,99.81493,5256,96.12672,4707,91.72954
2010,2.5,151845,3.957011,132961,15.10417,118288,21.20548
2010,5,151877,6.413737,132996,16.46614,118313,21.68369
2010,7.5,151877,8.865192,132989,18.11677,118312,22.89489
2010,10,151875,11.28285,132993,19.76229,118311,24.07256
2010,12.5,151876,13.70151,132985,21.29751,118311,25.25408
2010,15,151873,16.06709,132992,22.83252,118313,26.3655
2010,17.5,151876,18.42399,132991,24.31353,118312,27.52776
2010,20,151875,20.7319,132990,25.95374,118312,28.80437
2010,22.5,151880,23.0148,132988,27.44239,118311,29.98094
2010,25,151872,25.25644,132993,29.14057,118310,31.51226
2010,27.5,151873,27.55714,132991,30.76513,118311,32.86804
2010,30,151874,29.82328,132990,32.53071,118312,34.31462
2010,32.5,151878,32.12318,132991,34.22536,118312,35.78458
2010,35,151876,34.38439,132989,35.98263,118313,37.26752
2010,37.5,151874,36.73661,132987,37.82189,118308,38.86636
2010,40,151875,39.04705,132994,39.55042,118319,40.39533
2010,42.5,151878,41.24082,132987,41.41476,118306,41.95043
2010,45,151876,43.61519,132990,43.23525,118314,43.5927
2010,47.5,151873,45.84518,132991,45.1204,118307,45.21636
2010,50,151877,48.19119,132995,47.02721,118315,46.75881
2010,52.5,151873,50.51994,132988,48.97013,118313,48.54559
2010,55,151872,52.89165,132990,50.99447,118307,50.29653
2010,57.5,151877,55.25256,132992,53.07363,118315,52.21039
2010,60,151876,57.65594,132987,55.10695,118308,53.91941
2010,62.5,151878,60.04715,132990,57.14966,118317,55.7829
2010,65,151874,62.48596,132988,59.23611,118306,57.66101
2010,67.5,151875,64.87469,132991,61.26357,118314,59.45086
2010,70,151878,67.2841,132991,63.4045,118311,61.28772
2010,72.5,151874,69.7673,132989,65.62833,118314,63.26673
2010,75,151870,72.18592,132996,67.82606,118308,65.41047
2010,77.5,151875,74.68022,132989,70.0244,118312,67.37043
2010,80,151877,77.09379,132992,72.28196,118315,69.38795
2010,82.5,151878,79.57892,132986,74.58371,118307,71.45713
2010,85,151876,82.09663,132992,77.02056,118314,73.81282
2010,87.5,151873,84.70603,132992,79.53119,118309,75.95189
2010,90,151876,87.25917,132985,81.8605,118315,78.30851
2010,92.5,151875,89.77562,132993,84.37764,118309,80.67789
2010,95,151877,92.3627,132989,86.92773,118312,83.22676
2010,97.5,151821,95.11892,132943,89.61588,118267,86.00365
2010,99,91124,97.46564,79789,92.17345,70985,88.71636
2010,99.9,54676,98.96942,47879,94.16508,42596,90.9922
2010,100,6101,99.83031,5345,95.88773,4754,92.21153
2011,2.5,154032,3.970906,134750,14.92719,120069,20.77924
2011,5,154065,6.454288,134777,16.4963,120091,21.50268
2011,7.5,154059,8.938643,134783,18.2013,120092,22.77799
2011,10,154065,11.32931,134779,20.03724,120091,24.22852
2011,12.5,154062,13.76796,134778,21.59111,120096,25.37251
2011,15,154060,16.07195,134775,22.8847,120086,26.31639
2011,17.5,154058,18.44423,134780,24.38231,120094,27.52214
2011,20,154069,20.63974,134781,25.92474,120092,28.88853
2011,22.5,154058,22.91348,134779,27.52404,120093,30.06822
2011,25,154066,25.21156,134777,29.1017,120095,31.43379
2011,27.5,154059,27.49183,134777,30.73687,120088,32.81386
2011,30,154062,29.74636,134777,32.41469,120091,34.22725
2011,32.5,154062,31.98362,134782,34.22903,120090,35.77362
2011,35,154058,34.29012,134776,35.93658,120092,37.23005
2011,37.5,154064,36.56939,134779,37.70582,120094,38.75414
2011,40,154063,38.926,134783,39.44152,120093,40.23964
2011,42.5,154057,41.12472,134774,41.37812,120092,41.926
2011,45,154066,43.50709,134780,43.16787,120089,43.46716
2011,47.5,154061,45.85139,134780,45.07058,120092,45.10875
2011,50,154060,48.19457,134779,46.93662,120098,46.77392
2011,52.5,154065,50.45041,134775,48.94909,120087,48.68929
2011,55,154061,52.85098,134780,51.07006,120091,50.38114
2011,57.5,154065,55.2618,134780,53.07417,120090,52.2613
2011,60,154060,57.71611,134775,55.10775,120093,54.02059
2011,62.5,154063,60.13073,134783,57.07195,120094,55.81066
2011,65,154062,62.51336,134779,59.2981,120093,57.72684
2011,67.5,154059,64.9241,134775,61.33446,120091,59.61217
2011,70,154060,67.29343,134782,63.51395,120090,61.65222
2011,72.5,154063,69.82419,134777,65.65611,120091,63.51024
2011,75,154062,72.24874,134774,67.84032,120091,65.43533
2011,77.5,154062,74.73764,134780,70.03065,120092,67.44875
2011,80,154065,77.19429,134782,72.36431,120095,69.62685
2011,82.5,154063,79.66131,134778,74.6022,120090,71.59983
2011,85,154056,82.19421,134780,76.95965,120094,73.70202
2011,87.5,154063,84.72404,134777,79.38615,120092,75.89717
2011,90,154061,87.28346,134777,81.7161,120091,78.09757
2011,92.5,154065,89.82872,134778,84.30327,120090,80.63786
2011,95,154060,92.42525,134784,86.84998,120093,83.106
2011,97.5,154010,95.15749,134724,89.62469,120042,85.87531
2011,99,92435,97.51544,80865,92.25603,72055,88.7387
2011,99.9,55460,99.07324,48522,94.42452,43233,91.0949
2011,100,6191,99.85754,5415,95.78667,4829,92.18494
2012,2.5,155778,3.767814,136391,14.56277,121676,20.33776
2012,5,155800,6.316226,136418,16.40191,121697,21.39626
2012,7.5,155807,8.853925,136420,18.09684,121697,22.61908
2012,10,155802,11.30818,136422,19.84322,121700,24.01424
2012,12.5,155807,13.74351,136419,21.30611,121696,25.04681
2012,15,155798,16.10832,136415,22.76842,121701,26.28395
2012,17.5,155806,18.42304,136426,24.28819,121698,27.43859
2012,20,155807,20.70863,136418,25.84203,121699,28.67678
2012,22.5,155803,22.99589,136414,27.42603,121697,30.01743
2012,25,155801,25.23609,136424,29.11023,121702,31.45636
2012,27.5,155809,27.57138,136416,30.85066,121695,32.88079
2012,30,155799,29.80787,136420,32.53083,121700,34.28103
2012,32.5,155801,32.08922,136419,34.29242,121698,35.84455
2012,35,155809,34.37873,136417,36.08239,121702,37.37946
2012,37.5,155805,36.70664,136419,37.74654,121695,38.85526
2012,40,155806,38.96678,136418,39.60629,121702,40.37865
2012,42.5,155807,41.20918,136418,41.46721,121695,41.96651
2012,45,155796,43.56029,136418,43.30774,121700,43.62744
2012,47.5,155807,45.82923,136423,45.20947,121700,45.3038
2012,50,155801,48.18524,136418,47.18515,121699,46.99566
2012,52.5,155800,50.53533,136420,49.06564,121696,48.7687
2012,55,155808,52.88281,136422,51.09888,121700,50.51991
2012,57.5,155796,55.26693,136417,53.06289,121700,52.32645
2012,60,155809,57.60098,136419,55.23489,121697,54.24634
2012,62.5,155803,60.08541,136420,57.22063,121701,55.95951
2012,65,155806,62.47829,136418,59.31079,121694,57.81424
2012,67.5,155809,64.87582,136416,61.41415,121702,59.8278
2012,70,155800,67.35392,136422,63.54765,121701,61.7627
2012,72.5,155800,69.76636,136417,65.74253,121697,63.64305
2012,75,155810,72.22025,136416,67.79433,121697,65.51045
2012,77.5,155800,74.68657,136424,70.17731,121700,67.75812
2012,80,155809,77.18032,136413,72.31513,121696,69.66717
2012,82.5,155801,79.62914,136419,74.66052,121700,71.73807
2012,85,155805,82.1616,136426,76.82898,121698,73.59275
2012,87.5,155796,84.72464,136416,79.27583,121700,75.7793
2012,90,155812,87.22383,136416,81.70068,121695,78.11224
2012,92.5,155800,89.81764,136424,84.2272,121702,80.38251
2012,95,155807,92.4193,136420,86.76921,121697,82.79233
2012,97.5,155744,95.18863,136367,89.54597,121649,85.60846
2012,99,93485,97.51625,81849,92.21958,73020,88.35118
2012,99.9,56085,99.05167,49108,94.28248,43810,90.76466
2012,100,6263,99.62664,5485,95.69105,4894,93.07516
2013,2.5,159518,3.670664,139464,14.54329,124125,20.41508
2013,5,159547,6.30035,139492,16.44335,124149,21.46868
2013,7.5,159547,8.818936,139484,18.10161,124150,22.73225
2013,10,159547,11.29144,139493,19.87997,124150,24.0778
2013,12.5,159549,13.76211,139489,21.33319,124152,25.08097
2013,15,159549,16.10253,139486,22.76147,124151,26.1586
2013,17.5,159542,18.45028,139489,24.27954,124146,27.34307
2013,20,159551,20.73095,139490,25.72057,124151,28.45448
2013,22.5,159548,22.97024,139488,27.49935,124148,30.04853
2013,25,159543,25.30239,139492,29.09087,124149,31.34777
2013,27.5,159548,27.5063,139485,30.73299,124150,32.70611
2013,30,159552,29.85405,139489,32.42816,124152,34.17687
2013,32.5,159541,32.08722,139491,34.36397,124148,35.81892
2013,35,159547,34.44595,139489,36.04537,124151,37.22237
2013,37.5,159551,36.60532,139486,37.81156,124147,38.79422
2013,40,159541,38.94283,139492,39.52184,124149,40.26014
2013,42.5,159549,41.21166,139488,41.44811,124151,41.96285
2013,45,159548,43.53209,139491,43.44466,124152,43.65263
2013,47.5,159548,45.91548,139486,45.31474,124148,45.31545
2013,50,159546,48.18914,139490,47.25289,124147,47.16002
2013,52.5,159548,50.49081,139493,49.20379,124151,48.83698
2013,55,159548,52.87589,139485,51.24728,124150,50.66627
2013,57.5,159548,55.2858,139492,53.23554,124149,52.4419
2013,60,159550,57.69516,139485,55.2939,124154,54.25525
2013,62.5,159541,60.05696,139492,57.35577,124146,56.17817
2013,65,159551,62.46684,139490,59.40635,124150,57.99953
2013,67.5,159546,64.88884,139487,61.50424,124149,59.9944
2013,70,159542,67.28167,139493,63.55704,124151,61.87706
2013,72.5,159551,69.78678,139488,65.85598,124149,63.84481
2013,75,159546,72.24524,139483,68.06417,124150,65.8754
