year,male,agegp,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2004,0,1,2.5,17903,4.89396,16387,17.06453,15538,24.48527
2004,0,1,5,17906,7.500428,16391,19.54312,15542,26.66755
2004,0,1,7.5,17907,9.895621,16392,22.01681,15542,28.29019
2004,0,1,10,17907,12.39267,16389,24.05838,15541,30.29404
2004,0,1,12.5,17907,14.45696,16393,25.66204,15543,31.36295
2004,0,1,15,17907,16.79196,16391,27.28157,15541,32.43602
2004,0,1,17.5,17908,18.83909,16390,28.63326,15543,33.55396
2004,0,1,20,17905,21.23907,16391,30.23936,15540,34.54535
2004,0,1,22.5,17908,23.50028,16392,32.02509,15544,36.21142
2004,0,1,25,17908,26.00483,16392,33.7592,15541,37.42393
2004,0,1,27.5,17905,28.39544,16390,35.09798,15540,38.4235
2004,0,1,30,17907,30.5567,16393,36.30642,15544,39.60174
2004,0,1,32.5,17907,32.90903,16391,38.1084,15539,40.83464
2004,0,1,35,17907,35.27739,16389,39.26543,15545,41.40153
2004,0,1,37.5,17906,37.43598,16391,40.43303,15541,42.59121
2004,0,1,40,17908,39.55466,16391,41.93819,15541,43.79665
2004,0,1,42.5,17906,41.89561,16392,42.93668,15542,44.04026
2004,0,1,45,17908,44.05537,16391,44.6786,15543,45.56668
2004,0,1,47.5,17906,46.04731,16391,46.0903,15540,46.48399
2004,0,1,50,17909,48.49216,16390,47.55186,15543,47.57963
2004,0,1,52.5,17905,50.68187,16392,49.39789,15543,48.8847
2004,0,1,55,17906,52.89758,16391,50.769,15540,49.97151
2004,0,1,57.5,17908,55.15834,16391,52.63103,15543,51.59855
2004,0,1,60,17906,57.60782,16392,54.29742,15542,53.34125
2004,0,1,62.5,17908,59.69228,16391,55.92711,15541,54.31966
2004,0,1,65,17905,61.85668,16391,57.13633,15541,55.42014
2004,0,1,67.5,17908,64.03773,16389,59.09409,15545,56.8333
2004,0,1,70,17907,66.57347,16392,61.09719,15539,58.48523
2004,0,1,72.5,17907,68.88274,16392,62.35366,15544,59.19414
2004,0,1,75,17908,71.35251,16390,64.60227,15541,61.04935
2004,0,1,77.5,17905,73.77271,16392,66.15559,15540,62.08548
2004,0,1,80,17907,76.06085,16391,68.2889,15542,63.69866
2004,0,1,82.5,17906,78.56535,16392,70.05613,15542,65.20667
2004,0,1,85,17908,81.06849,16390,71.99108,15543,66.84796
2004,0,1,87.5,17907,83.4707,16391,73.9478,15541,68.1276
2004,0,1,90,17907,86.11019,16392,76.18121,15543,70.1848
2004,0,1,92.5,17907,88.55716,16390,78.50769,15541,72.30286
2004,0,1,95,17906,91.3393,16392,81.24003,15542,75.0957
2004,0,1,97.5,17899,94.35912,16383,84.43095,15534,78.35807
2004,0,1,99,10744,97.11443,9834,87.95596,9324,81.80396
2004,0,1,99.9,6446,98.83983,5901,90.9057,5596,85.62688
2004,0,1,100,721,99.76963,660,93.17485,626,87.98371
2004,0,2,2.5,22085,4.844885,20911,16.26814,20386,22.40831
2004,0,2,5,22093,6.958768,20914,17.27476,20391,23.39552
2004,0,2,7.5,22088,9.35093,20916,19.12825,20390,24.43163
2004,0,2,10,22091,11.75482,20914,20.7367,20391,25.54652
2004,0,2,12.5,22090,13.98647,20915,22.20885,20389,26.41213
2004,0,2,15,22091,16.33,20917,23.76685,20391,27.88624
2004,0,2,17.5,22090,18.64525,20914,25.39448,20388,29.08909
2004,0,2,20,22091,21.04195,20915,27.14781,20392,30.40145
2004,0,2,22.5,22091,23.12324,20915,28.58098,20390,31.75356
2004,0,2,25,22090,25.39692,20914,30.021,20390,32.61626
2004,0,2,27.5,22091,27.67095,20916,31.61907,20392,34.08254
2004,0,2,30,22088,29.81435,20915,33.41388,20390,35.24617
2004,0,2,32.5,22091,32.14338,20916,34.97269,20390,36.71893
2004,0,2,35,22092,34.31675,20914,36.45446,20388,37.77567
2004,0,2,37.5,22090,36.59409,20915,38.3625,20392,39.32355
2004,0,2,40,22091,38.81267,20916,40.09255,20389,40.83921
2004,0,2,42.5,22089,41.154,20914,41.80826,20392,42.47823
2004,0,2,45,22092,43.57554,20916,43.28708,20389,43.59737
2004,0,2,47.5,22088,45.7194,20916,45.09382,20391,44.83887
2004,0,2,50,22094,48.3365,20913,47.25501,20390,46.7181
2004,0,2,52.5,22090,50.3692,20915,48.66225,20390,47.87473
2004,0,2,55,22089,52.69805,20916,50.47905,20391,49.2439
2004,0,2,57.5,22091,55.06136,20916,52.3862,20389,51.10146
2004,0,2,60,22089,57.50296,20914,54.34843,20392,52.82536
2004,0,2,62.5,22090,59.85111,20916,56.33353,20389,54.54271
2004,0,2,65,22091,62.22904,20915,58.30374,20392,56.38095
2004,0,2,67.5,22092,64.55274,20914,60.29401,20388,58.23941
2004,0,2,70,22090,67.01963,20916,62.70836,20390,60.15245
2004,0,2,72.5,22089,69.45454,20915,64.70177,20390,62.34074
2004,0,2,75,22091,71.99361,20916,67.20638,20392,64.30427
2004,0,2,77.5,22090,74.4406,20914,69.36111,20390,66.44751
2004,0,2,80,22093,77.03111,20914,71.51426,20389,68.28511
2004,0,2,82.5,22089,79.59143,20916,73.88264,20393,70.81083
2004,0,2,85,22090,81.99381,20914,75.90014,20388,72.43732
2004,0,2,87.5,22091,84.54953,20918,78.39274,20391,74.64532
2004,0,2,90,22091,87.1881,20914,81.13817,20389,77.33078
2004,0,2,92.5,22090,89.75912,20914,83.92693,20391,80.07513
2004,0,2,95,22090,92.16165,20916,86.0055,20390,82.50285
2004,0,2,97.5,22081,94.92259,20904,88.93391,20381,85.15848
2004,0,2,99,13253,97.41719,12550,91.51574,12236,88.51013
2004,0,2,99.9,7953,98.99631,7530,94.02063,7339,91.30256
2004,0,2,100,889,99.79853,841,97.49975,821,94.74046
2004,0,3,2.5,21992,3.642576,17417,13.54806,12969,20.06969
2004,0,3,5,21994,5.882863,17422,14.57448,12971,20.49195
2004,0,3,7.5,21996,8.378451,17420,16.60067,12971,21.83282
2004,0,3,10,21996,10.91254,17424,18.29479,12971,22.89015
2004,0,3,12.5,21994,13.20964,17418,20.10384,12972,24.16339
2004,0,3,15,21996,15.72025,17422,21.63783,12971,25.45453
