year,male,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2004,0,2.5,61980,4.432452,54715,15.64079,48893,22.44803
2004,0,5,61993,6.733509,54727,17.09453,48904,23.66527
2004,0,7.5,61991,9.163212,54728,19.18889,48903,24.96862
2004,0,10,61994,11.64022,54727,20.95398,48903,26.35067
2004,0,12.5,61991,13.84676,54726,22.57326,48904,27.38914
2004,0,15,61994,16.2471,54730,24.14174,48903,28.68715
2004,0,17.5,61993,18.45218,54726,25.69755,48903,29.86984
2004,0,20,61992,20.872,54727,27.39546,48901,31.09176
2004,0,22.5,61996,23.06715,54727,29.07123,48906,32.6487
2004,0,25,61991,25.41036,54727,30.67514,48904,33.71299
2004,0,27.5,61990,27.74784,54729,32.18827,48902,34.97044
2004,0,30,61992,29.90583,54728,33.86174,48906,36.25295
2004,0,32.5,61993,32.2944,54728,35.57699,48900,37.67252
2004,0,35,61994,34.61062,54725,37.08414,48904,38.66002
2004,0,37.5,61992,36.87885,54728,38.69272,48905,40.05216
2004,0,40,61996,39.08497,54726,40.28515,48901,41.43919
2004,0,42.5,61989,41.3679,54727,41.88946,48905,42.611
2004,0,45,61997,43.70709,54728,43.58884,48904,44.02139
2004,0,47.5,61988,45.83953,54729,45.2202,48902,45.15285
2004,0,50,61999,48.28009,54726,47.14506,48905,46.83848
2004,0,52.5,61990,50.48725,54727,48.87915,48904,48.16894
2004,0,55,61989,52.77543,54729,50.66645,48902,49.59748
2004,0,57.5,61996,55.16016,54728,52.58354,48904,51.40643
2004,0,60,61990,57.61308,54727,54.46178,48904,53.12901
2004,0,62.5,61993,59.85566,54726,56.43338,48901,54.70291
2004,0,65,61992,62.2077,54728,58.29999,48906,56.31593
2004,0,67.5,61995,64.57808,54725,60.4293,48904,58.14348
2004,0,70,61991,67.06194,54729,62.56616,48900,60.02887
2004,0,72.5,61994,69.4671,54727,64.40164,48906,61.71723
2004,0,75,61993,72.01766,54729,66.98497,48903,63.84681
2004,0,77.5,61989,74.50974,54727,69.03752,48903,65.5574
2004,0,80,61999,76.97227,54725,71.23126,48901,67.48193
2004,0,82.5,61989,79.50562,54729,73.40189,48906,69.62227
2004,0,85,61993,81.94787,54726,75.47512,48903,71.38017
2004,0,87.5,61994,84.52576,54731,77.99278,48904,73.46844
2004,0,90,61993,87.12395,54724,80.58385,48903,76.05396
2004,0,92.5,61992,89.64754,54728,83.18863,48903,78.49617
2004,0,95,61993,92.05838,54728,85.2214,48903,80.71738
