"country","year","gender","age","rank_permanent_inc","nobs_res_1yr_log_chg_by_skill","p9050_res_1yr_log_chg_by_skill","p5010_res_1yr_log_chg_by_skill","p9010_res_1yr_log_chg_by_skill"
"AUS",2005,"All genders","25-34",2.5,28566,0.81162894,0.59032071,1.4019496
"AUS",2005,"All genders","25-34",5,28565,0.72883642,0.5673725,1.2962089
"AUS",2005,"All genders","25-34",7.5,28565,0.66465414,0.5508877,1.2155418
"AUS",2005,"All genders","25-34",10,28565,0.61147732,0.52513158,1.1366088
"AUS",2005,"All genders","25-34",12.5,28565,0.56518757,0.5000934,1.0652809
"AUS",2005,"All genders","25-34",15,28565,0.52792925,0.46920609,0.99713528
"AUS",2005,"All genders","25-34",17.5,28565,0.48797929,0.42872822,0.91670752
"AUS",2005,"All genders","25-34",20,28565,0.46432129,0.42232239,0.88664365
"AUS",2005,"All genders","25-34",22.5,28566,0.43891293,0.38807362,0.82698655
"AUS",2005,"All genders","25-34",25,28566,0.40256891,0.37334779,0.7759167
"AUS",2005,"All genders","25-34",27.5,28564,0.3919017,0.369782,0.7616837
"AUS",2005,"All genders","25-34",30,28565,0.3642171,0.344724,0.7089411
"AUS",2005,"All genders","25-34",32.5,28565,0.36079872,0.33988082,0.70067954
"AUS",2005,"All genders","25-34",35,28565,0.34746879,0.33051699,0.67798579
"AUS",2005,"All genders","25-34",37.5,28565,0.32341531,0.30431309,0.6277284
"AUS",2005,"All genders","25-34",40,28565,0.31275609,0.3226696,0.63542569
"AUS",2005,"All genders","25-34",42.5,28566,0.2978375,0.32427311,0.62211061
"AUS",2005,"All genders","25-34",45,28565,0.29526073,0.3014802,0.5967409
"AUS",2005,"All genders","25-34",47.5,28565,0.28281748,0.31575352,0.598571
"AUS",2005,"All genders","25-34",50,28565,0.28238329,0.30827621,0.5906595
"AUS",2005,"All genders","25-34",52.5,28565,0.27173799,0.3103756,0.58211362
"AUS",2005,"All genders","25-34",55,28565,0.2602272,0.30987382,0.57010102
"AUS",2005,"All genders","25-34",57.5,28565,0.2653262,0.30056441,0.56589055
"AUS",2005,"All genders","25-34",60,28565,0.25613809,0.29060799,0.54674613
"AUS",2005,"All genders","25-34",62.5,28566,0.255216,0.29799509,0.55321109
"AUS",2005,"All genders","25-34",65,28565,0.25468707,0.30130321,0.55599028
"AUS",2005,"All genders","25-34",67.5,28565,0.25425991,0.29200611,0.54626602
"AUS",2005,"All genders","25-34",70,28565,0.25022131,0.29182899,0.5420503
"AUS",2005,"All genders","25-34",72.5,28565,0.2448391,0.2906898,0.5355289
"AUS",2005,"All genders","25-34",75,28566,0.2439549,0.29430801,0.5382629
"AUS",2005,"All genders","25-34",77.5,28564,0.23509991,0.2996597,0.53475964
"AUS",2005,"All genders","25-34",80,28565,0.23303559,0.310101,0.5431366
"AUS",2005,"All genders","25-34",82.5,28566,0.23052281,0.3090362,0.53955901
"AUS",2005,"All genders","25-34",85,28565,0.22714028,0.31424579,0.54138607
"AUS",2005,"All genders","25-34",87.5,28566,0.21919669,0.32258379,0.54178047
"AUS",2005,"All genders","25-34",90,28564,0.22200309,0.3280797,0.5500828
"AUS",2005,"All genders","25-34",92.5,28565,0.2293611,0.3344464,0.56380749
"AUS",2005,"All genders","25-34",95,28565,0.23752409,0.33329469,0.57081878
"AUS",2005,"All genders","25-34",97.5,28565,0.25949281,0.3334716,0.59296441
"AUS",2005,"All genders","25-34",99,17139,0.27767152,0.38785091,0.66552246
"AUS",2005,"All genders","25-34",99.9,10284,0.3239477,0.5036059,0.82755363
"AUS",2005,"All genders","25-34",100,1142,0.41661036,0.66966581,1.0862762
"AUS",2005,"All genders","25-55",2.5,91470,0.78024191,0.45764241,1.2378843
"AUS",2005,"All genders","25-55",5,91470,0.64670098,0.44438261,1.0910835
"AUS",2005,"All genders","25-55",7.5,91470,0.57622349,0.42176008,0.99798357
"AUS",2005,"All genders","25-55",10,91470,0.528364,0.3924059,0.92076987
"AUS",2005,"All genders","25-55",12.5,91470,0.48227361,0.36310172,0.8453753
"AUS",2005,"All genders","25-55",15,91470,0.43851167,0.33801419,0.77652586
"AUS",2005,"All genders","25-55",17.5,91470,0.41085589,0.31466919,0.72552514
"AUS",2005,"All genders","25-55",20,91470,0.3793124,0.29622981,0.67554218
"AUS",2005,"All genders","25-55",22.5,91470,0.35922271,0.28881669,0.6480394
"AUS",2005,"All genders","25-55",25,91470,0.3460291,0.26742432,0.61345339
"AUS",2005,"All genders","25-55",27.5,91470,0.3224453,0.26679,0.58923531
"AUS",2005,"All genders","25-55",30,91470,0.31141132,0.2566874,0.56809872
"AUS",2005,"All genders","25-55",32.5,91470,0.30138451,0.2559633,0.55734783
"AUS",2005,"All genders","25-55",35,91470,0.2957789,0.24561779,0.54139668
"AUS",2005,"All genders","25-55",37.5,91470,0.28288451,0.24682531,0.52970982
"AUS",2005,"All genders","25-55",40,91470,0.27469039,0.2303004,0.50499082
"AUS",2005,"All genders","25-55",42.5,91470,0.2656174,0.2407687,0.5063861
"AUS",2005,"All genders","25-55",45,91470,0.25663441,0.23809269,0.49472708
"AUS",2005,"All genders","25-55",47.5,91470,0.2523315,0.2317507,0.48408219
"AUS",2005,"All genders","25-55",50,91470,0.24461761,0.23228389,0.4769015
"AUS",2005,"All genders","25-55",52.5,91470,0.2393969,0.22859359,0.46799052
"AUS",2005,"All genders","25-55",55,91470,0.23627841,0.23097691,0.46725529
"AUS",2005,"All genders","25-55",57.5,91470,0.23188359,0.22615871,0.45804229
"AUS",2005,"All genders","25-55",60,91470,0.22712511,0.21975559,0.4468807
"AUS",2005,"All genders","25-55",62.5,91470,0.2246958,0.21677899,0.4414748
"AUS",2005,"All genders","25-55",65,91470,0.2229293,0.21636301,0.43929231
"AUS",2005,"All genders","25-55",67.5,91470,0.2234403,0.2169162,0.44035649
"AUS",2005,"All genders","25-55",70,91470,0.21900332,0.21626979,0.43527311
"AUS",2005,"All genders","25-55",72.5,91471,0.21976419,0.2184245,0.43818867
"AUS",2005,"All genders","25-55",75,91469,0.21639091,0.22306861,0.4394595
"AUS",2005,"All genders","25-55",77.5,91470,0.21448691,0.2220418,0.43652871
"AUS",2005,"All genders","25-55",80,91471,0.21118012,0.22410581,0.43528593
"AUS",2005,"All genders","25-55",82.5,91469,0.21163222,0.23141739,0.44304961
"AUS",2005,"All genders","25-55",85,91470,0.21058859,0.23611569,0.44670427
"AUS",2005,"All genders","25-55",87.5,91470,0.21113701,0.24034549,0.4514825
"AUS",2005,"All genders","25-55",90,91470,0.21268231,0.23701629,0.44969863
"AUS",2005,"All genders","25-55",92.5,91470,0.20633209,0.2245983,0.43093038
"AUS",2005,"All genders","25-55",95,91470,0.2136512,0.2371203,0.45077151
"AUS",2005,"All genders","25-55",97.5,91470,0.236067,0.27077588,0.50684285
"AUS",2005,"All genders","25-55",99,54882,0.27801138,0.3323521,0.61036348
"AUS",2005,"All genders","25-55",99.9,32930,0.3227118,0.4191196,0.74183142
"AUS",2005,"All genders","25-55",100,3658,0.40899509,0.63786685,1.046862
"AUS",2005,"All genders","35-44",2.5,38816,0.77218974,0.44704479,1.2192345
"AUS",2005,"All genders","35-44",5,38816,0.63160217,0.42452288,1.056125
"AUS",2005,"All genders","35-44",7.5,38815,0.56982869,0.4086979,0.97852659
"AUS",2005,"All genders","35-44",10,38816,0.51616812,0.37207392,0.88824201
"AUS",2005,"All genders","35-44",12.5,38815,0.47556663,0.3552604,0.830827
"AUS",2005,"All genders","35-44",15,38816,0.43096751,0.32961869,0.7605862
"AUS",2005,"All genders","35-44",17.5,38816,0.3977522,0.3007217,0.69847387
"AUS",2005,"All genders","35-44",20,38815,0.37806019,0.29035848,0.66841871
