"country","year","gender","age","rank_permanent_inc","nobs_res_1yr_log_chg_by_skill","mean_res_1yr_log_chg_by_skill","std_res_1yr_log_chg_by_skill","skew_res_1yr_log_chg_by_skill","kurt_res_1yr_log_chg_by_skill"
"AUS",2005,"All genders","25-34",2.5,28566,0.3078261,0.6039865,0.087058298,4.6556702
"AUS",2005,"All genders","25-34",5,28565,0.2324356,0.56483197,0.1348754,5.1855631
"AUS",2005,"All genders","25-34",7.5,28565,0.1905012,0.54718381,0.0041144998,5.6902881
"AUS",2005,"All genders","25-34",10,28565,0.1640006,0.52852029,-0.091349401,6.2708302
"AUS",2005,"All genders","25-34",12.5,28565,0.1461032,0.51003611,-0.1020842,6.6775842
"AUS",2005,"All genders","25-34",15,28565,0.13776571,0.4927969,-0.016171001,7.1930132
"AUS",2005,"All genders","25-34",17.5,28565,0.12539069,0.48103961,-0.0580841,7.985136
"AUS",2005,"All genders","25-34",20,28565,0.1159854,0.46989521,-0.090856902,8.3346319
"AUS",2005,"All genders","25-34",22.5,28566,0.1092209,0.4589822,-0.1203094,8.6232433
"AUS",2005,"All genders","25-34",25,28566,0.095605999,0.44310701,-0.260903,9.5253267
"AUS",2005,"All genders","25-34",27.5,28564,0.0918938,0.43540001,-0.2574316,9.5451307
"AUS",2005,"All genders","25-34",30,28565,0.089429803,0.41999939,-0.30517101,10.27939
"AUS",2005,"All genders","25-34",32.5,28565,0.089309901,0.41971549,-0.3529377,10.26743
"AUS",2005,"All genders","25-34",35,28565,0.089146599,0.4159705,-0.28473109,10.97681
"AUS",2005,"All genders","25-34",37.5,28565,0.085115001,0.39587089,-0.4167318,11.66446
"AUS",2005,"All genders","25-34",40,28565,0.079703704,0.39779219,-0.46030229,11.63424
"AUS",2005,"All genders","25-34",42.5,28566,0.070611797,0.4045383,-0.50790638,12.14507
"AUS",2005,"All genders","25-34",45,28565,0.077681102,0.38737249,-0.56920749,12.6231
"AUS",2005,"All genders","25-34",47.5,28565,0.073088497,0.39003849,-0.5898965,12.9825
"AUS",2005,"All genders","25-34",50,28565,0.073364198,0.38511291,-0.52277428,12.77577
"AUS",2005,"All genders","25-34",52.5,28565,0.069662496,0.3914555,-0.65195328,13.19863
"AUS",2005,"All genders","25-34",55,28565,0.064446203,0.3808347,-0.82718933,13.39474
"AUS",2005,"All genders","25-34",57.5,28565,0.066487402,0.376807,-0.78518748,13.37488
"AUS",2005,"All genders","25-34",60,28565,0.069189303,0.37130621,-0.88420331,13.60413
"AUS",2005,"All genders","25-34",62.5,28566,0.068013199,0.36777559,-0.71038878,13.95449
"AUS",2005,"All genders","25-34",65,28565,0.063032001,0.37529391,-1.133481,13.86474
"AUS",2005,"All genders","25-34",67.5,28565,0.068319902,0.37373081,-0.81826258,13.92038
"AUS",2005,"All genders","25-34",70,28565,0.0693416,0.36796769,-0.8097446,14.79914
"AUS",2005,"All genders","25-34",72.5,28565,0.065886602,0.36707541,-0.92029482,14.87707
"AUS",2005,"All genders","25-34",75,28566,0.065164797,0.3764523,-0.87264359,15.15006
"AUS",2005,"All genders","25-34",77.5,28564,0.0611124,0.3721478,-1.154086,15.62544
"AUS",2005,"All genders","25-34",80,28565,0.059810501,0.36842549,-1.103542,15.3057
"AUS",2005,"All genders","25-34",82.5,28566,0.063131899,0.3718752,-1.151071,15.35591
"AUS",2005,"All genders","25-34",85,28565,0.061680499,0.37468401,-1.211856,15.522
"AUS",2005,"All genders","25-34",87.5,28566,0.060425699,0.38040671,-1.371833,15.80432
"AUS",2005,"All genders","25-34",90,28564,0.058756601,0.3740297,-1.20059,15.96836
"AUS",2005,"All genders","25-34",92.5,28565,0.058712099,0.38399521,-1.374374,16.318371
"AUS",2005,"All genders","25-34",95,28565,0.0585991,0.3851597,-1.2313991,16.143209
"AUS",2005,"All genders","25-34",97.5,28565,0.059330098,0.4021318,-1.228067,16.35397
"AUS",2005,"All genders","25-34",99,17139,0.0476171,0.42235869,-1.381628,14.70474
