"country","year","gender","age","mean_log_inc","nobs_log_inc","p9010_log_inc"
"AUS",2002,"Female","25",10.42516,91427,1.612607
"AUS",2003,"Female","25",10.4236,92525,1.5999241
"AUS",2004,"Female","25",10.42636,94367,1.6280689
"AUS",2005,"Female","25",10.40646,102638,1.7124739
"AUS",2006,"Female","25",10.39251,109036,1.7602234
"AUS",2007,"Female","25",10.3825,116780,1.812314
"AUS",2008,"Female","25",10.40288,121686,1.8092136
"AUS",2009,"Female","25",10.39664,123084,1.8276129
"AUS",2010,"Female","25",10.38031,121164,1.840745
"AUS",2011,"Female","25",10.38369,123034,1.8394871
"AUS",2012,"Female","25",10.38748,125780,1.8269176
"AUS",2013,"Female","25",10.37697,127283,1.8272314
"AUS",2014,"Female","25",10.35481,129237,1.8261118
"AUS",2015,"Female","25",10.35926,128976,1.7978191
"AUS",2016,"Female","25",10.36447,129699,1.8016205
"AUS",2017,"Female","25",10.3688,132806,1.7916231
"AUS",2018,"Female","25",10.38346,135641,1.7601223
"AUS",2019,"Female","25",10.40694,139550,1.7391472
"AUS",2020,"Female","25",10.39848,137125,1.7424955
"AUS",2021,"Female","25",10.472,131910,1.6905355
"AUS",2022,"Female","25",10.5414,129446,1.6156244
"AUS",2002,"Male","25",10.52864,98423,1.6294985
"AUS",2003,"Male","25",10.52786,99262,1.6179876
"AUS",2004,"Male","25",10.54455,102926,1.6309357
"AUS",2005,"Male","25",10.51778,113690,1.7442608
"AUS",2006,"Male","25",10.51079,120221,1.8067017
"AUS",2007,"Male","25",10.50588,127919,1.8784409
"AUS",2008,"Male","25",10.52614,133795,1.9120502
"AUS",2009,"Male","25",10.51478,135176,1.9409151
"AUS",2010,"Male","25",10.49331,133371,1.9703169
"AUS",2011,"Male","25",10.51629,135878,1.9535036
"AUS",2012,"Male","25",10.52892,138672,1.9944782
"AUS",2013,"Male","25",10.52241,139221,2.0093594
"AUS",2014,"Male","25",10.49178,139975,2.0029716
"AUS",2015,"Male","25",10.47753,138449,1.9790821
"AUS",2016,"Male","25",10.46933,138258,1.9462013
"AUS",2017,"Male","25",10.46162,140470,1.9239492
"AUS",2018,"Male","25",10.4838,145264,1.8884659
"AUS",2019,"Male","25",10.50303,148070,1.8597841
"AUS",2020,"Male","25",10.49895,144083,1.8476601
"AUS",2021,"Male","25",10.56362,136458,1.7793903
"AUS",2022,"Male","25",10.63336,133093,1.7009068
"AUS",2002,"Female","26",10.4839,91132,1.6307831
"AUS",2003,"Female","26",10.47892,91745,1.6435461
"AUS",2004,"Female","26",10.488,94403,1.6407385
"AUS",2005,"Female","26",10.47376,99197,1.7401819
"AUS",2006,"Female","26",10.46155,106672,1.7648621
"AUS",2007,"Female","26",10.45134,114665,1.831646
"AUS",2008,"Female","26",10.45856,122209,1.8559942
"AUS",2009,"Female","26",10.46725,124066,1.8459578
"AUS",2010,"Female","26",10.4487,124402,1.8751936
"AUS",2011,"Female","26",10.46352,125147,1.8495293
"AUS",2012,"Female","26",10.46146,128026,1.8307543
"AUS",2013,"Female","26",10.45071,130206,1.8305721
"AUS",2014,"Female","26",10.43533,130978,1.8401899
"AUS",2015,"Female","26",10.43242,134123,1.8170996
"AUS",2016,"Female","26",10.44498,135525,1.8083382
"AUS",2017,"Female","26",10.43502,136709,1.8094759
"AUS",2018,"Female","26",10.45334,140841,1.7869139
"AUS",2019,"Female","26",10.47311,144283,1.7565098
"AUS",2020,"Female","26",10.47609,144497,1.7608185
"AUS",2021,"Female","26",10.54753,136940,1.6865826
"AUS",2022,"Female","26",10.61557,135032,1.6306581
"AUS",2002,"Male","26",10.6066,98765,1.603673
"AUS",2003,"Male","26",10.6092,100091,1.5914106
"AUS",2004,"Male","26",10.61678,102476,1.6217718
"AUS",2005,"Male","26",10.59376,111450,1.7369385
"AUS",2006,"Male","26",10.592,118509,1.7780123
"AUS",2007,"Male","26",10.57579,127285,1.8943472
"AUS",2008,"Male","26",10.59662,136161,1.9181242
"AUS",2009,"Male","26",10.59394,137461,1.9404469
"AUS",2010,"Male","26",10.57419,136688,1.9602528
"AUS",2011,"Male","26",10.5963,139574,1.9632463
"AUS",2012,"Male","26",10.6198,142090,1.9702349
"AUS",2013,"Male","26",10.61142,143596,1.997489
"AUS",2014,"Male","26",10.58565,142786,2.0083494
"AUS",2015,"Male","26",10.57432,144189,1.9716539
"AUS",2016,"Male","26",10.56356,144498,1.9433756
"AUS",2017,"Male","26",10.54955,144951,1.9203653
