"country","year","gender","age","nobs_res_1yr_log_chg","p9010_res_1yr_log_chg","p9050_res_1yr_log_chg","p5010_res_1yr_log_chg","kelley_res_1yr_log_chg","crows_res_1yr_log_chg"
"AUS",2002,"All genders","25",174505,1.1047153,0.58295047,0.52176481,0.055385903,8.7208014
"AUS",2003,"All genders","25",177386,1.1052434,0.59165484,0.51358867,0.070632555,8.4322424
"AUS",2004,"All genders","25",185592,1.157793,0.60592771,0.55186528,0.046694379,8.3286819
"AUS",2005,"All genders","25",201862,1.197988,0.63577056,0.56221747,0.06139718,7.9673395
"AUS",2006,"All genders","25",213134,1.2382169,0.64839584,0.5898211,0.047305714,7.9193125
"AUS",2007,"All genders","25",224287,1.2354244,0.6648674,0.570557,0.076338463,7.6920185
"AUS",2008,"All genders","25",232065,1.2409954,0.61941332,0.62158209,-0.0017476089,7.9010391
"AUS",2009,"All genders","25",232343,1.2303917,0.59524059,0.63515115,-0.032437276,8.3749914
"AUS",2010,"All genders","25",231380,1.2466302,0.67311102,0.57351923,0.079888798,7.7206397
"AUS",2011,"All genders","25",236139,1.2463036,0.66600418,0.58029944,0.068767153,7.5854907
"AUS",2012,"All genders","25",239901,1.2727337,0.65838617,0.61434752,0.034601625,7.7583199
"AUS",2013,"All genders","25",240267,1.2713343,0.6452083,0.62612599,0.01500967,7.8913198
"AUS",2014,"All genders","25",242748,1.2598218,0.66346192,0.59635991,0.053263102,7.7555852
"AUS",2015,"All genders","25",242013,1.2587411,0.66683549,0.59190559,0.059527643,7.5277023
"AUS",2016,"All genders","25",243111,1.2503042,0.68379498,0.56650931,0.093805708,7.4491906
"AUS",2017,"All genders","25",249021,1.2053761,0.68153471,0.52384138,0.130825,7.3473244
"AUS",2018,"All genders","25",256909,1.193821,0.66429234,0.52952868,0.11288431,7.3199244
"AUS",2019,"All genders","25",262792,1.1890616,0.62304533,0.56601638,0.047961306,7.0376182
"AUS",2020,"All genders","25",255701,1.1781454,0.64079005,0.53735542,0.087794445,7.0831089
"AUS",2021,"All genders","25",252510,1.2628965,0.70871919,0.5541774,0.12237091,6.5276198
"AUS",2022,"All genders","25",NA,NA,NA,NA,NA,NA
"AUS",2002,"Female","25",83965,1.153596,0.57089329,0.5827027,-0.01023704,9.0724897
"AUS",2003,"Female","25",85593,1.1539316,0.58098507,0.57294649,0.0069662537,8.7374363
"AUS",2004,"Female","25",88447,1.1925077,0.59667206,0.59583569,0.00070135592,8.4765387
"AUS",2005,"Female","25",95705,1.2310286,0.63397878,0.59704983,0.029998453,8.1241865
"AUS",2006,"Female","25",101396,1.2691002,0.64865553,0.62044472,0.022228993,7.9964223
"AUS",2007,"Female","25",106802,1.2709283,0.65389997,0.6170283,0.029011607,7.8350372
"AUS",2008,"Female","25",110610,1.2679768,0.618536,0.64944082,-0.024373341,7.9637332
"AUS",2009,"Female","25",111385,1.2641821,0.60065651,0.66352558,-0.049731027,8.3607044
"AUS",2010,"Female","25",110391,1.262208,0.65747261,0.60473537,0.041781731,7.8241148
"AUS",2011,"Female","25",112568,1.2579116,0.65934318,0.59856838,0.04831405,7.5205522
"AUS",2012,"Female","25",114673,1.2698965,0.64216805,0.62772846,0.011370677,7.6150413
"AUS",2013,"Female","25",115417,1.2684507,0.64059448,0.62785631,0.010042304,7.7449117
"AUS",2014,"Female","25",117363,1.2498264,0.661933,0.58789349,0.059239842,7.4696341
"AUS",2015,"Female","25",117582,1.2429686,0.65957975,0.58338881,0.061297566,7.303896
"AUS",2016,"Female","25",118376,1.2444801,0.67278379,0.57169628,0.081228703,7.2581525
"AUS",2017,"Female","25",121693,1.2046998,0.67015558,0.53454411,0.11256869,7.2102218
"AUS",2018,"Female","25",124771,1.1907606,0.66185278,0.52890778,0.11164713,7.0693526
"AUS",2019,"Female","25",128141,1.1927387,0.62266064,0.57007802,0.044085618,6.7520051
"AUS",2020,"Female","25",125245,1.181469,0.64139837,0.54007059,0.085764229,6.7754259
"AUS",2021,"Female","25",125130,1.2675414,0.70131105,0.5662303,0.1065691,6.3111267
"AUS",2022,"Female","25",NA,NA,NA,NA,NA,NA
"AUS",2002,"Male","25",90540,1.0640759,0.59805399,0.46602201,0.12408135,8.5275106
"AUS",2003,"Male","25",91793,1.061595,0.60483932,0.4567557,0.13949165,8.2658424
"AUS",2004,"Male","25",97145,1.125226,0.61450768,0.51071829,0.092238702,8.1747923
"AUS",2005,"Male","25",106157,1.167078,0.6390323,0.52804571,0.095097832,7.8676143
"AUS",2006,"Male","25",111738,1.2095079,0.64964676,0.55986118,0.074233145,7.8617826
"AUS",2007,"Male","25",117485,1.1992874,0.67561048,0.52367693,0.12668653,7.5969486
"AUS",2008,"Male","25",121455,1.2179441,0.62121868,0.59672546,0.020110296,7.8505769
"AUS",2009,"Male","25",120958,1.1990662,0.58985001,0.60921621,-0.016151072,8.3969383
"AUS",2010,"Male","25",120989,1.2356272,0.6893177,0.54630947,0.11573736,7.6671801
"AUS",2011,"Male","25",123571,1.2329665,0.67315304,0.5598135,0.091924265,7.6576529
"AUS",2012,"Male","25",125228,1.2757626,0.67592633,0.59983629,0.059642788,7.8778467
"AUS",2013,"Male","25",124850,1.2737379,0.65028036,0.62345755,0.02105834,8.0231733
"AUS",2014,"Male","25",125385,1.2679501,0.66449356,0.6034565,0.04813838,8.0273485
"AUS",2015,"Male","25",124431,1.2749795,0.67512691,0.59985262,0.059039608,7.7375445
"AUS",2016,"Male","25",124735,1.2566024,0.6950807,0.56152171,0.1062858,7.6349792
"AUS",2017,"Male","25",127328,1.20739,0.69413054,0.51325941,0.14980341,7.4924183
"AUS",2018,"Male","25",132138,1.1959906,0.66667855,0.52931201,0.11485587,7.5640092
"AUS",2019,"Male","25",134651,1.1853962,0.6233024,0.56209379,0.051635567,7.3196006
"AUS",2020,"Male","25",130456,1.1734734,0.64034081,0.53313249,0.091359816,7.3655095
"AUS",2021,"Male","25",127380,1.2574964,0.71532249,0.54217386,0.13769315,6.7543254
"AUS",2022,"Male","25",NA,NA,NA,NA,NA,NA
"AUS",2002,"All genders","25-34",1858077,0.99320954,0.48345941,0.50975013,-0.026470462,9.6469059
"AUS",2003,"All genders","25-34",1868615,0.99860334,0.4938274,0.50477594,-0.010963852,9.4965267
