"year","male","X_b_agedum2","X_b_agedum3","X_b_agedum4","X_b_agedum5","X_b_agedum6","X_b_agedum7","X_b_agedum8","X_b_agedum9","X_b_agedum10","X_b_agedum11","X_b_agedum12","X_b_agedum13","X_b_agedum14","X_b_agedum15","X_b_agedum16","X_b_agedum17","X_b_agedum18","X_b_agedum19","X_b_agedum20","X_b_agedum21","X_b_agedum22","X_b_agedum23","X_b_agedum24","X_b_agedum25","X_b_agedum26","X_b_agedum27","X_b_agedum28","X_b_agedum29","X_b_agedum30","X_b_agedum31","X_b_cons"
2002,1,0.0779626,0.1343844,0.1903023,0.2404727,0.2888566,0.3283318,0.3622393,0.3876734,0.4086484,0.422731,0.4390094,0.4471945,0.4546612,0.466092,0.4708074,0.480048,0.4890352,0.4937862,0.4947948,0.5054139,0.4975711,0.4997946,0.5044892,0.5047527,0.4993863,0.4954281,0.4876338,0.4785095,0.4656461,0.4560995,10.52864
2002,0,0.0587439,0.0935752,0.1195037,0.1309696,0.1323272,0.1234841,0.1058498,0.088944,0.0695724,0.0562099,0.047406,0.0362816,0.0351895,0.0378161,0.0414884,0.0546592,0.0704236,0.0862594,0.1090486,0.1229398,0.1412102,0.1532035,0.1637579,0.1716381,0.1734835,0.1660479,0.1547714,0.1462688,0.1404202,0.121791,10.42516
2003,1,0.0813383,0.1422813,0.1949599,0.2482983,0.2867306,0.3310096,0.3655381,0.391274,0.4126864,0.4315677,0.4438109,0.4578801,0.4679237,0.4723524,0.4834741,0.4822649,0.493662,0.5008824,0.5042598,0.5062018,0.5154986,0.5120167,0.5055918,0.5080287,0.5089628,0.5014948,0.4983293,0.4895708,0.4755457,0.4615933,10.52786
2003,0,0.0553141,0.0939825,0.1185797,0.1338573,0.1359538,0.1255653,0.1183973,0.0993325,0.0819459,0.0660777,0.0568565,0.0465264,0.0405137,0.0463787,0.0533156,0.0588208,0.0704204,0.0880624,0.1045195,0.1262489,0.1409468,0.1555537,0.1649421,0.1720228,0.1789545,0.1779077,0.1694424,0.15439,0.1443004,0.1355076,10.4236
2004,1,0.0722292,0.1379845,0.1949839,0.2409069,0.2861157,0.3215259,0.3636606,0.3967797,0.4184049,0.4357784,0.4490163,0.4600063,0.4738536,0.4805491,0.4859635,0.4947699,0.4914306,0.5055515,0.5105565,0.5071304,0.5124535,0.5181633,0.5157655,0.5096586,0.5112087,0.5092726,0.5007312,0.4941193,0.4824893,0.4678425,10.54455
2004,0,0.0616409,0.0967323,0.1261761,0.1398458,0.1484518,0.1407567,0.1285852,0.1163746,0.101093,0.0825988,0.0703212,0.0623116,0.057739,0.0579546,0.0668606,0.0752003,0.0822346,0.0976604,0.1127871,0.13057,0.150744,0.1629012,0.1764996,0.1836468,0.1889727,0.191925,0.1867031,0.1792082,0.1617895,0.152506,10.42636
2005,1,0.0759829,0.1420888,0.2002586,0.2549541,0.2979342,0.3402426,0.3739545,0.4133904,0.4395267,0.4616101,0.4763681,0.4878751,0.4977244,0.5092627,0.5159113,0.5208725,0.5298229,0.5286335,0.5419205,0.5443457,0.5428958,0.5453528,0.549558,0.547821,0.5412026,0.5395017,0.5346503,0.5271178,0.5198112,0.5036535,10.51778
2005,0,0.0672976,0.1073587,0.1382218,0.1598036,0.1596988,0.161656,0.1527609,0.1382874,0.1268859,0.1163551,0.10095,0.0922377,0.0871891,0.0910754,0.0896585,0.100667,0.1142304,0.1216528,0.1390406,0.1521735,0.1694505,0.1876155,0.1987567,0.2072295,0.2158657,0.2141052,0.2157513,0.2123946,0.1998143,0.177591,10.40646
2006,1,0.0812117,0.1452509,0.2082925,0.2648138,0.3120297,0.3540071,0.3970886,0.4295835,0.4626814,0.4851492,0.4988468,0.5095944,0.5241399,0.5304247,0.5425562,0.5426458,0.5480214,0.5588533,0.5523868,0.5642477,0.5676534,0.5656087,0.562068,0.5686151,0.5645267,0.5536113,0.5467283,0.5433725,0.5294915,0.5196055,10.51079
2006,0,0.0690401,0.1165518,0.1486581,0.1682586,0.1800929,0.1750475,0.1695401,0.1606965,0.1467343,0.1382063,0.1279101,0.1154069,0.1133437,0.1157606,0.1195736,0.1169797,0.1329163,0.1471833,0.151023,0.1711776,0.1827457,0.200839,0.2135125,0.2230594,0.2321834,0.2325792,0.2286451,0.230047,0.2238387,0.2061003,10.39251
