rel_year,avg_inc
-6,61611.8734522244
-5,64469.7403526617
-4,66628.7126420737
-3,68238.2901142764
-2,69611.949760568
-1,70862.665704753
0,71586.6589723848
1,71561.4576245888
2,70160.9889382878
3,69076.1754793202
4,67991.0471635632
5,66822.7145980616
6,65532.0897814198
7,64088.8750693671
8,62509.5372901705
9,60654.3520854203
10,58815.1661021031
11,58479.8814231998
12,58168.6955774709
13,57833.7848385883
-7,56321.0351846195
-8,51712.4312959093
-9,47566.8022358775
-10,43688.9301728279
-11,40273.7262049192
-12,37163.3126737811
-13,34481.9092906854
-14,32239.6217847591
-15,30397.0908986637
-16,28739.9178303241
-17,27032.3464786638
-18,25488.7726760737
