time,counts,surv,strata
0,506328,0.998783397323474,2007
30,456516,0.89980605457332,2007
60,403142,0.793612045946501,2007
90,354702,0.695037604082729,2007
120,311753,0.614419901723784,2007
150,282044,0.555740547629205,2007
180,257407,0.507224565894045,2007
210,235727,0.464744197437235,2007
240,220118,0.434198780237317,2007
270,206344,0.406999020397845,2007
300,195184,0.384557046025501,2007
330,185583,0.366151980534357,2007
360,177519,0.350164320361505,2007
390,169993,0.335355737782623,2007
420,163030,0.321631432589152,2007
450,157227,0.310285032627072,2007
480,152120,0.300230285506628,2007
510,147478,0.290880614937353,2007
540,143262,0.282767297088054,2007
570,139533,0.275355105781233,2007
600,136000,0.268401115482454,2007
630,132600,0.261743375835427,2007
660,129573,0.255770962696118,2007
690,126793,0.250262675577886,2007
720,124236,0.245135564298241,2007
750,121671,0.240186203409647,2007
780,119361,0.235600243320535,2007
810,117092,0.231144633518194,2007
840,114720,0.226442148172726,2007
870,112622,0.222328214122071,2007
900,110603,0.218324880314736,2007
930,108627,0.214364996602992,2007
960,106651,0.210547313204089,2007
990,104818,0.206907380196236,2007
1020,102966,0.203227947101484,2007
1050,101090,0.199558389028456,2007
1080,99442,0.196329256924365,2007
1110,97808,0.19310209982462,2007
1140,96209,0.189912467807429,2007
0,534475,0.998931661911221,2008
30,487892,0.911185743018851,2008
60,437536,0.816221525796343,2008
90,390667,0.725629823658731,2008
120,350163,0.653933299031761,2008
150,322572,0.602378034519857,2008
180,299473,0.559324570840546,2008
210,278768,0.520853173675103,2008
240,263609,0.492763927218299,2008
270,250455,0.468102343421115,2008
300,239836,0.44785256560176,2008
330,230089,0.430136114879088,2008
360,221650,0.414326207961085,2008
390,213845,0.399728705739278,2008
420,206210,0.385458627625241,2008
450,199658,0.373332709668367,2008
480,193503,0.361788671125872,2008
510,187928,0.351150194115722,2008
540,182560,0.341278825015203,2008
570,177498,0.331817203798121,2008
600,172605,0.322718555591937,2008
630,167689,0.313496421722252,2008
660,163359,0.305481079564059,2008
690,159296,0.297905421207728,2008
720,155457,0.29058796014781,2008
750,151724,0.283710182889752,2008
780,148296,0.277287057392769,2008
810,144945,0.270996772533796,2008
840,141466,0.26451003321016,2008
870,138478,0.258983114271014,2008
900,135604,0.253574068010665,2008
930,132822,0.248299733383227,2008
960,130103,0.243313531970626,2008
990,127523,0.23846765517564,2008
1020,125031,0.233792038916694,2008
1050,122477,0.229039711866785,2008
1080,120310,0.224998362879461,2008
1110,118159,0.220975723841153,2008
1140,116165,0.21716637822162,2008
0,657784,0.998691059679165,2009
30,601707,0.91321771280542,2009
60,542494,0.822029724043151,2009
90,487861,0.735878343042701,2009
120,440779,0.669034211838537,2009
150,405762,0.615837417754157,2009
180,375222,0.569437687751602,2009
210,347122,0.526926772314316,2009
240,325769,0.494689746178077,2009
270,307209,0.466362818189557,2009
300,290562,0.440386205806161,2009
330,275857,0.418979482626515,2009
360,263048,0.399456356493924,2009
390,251316,0.381631356189873,2009
420,239577,0.363855004074286,2009
450,230254,0.349777434537781,2009
480,221586,0.336551208299381,2009
510,213522,0.323933084416769,2009
540,205763,0.312576772922418,2009
570,198988,0.302240553129903,2009
600,192254,0.292006190481982,2009
630,185655,0.282022670055823,2009
660,180227,0.273845213626357,2009
690,175258,0.266234812643664,2009
720,170515,0.258895017209296,2009
750,166098,0.252350315605122,2009
780,161825,0.245849701421743,2009
810,157755,0.239648577648589,2009
840,153579,0.233334954939615,2009
870,149955,0.227849871690403,2009
900,146515,0.222630833221848,2009
930,143352,0.217726487722413,2009
960,140269,0.213147476983326,2009
990,137289,0.208583668803133,2009
1020,134571,0.204445532271992,2009
1050,131849,0.200324118555635,2009
1080,129303,0.196493073714167,2009
1110,126977,0.192937195188694,2009
1140,124789,0.189606314534862,2009
0,584362,0.998459858786163,2010
30,528769,0.903368117707859,2010
60,476693,0.813338307419031,2010
90,428978,0.729131942186522,2010
120,386948,0.661078235751128,2010
150,355493,0.60730506090403,2010
180,327899,0.560267436965443,2010
210,302813,0.517393328108262,2010
240,284358,0.486037764262564,2010
270,268170,0.458217680136628,2010
300,254181,0.433885160226025,2010
330,241733,0.413240422888553,2010
360,230780,0.394490059244099,2010
390,220715,0.377303794565698,2010
420,211082,0.36086706527803,2010
450,202895,0.346940766168916,2010
480,195601,0.334421129368439,2010
510,188733,0.322431985652729,2010
540,182473,0.31202576485124,2010
570,176845,0.30237421324453,2010
600,171488,0.293217218094264,2010
630,166192,0.28416289902492,2010
