time,counts,surv,strata
390,169993,0.966981400699324,2007
420,163030,0.927408057039374,2007
450,157227,0.894691283499812,2007
480,152120,0.865698925955877,2007
510,147478,0.838739621180196,2007
540,143262,0.815345277281063,2007
570,139533,0.793972596498821,2007
600,136000,0.773921115274661,2007
630,132600,0.75472385790271,2007
660,129573,0.737502705042199,2007
690,126793,0.721619836216814,2007
720,124236,0.706836068747936,2007
750,121671,0.692564835590383,2007
780,119361,0.679341450358204,2007
810,117092,0.666493923620998,2007
840,114720,0.652934543673618,2007
870,112622,0.641072221779291,2007
900,110603,0.629528810123122,2007
930,108627,0.618110684631943,2007
960,106651,0.607102586589824,2007
990,104818,0.59660702285903,2007
1020,102966,0.585997562614608,2007
1050,101090,0.575416576498593,2007
1080,99442,0.566105536509527,2007
1110,97808,0.556800191346143,2007
1140,96209,0.547603047870705,2007
390,213845,0.972355599652284,2008
420,206210,0.937643080480068,2008
450,199658,0.908146314155809,2008
480,193503,0.880064992103551,2008
510,187928,0.85418648364502,2008
540,182560,0.830173994966299,2008
570,177498,0.807158233926061,2008
600,172605,0.785025418830417,2008
630,167689,0.7625922200629,2008
660,163359,0.743094588997767,2008
690,159296,0.724666505855207,2008
720,155457,0.706866497662926,2008
750,151724,0.690136037393217,2008
780,148296,0.674511535188128,2008
810,144945,0.659210172993689,2008
840,141466,0.643430927684908,2008
870,138478,0.629986482734768,2008
900,135604,0.616828767653232,2008
930,132822,0.603998743850101,2008
960,130103,0.591869615281338,2008
990,127523,0.580081831794248,2008
1020,125031,0.56870821367292,2008
1050,122477,0.557147993573611,2008
1080,120310,0.547317255221443,2008
1110,118159,0.537532029546831,2008
1140,116165,0.528265648396361,2008
390,251316,0.965277377230727,2009
420,239577,0.920314849208455,2009
450,230254,0.884707818550263,2009
480,221586,0.851254128839003,2009
510,213522,0.819338539804123,2009
540,205763,0.790614509672731,2009
570,198988,0.764470643425966,2009
600,192254,0.738584409042494,2009
630,185655,0.713332641188029,2009
660,180227,0.692649032342413,2009
690,175258,0.67339970237752,2009
720,170515,0.654834827213617,2009
750,166098,0.63828101868408,2009
780,161825,0.62183872245358,2009
810,157755,0.606153940806197,2009
840,153579,0.590184610533684,2009
870,149955,0.576310942432739,2009
900,146515,0.563110193377709,2009
930,143352,0.550705411422706,2009
960,140269,0.539123513329566,2009
990,137289,0.527580067753336,2009
1020,134571,0.517113292650571,2009
1050,131849,0.506688815316407,2009
1080,129303,0.496998781055214,2009
1110,126977,0.488004737350083,2009
1140,124789,0.479579790895213,2009
390,220715,0.966369354167123,2010
420,211082,0.924270780828822,2010
450,202895,0.888602046854112,2010
480,195601,0.856536126755933,2010
510,188733,0.825828932085643,2010
540,182473,0.799175998772764,2010
570,176845,0.774455961955688,2010
600,171488,0.751002607876224,2010
630,166192,0.727812232911836,2010
660,161759,0.70857969362933,2010
690,157675,0.690657666936949,2010
720,153858,0.673564024457057,2010
750,150141,0.657697617847515,2010
780,146672,0.64251933992242,2010
810,143542,0.628804979071244,2010
840,140317,0.614696149547456,2010
870,137500,0.602366812035677,2010
900,134758,0.590331134535731,2010
930,132174,0.578887160044705,2010
960,129628,0.567868335123051,2010
990,127247,0.557449979180819,2010
1020,124949,0.547342815191426,2010
1050,122649,0.537301395980802,2010
1080,120601,0.528364489053494,2010
1110,118662,0.519835199754552,2010
1140,116728,0.511340974337621,2010
390,219988,0.968357359117531,2011
420,210885,0.928473529035869,2011
450,203259,0.895063659881274,2011
480,196344,0.864518375207682,2011
510,190095,0.836679021105377,2011
540,184249,0.811466270619499,2011
570,178896,0.787818023965554,2011
600,173801,0.765456636801536,2011
630,168905,0.743879705080009,2011
660,164744,0.725691797152161,2011
690,160859,0.708477847947855,2011
720,157246,0.692361254952425,2011
750,153794,0.677394902802444,2011
780,150567,0.66318215672362,2011
810,147408,0.649247054986801,2011
840,144173,0.635034308907976,2011
870,141498,0.6233115478011,2011
900,138745,0.611165709601646,2011
930,136209,0.599835176216015,2011
960,133646,0.58866770379315,2011
990,131322,0.578438933669444,2011
1020,129051,0.568478993781648,2011
1050,126653,0.557893252361078,2011
1080,124509,0.548519450528626,2011
1110,122523,0.539771450228947,2011
1140,120470,0.53059596578364,2011
390,243425,0.969530985269788,2012
420,233763,0.931096892503339,2012
450,225500,0.89835555821324,2012
480,218028,0.868492495365664,2012
510,210972,0.839825390181187,2012
540,204436,0.814487033825669,2012
570,198501,0.790747274213159,2012
600,192791,0.767980226833303,2012
630,187024,0.744985947497458,2012
660,182125,0.725603460304172,2012
690,177492,0.707149833562558,2012
720,173305,0.690262911359605,2012
750,169176,0.674029779345811,2012
780,165485,0.659275648308716,2012
810,161718,0.644318204468895,2012
840,157952,0.629348801052442,2012
870,154631,0.616165361079551,2012
900,151463,0.603496182901792,2012
930,148489,0.591436943132213,2012
960,145377,0.579258107596324,2012
990,142494,0.567768940979489,2012
1020,139767,0.556813968785504,2012
1050,136854,0.54529290996432,2012
1080,134362,0.535366461360601,2012
1110,131888,0.525487851063405,2012
1140,129601,0.516306882736351,2012
390,260971,0.968686024262015,2013
420,249983,0.927938471827454,2013
450,241008,0.894878225491836,2013
480,232734,0.863987813260511,2013
510,224905,0.834423823589516,2013
540,217621,0.808081145850751,2013
570,211123,0.783848854706572,2013
600,204753,0.76019989225139,2013
630,198407,0.736673540284977,2013
660,192922,0.716405654944362,2013
690,187850,0.697505062326999,2013
720,182997,0.679028033216297,2013
750,178243,0.661940589644987,2013
780,173852,0.645488491333668,2013
810,169634,0.629853796280816,2013
840,165129,0.613145330583887,2013
870,161175,0.598517527726691,2013
900,157437,0.584580802169835,2013
930,153891,0.571197681547122,2013
960,150332,0.55820468520686,2013
990,147028,0.545965929146,2013
1020,143799,0.533901800144904,2013
1050,140451,0.521547864533988,2013
1080,137491,0.510594660870535,2013
1110,134722,0.500273086997716,2013
1140,132055,0.490271043489569,2013
390,244280,0.967004140827769,2014
420,233647,0.924977710855308,2014
450,224963,0.890729697065758,2014
480,216775,0.858070651635528,2014
510,209084,0.82729380064589,2014
540,201804,0.799056921522398,2014
570,195168,0.77277356210251,2014
600,188763,0.7473579933826,2014
630,182412,0.722235650743961,2014
660,176957,0.700746934004318,2014
690,171919,0.680688685039525,2014
720,167094,0.661331801161016,2014
750,162477,0.643314247221285,2014
780,158115,0.626144671408475,2014
810,153986,0.609795336120301,2014
840,149757,0.59296257404949,2014
870,146088,0.578479583143461,2014
900,142481,0.56428189328948,2014
930,139189,0.550920294018583,2014
960,135851,0.53797079626731,2014
990,132697,0.525504725298673,2014
1020,129640,0.513438868305825,2014
1050,126653,0.501491886751331,2014
1080,123871,0.490563271452062,2014
1110,121318,0.480403383987477,2014
1140,118774,0.470247459037504,2014
390,228328,0.965056595789697,2015
420,218024,0.921684121442928,2015
450,209388,0.885238548608908,2015
