"result_level","chart","scenario","period","age","series","value_dollars"
"Primary individual","Average cash available","Selected scenario","Working-life average",,"Cash available to spend",73266.2741973188
"Primary individual","Average cash available","Selected scenario","Final five working years",,"Cash available to spend",100232.76524594
"Primary individual","Average cash available","Selected scenario","Retirement average",,"Cash available to spend",80698.9772519002
"Primary individual","Lifecycle income","Selected scenario",,20,"Spendable income",39395.2568807339
"Primary individual","Lifecycle income","Selected scenario",,21,"Spendable income",40814.2018348624
"Primary individual","Lifecycle income","Selected scenario",,22,"Spendable income",42191.3009174312
"Primary individual","Lifecycle income","Selected scenario",,23,"Spendable income",43630.3694587156
"Primary individual","Lifecycle income","Selected scenario",,24,"Spendable income",45134.1960843578
"Primary individual","Lifecycle income","Selected scenario",,25,"Spendable income",46705.6949081539
"Primary individual","Lifecycle income","Selected scenario",,26,"Spendable income",48347.9111790208
"Primary individual","Lifecycle income","Selected scenario",,27,"Spendable income",50064.0271820767
"Primary individual","Lifecycle income","Selected scenario",,28,"Spendable income",51857.3684052702
"Primary individual","Lifecycle income","Selected scenario",,29,"Spendable income",53731.4099835073
"Primary individual","Lifecycle income","Selected scenario",,30,"Spendable income",55715.5980966621
"Primary individual","Lifecycle income","Selected scenario",,31,"Spendable income",57808.2600110119
"Primary individual","Lifecycle income","Selected scenario",,32,"Spendable income",59995.0917115075
"Primary individual","Lifecycle income","Selected scenario",,33,"Spendable income",62280.3308385253
"Primary individual","Lifecycle income","Selected scenario",,34,"Spendable income",64668.4057262589
"Primary individual","Lifecycle income","Selected scenario",,35,"Spendable income",65666.6210293316
"Primary individual","Lifecycle income","Selected scenario",,36,"Spendable income",66682.8042078596
"Primary individual","Lifecycle income","Selected scenario",,37,"Spendable income",67717.278683601
"Primary individual","Lifecycle income","Selected scenario",,38,"Spendable income",68770.3736999059
"Primary individual","Lifecycle income","Selected scenario",,39,"Spendable income",69842.4244265042
"Primary individual","Lifecycle income","Selected scenario",,40,"Spendable income",70933.7720661812
"Primary individual","Lifecycle income","Selected scenario",,41,"Spendable income",72044.7639633725
"Primary individual","Lifecycle income","Selected scenario",,42,"Spendable income",73175.7537147132
"Primary individual","Lifecycle income","Selected scenario",,43,"Spendable income",74327.1012815781
"Primary individual","Lifecycle income","Selected scenario",,44,"Spendable income",75499.1731046465
"Primary individual","Lifecycle income","Selected scenario",,45,"Spendable income",76692.3422205301
"Primary individual","Lifecycle income","Selected scenario",,46,"Spendable income",77906.9883804996
"Primary individual","Lifecycle income","Selected scenario",,47,"Spendable income",79143.4981713486
"Primary individual","Lifecycle income","Selected scenario",,48,"Spendable income",80402.2651384329
"Primary individual","Lifecycle income","Selected scenario",,49,"Spendable income",81683.6899109247
"Primary individual","Lifecycle income","Selected scenario",,50,"Spendable income",82988.1803293213
"Primary individual","Lifecycle income","Selected scenario",,51,"Spendable income",84316.1515752491
"Primary individual","Lifecycle income","Selected scenario",,52,"Spendable income",85668.0263036036
"Primary individual","Lifecycle income","Selected scenario",,53,"Spendable income",87044.2347770685
"Primary individual","Lifecycle income","Selected scenario",,54,"Spendable income",88445.2150030557
"Primary individual","Lifecycle income","Selected scenario",,55,"Spendable income",89554.4800130985
"Primary individual","Lifecycle income","Selected scenario",,56,"Spendable income",90679.2747332819
"Primary individual","Lifecycle income","Selected scenario",,57,"Spendable income",91819.8165795478
"Primary individual","Lifecycle income","Selected scenario",,58,"Spendable income",92976.3260116615
"Primary individual","Lifecycle income","Selected scenario",,59,"Spendable income",94149.0265758247
