"result_level","chart","scenario","period","age","series","value_dollars"
"Primary individual","Average cash available","Selected scenario","Working-life average",,"Cash available to spend",67797.1894920792
"Primary individual","Average cash available","Selected scenario","Final five working years",,"Cash available to spend",97841.6930578048
"Primary individual","Average cash available","Selected scenario","Retirement average",,"Cash available to spend",86559.6576122753
"Primary individual","Lifecycle income","Selected scenario",,20,"Spendable income",38487
"Primary individual","Lifecycle income","Selected scenario",,21,"Spendable income",39972
"Primary individual","Lifecycle income","Selected scenario",,22,"Spendable income",41334.7125
"Primary individual","Lifecycle income","Selected scenario",,23,"Spendable income",42735.2345625
"Primary individual","Lifecycle income","Selected scenario",,24,"Spendable income",44198.7801178125
"Primary individual","Lifecycle income","Selected scenario",,25,"Spendable income",45728.1852231141
"Primary individual","Lifecycle income","Selected scenario",,26,"Spendable income",47326.4135581542
"Primary individual","Lifecycle income","Selected scenario",,27,"Spendable income",48996.5621682711
"Primary individual","Lifecycle income","Selected scenario",,28,"Spendable income",50741.8674658433
"Primary individual","Lifecycle income","Selected scenario",,29,"Spendable income",21255
"Primary individual","Lifecycle income","Selected scenario",,30,"Spendable income",21255
"Primary individual","Lifecycle income","Selected scenario",,31,"Spendable income",21255
"Primary individual","Lifecycle income","Selected scenario",,32,"Spendable income",21255
"Primary individual","Lifecycle income","Selected scenario",,33,"Spendable income",21255
"Primary individual","Lifecycle income","Selected scenario",,34,"Spendable income",63182.9662871627
"Primary individual","Lifecycle income","Selected scenario",,35,"Spendable income",64154.4436803316
"Primary individual","Lifecycle income","Selected scenario",,36,"Spendable income",65143.4076665776
"Primary individual","Lifecycle income","Selected scenario",,37,"Spendable income",66150.173004576
"Primary individual","Lifecycle income","Selected scenario",,38,"Spendable income",67175.0601186584
"Primary individual","Lifecycle income","Selected scenario",,39,"Spendable income",68218.3952007942
"Primary individual","Lifecycle income","Selected scenario",,40,"Spendable income",69280.5103144085
"Primary individual","Lifecycle income","Selected scenario",,41,"Spendable income",70361.7435000679
"Primary individual","Lifecycle income","Selected scenario",,42,"Spendable income",71462.4388830691
"Primary individual","Lifecycle income","Selected scenario",,43,"Spendable income",72582.9467829644
"Primary individual","Lifecycle income","Selected scenario",,44,"Spendable income",73723.6238250577
"Primary individual","Lifecycle income","Selected scenario",,45,"Spendable income",74884.8330539088
"Primary individual","Lifecycle income","Selected scenario",,46,"Spendable income",76066.9440488791
"Primary individual","Lifecycle income","Selected scenario",,47,"Spendable income",77270.3330417589
"Primary individual","Lifecycle income","Selected scenario",,48,"Spendable income",78495.3830365106
"Primary individual","Lifecycle income","Selected scenario",,49,"Spendable income",79742.4839311678
"Primary individual","Lifecycle income","Selected scenario",,50,"Spendable income",81012.0326419288
"Primary individual","Lifecycle income","Selected scenario",,51,"Spendable income",82304.4332294835
"Primary individual","Lifecycle income","Selected scenario",,52,"Spendable income",83620.0970276142
"Primary individual","Lifecycle income","Selected scenario",,53,"Spendable income",84959.4427741113
"Primary individual","Lifecycle income","Selected scenario",,54,"Spendable income",86322.8967440453
"Primary individual","Lifecycle income","Selected scenario",,55,"Spendable income",87402.4492984619
"Primary individual","Lifecycle income","Selected scenario",,56,"Spendable income",88497.1155886404
"Primary individual","Lifecycle income","Selected scenario",,57,"Spendable income",89607.1072068814
