fyear,wageinc_control,wageinc_treated
2002,53130.1663861349,47292.566628135384
2003,55213.81889556162,49070.367228976225
2004,57826.36428910516,51774.27502597282
2005,58410.05458136673,52809.84412474154
2006,60529.006958963844,54976.52729831956
2007,63434.82373501283,58170.68029524819
2008,65131.47005577962,58921.92769278672
2009,67544.42896710859,59259.37656108867
2010,67262.62856023193,53339.56276776256
2011,68985.6686596788,59733.04059934764
2012,69719.20399860704,62833.081352363966
2013,70615.52917228354,64593.35720159519
2014,71047.00820606276,64975.27325010362
2015,71880.35827003494,66381.38406024223
2016,73480.6320072972,67726.08494978726
2017,73315.01981476806,67902.89104390865
2018,74299.23781174666,68887.08816123226
2019,75123.76454721471,70733.37050405455
