type,n,fyear
n_treat,4378,2002
n_treat,4572,2003
n_treat,4782,2004
n_treat,4782,2005
n_treat,4782,2006
n_treat,4782,2007
n_treat,4782,2008
n_treat,4782,2009
n_treat,4782,2010
n_treat,4782,2011
n_treat,4782,2012
n_treat,4782,2013
n_treat,4782,2014
n_treat,4782,2015
n_treat,4782,2016
n_treat,4782,2017
n_treat,4782,2018
n_treat,4782,2019
n_control,772594,2002
n_control,790454,2003
n_control,809178,2004
n_control,809178,2005
n_control,809178,2006
n_control,809178,2007
n_control,809178,2008
n_control,809178,2009
n_control,809178,2010
n_control,809178,2011
n_control,809178,2012
n_control,809178,2013
n_control,809178,2014
n_control,809178,2015
n_control,809178,2016
n_control,809178,2017
n_control,809178,2018
n_control,809178,2019
