type,n,fyear
n_treat,5919,2002
n_treat,6210,2003
n_treat,6550,2004
n_treat,6550,2005
n_treat,6550,2006
n_treat,6550,2007
n_treat,6550,2008
n_treat,6550,2009
n_treat,6550,2010
n_treat,6550,2011
n_treat,6550,2012
n_treat,6550,2013
n_treat,6550,2014
n_treat,6550,2015
n_treat,6550,2016
n_treat,6550,2017
n_treat,6550,2018
n_treat,6550,2019
n_treat,6550,2020
n_treat,6550,2021
n_treat,6550,2022
n_control,963049,2002
n_control,986660,2003
n_control,1012280,2004
n_control,1012280,2005
n_control,1012280,2006
n_control,1012280,2007
n_control,1012280,2008
n_control,1012280,2009
n_control,1012280,2010
n_control,1012280,2011
n_control,1012280,2012
n_control,1012280,2013
n_control,1012280,2014
n_control,1012280,2015
n_control,1012280,2016
n_control,1012280,2017
n_control,1012280,2018
n_control,1012280,2019
n_control,1012280,2020
n_control,1012280,2021
n_control,1012280,2022
