t,estimate,conf.low,conf.high
-7,142.0773913202714,-980.098735359397,1264.2535179999397
-6,325.1202811336445,-775.9635147350245,1426.2040770023136
-5,621.6616631470228,-434.63018760975194,1677.9535139037976
-4,957.4883281526822,-158.88356524995925,2073.8602215553237
-3,889.1669825568825,-190.7001074926178,1969.0340726063828
-2,1061.4510619025386,3.2303379787556423,2119.671785826322
0,-2191.5621878273632,-3338.2169115440865,-1044.9074641106401
1,-7863.127604382814,-8948.562348748115,-6777.692860017512
2,-3501.772775443989,-4518.965653563908,-2484.5798973240703
3,-1302.3813366918073,-2401.5272082229512,-203.23546516066358
4,-604.2437433623993,-1716.8816980545776,508.39421132977895
5,-797.7215428040582,-1866.433523154838,270.9904375467214
6,-383.05548345755426,-1449.876938111725,683.7659711966163
7,-732.4480344176823,-1823.887553285529,358.99148445016453
8,-438.5335971309509,-1553.0910233795903,676.0238291176884
9,-551.1684954198089,-1680.6648868457014,578.3278960060835
10,542.5747597748143,-828.528966436332,1913.6784859859606
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
