group,ER,fyear
treated,1,2002
treated,1,2003
treated,1,2004
treated,1,2005
treated,1,2006
treated,1,2007
treated,1,2008
treated,1,2009
treated,0.7710760795065114,2010
treated,0.7850582590815627,2011
treated,0.7817683344756683,2012
treated,0.7798492117888965,2013
treated,0.7710760795065114,2014
treated,0.768334475668266,2015
treated,0.7594242631939685,2016
treated,0.7538039753255654,2017
treated,0.7459904043865662,2018
treated,0.7405071967100754,2019
treated,0.7343385880740233,2020
treated,0.725017135023989,2021
treated,0.7148732008224812,2022
control,1,2002
control,1,2003
control,1,2004
control,1,2005
control,1,2006
control,1,2007
control,1,2008
control,1,2009
control,0.9708583973902706,2010
control,0.9523455825597359,2011
control,0.9376761839656393,2012
control,0.9238594171679478,2013
control,0.9109131235809033,2014
control,0.8977893548732414,2015
control,0.8820428982720121,2016
control,0.8682984361530905,2017
control,0.8514880678499593,2018
control,0.8356505261339158,2019
control,0.8191547301345242,2020
control,0.8018006682079144,2021
control,0.7842372044194122,2022
