fyear,wageinc_control,wageinc_treated
2002,53060.20503494197,46539.32497261664
2003,55430.265487296616,48677.106221623515
2004,58060.15703808883,50992.890513961924
2005,61573.91061553205,54226.366880904796
2006,62504.37773513363,55677.36983900155
2007,65034.158824335085,57733.280300999
2008,66443.67946267112,58822.13842292006
2009,68232.170326233565,57446.16041548285
2010,69250.01761503957,54148.644485028664
2011,71115.05416475551,57427.224724970874
2012,72526.87002471408,60422.72084960926
2013,73296.04115669243,62139.62070868583
2014,73780.77650912601,62817.43552271932
2015,74434.60801675818,63740.54651779431
2016,76276.20360707238,65355.690788586486
2017,75341.72657230856,65499.386489309356
2018,75820.86220109044,66904.6161005956
2019,74492.62663210073,66895.79304899205
