fyear,wageinc_control,wageinc_treated
2003,55026.28078103717,47611.06479806351
2004,57548.553090445865,49650.568995322894
2005,61012.378650249506,53027.311182179285
2006,61905.94689042429,54082.50347596908
2007,64254.330221390504,55960.79831429769
2008,65451.61400856422,56816.698145312876
2009,66712.89084361379,52573.88149980573
2010,66626.95852059602,46879.32302818324
2011,67449.30979162468,49273.49171170703
2012,68061.36688405392,51482.14103661961
2013,68067.49118842455,52521.102377872856
2014,67748.61538406042,52564.0084133701
2015,67466.02558007734,53024.00931491283
2016,68201.65689480446,54031.76672539743
2017,66701.10185832763,53659.43339597822
2018,66746.7192183674,54754.314494259015
2019,66224.98974100902,55122.558485187896
2020,66088.88537407602,55612.6784690803
2021,65038.920458157794,55895.5656188645
2022,NA,NA
2002,52749.98349793958,45786.02209533473
