type,n,fyear
n_treat,4116,2002
n_treat,4283,2003
n_treat,4430,2004
n_treat,4451,2005
n_treat,4451,2006
n_treat,4455,2007
n_treat,4453,2008
n_treat,4455,2009
n_treat,4455,2010
n_treat,4455,2011
n_treat,4455,2012
n_treat,4455,2013
n_treat,4455,2014
n_treat,4455,2015
n_treat,4455,2016
n_treat,4455,2017
n_treat,4455,2018
n_treat,4455,2019
n_control,811825,2002
n_control,829876,2003
n_control,846189,2004
n_control,848614,2005
n_control,848899,2006
n_control,848933,2007
n_control,849110,2008
n_control,849695,2009
n_control,835200,2010
n_control,828664,2011
n_control,825321,2012
n_control,823736,2013
n_control,823916,2014
n_control,825273,2015
n_control,825890,2016
n_control,829425,2017
n_control,834745,2018
n_control,849695,2019
